rank,experiment,rank,sampling,model,calibration,accuracy,recall,precision,f1,auc,logloss,ece,combined,avg_cal_metric
1,B · XGBoost / AdaBoost,18,base,xgboost,base,0.8502,0.119,0.5321,0.1945,0.8519,0.3098,0.0027,0.664175,0.15625
2,C · LogReg / CatBoost,41,base,lightgbm,base,0.85,0.1157,0.5299,0.19,0.8521,0.3095,0.0041,0.663025,0.1568
3,C · LogReg / CatBoost,24,base,lightgbm,venn_abers,0.8503,0.1497,0.5268,0.2331,0.8518,0.3101,0.0038,0.6715249999999999,0.15695
4,C · LogReg / CatBoost,25,base,lightgbm,isotonic,0.8504,0.1497,0.5276,0.2332,0.8517,0.3101,0.0043,0.6714249999999999,0.1572
5,C · LogReg / CatBoost,45,cw,lightgbm,venn_abers,0.8506,0.1083,0.5425,0.1806,0.8519,0.3114,0.0036,0.660975,0.1575
6,C · LogReg / CatBoost,46,cw,lightgbm,isotonic,0.8506,0.1077,0.544,0.1798,0.8519,0.3116,0.0037,0.6607500000000001,0.15764999999999998
7,B · XGBoost / AdaBoost,17,base,xgboost,isotonic,0.85,0.1281,0.5278,0.2062,0.8518,0.3104,0.0051,0.66565,0.15775
8,B · XGBoost / AdaBoost,16,base,xgboost,venn_abers,0.8502,0.1344,0.5287,0.2144,0.8518,0.3103,0.0056,0.667175,0.15795
9,C · LogReg / CatBoost,43,cw,catboost,isotonic,0.8491,0.1173,0.5168,0.1911,0.8485,0.3127,0.0034,0.662575,0.15805
10,C · LogReg / CatBoost,26,base,logreg,venn_abers,0.8489,0.1488,0.5101,0.2304,0.8482,0.3128,0.0044,0.6701250000000001,0.15860000000000002
11,B · XGBoost / AdaBoost,23,cw,xgboost,venn_abers,0.8484,0.0979,0.5073,0.1641,0.8469,0.314,0.0035,0.6572,0.15875
12,B · XGBoost / AdaBoost,24,cw,xgboost,isotonic,0.8483,0.0972,0.5057,0.1631,0.8469,0.3136,0.0039,0.657,0.15875
13,C · LogReg / CatBoost,27,base,logreg,isotonic,0.8488,0.1484,0.5093,0.2298,0.8482,0.3132,0.0047,0.669825,0.15894999999999998
14,A · KNN / RF,12,cw,randomforest,isotonic,0.8488,0.1468,0.5094,0.228,0.8483,0.313,0.005,0.6694,0.159
15,C · LogReg / CatBoost,31,cw,catboost,venn_abers,0.8494,0.1353,0.5183,0.2146,0.8485,0.3146,0.0037,0.6666,0.15914999999999999
16,B · XGBoost / AdaBoost,15,base,adaboost,isotonic,0.8489,0.1434,0.5112,0.2239,0.8454,0.3143,0.0042,0.66845,0.15925
17,B · XGBoost / AdaBoost,14,base,adaboost,venn_abers,0.849,0.1449,0.5119,0.2258,0.8454,0.3142,0.0044,0.668825,0.1593
18,C · LogReg / CatBoost,28,cw,logreg,venn_abers,0.8486,0.1434,0.5069,0.2235,0.848,0.3129,0.0061,0.66825,0.1595
19,C · LogReg / CatBoost,29,cw,logreg,isotonic,0.8486,0.1431,0.5073,0.2233,0.8478,0.3133,0.0058,0.66815,0.15955000000000003
20,C · LogReg / CatBoost,37,smote,logreg,isotonic,0.8479,0.1264,0.4991,0.2017,0.848,0.3134,0.0058,0.663775,0.15960000000000002
21,C · LogReg / CatBoost,38,smotenc,logreg,isotonic,0.8479,0.1264,0.4991,0.2017,0.848,0.3134,0.0058,0.663775,0.15960000000000002
22,C · LogReg / CatBoost,39,smotecw,logreg,isotonic,0.8479,0.1264,0.4991,0.2017,0.848,0.3134,0.0058,0.663775,0.15960000000000002
23,C · LogReg / CatBoost,40,smotencw,logreg,isotonic,0.8479,0.1264,0.4991,0.2017,0.848,0.3134,0.0058,0.663775,0.15960000000000002
24,C · LogReg / CatBoost,55,cw,lightgbm,platt,0.8499,0.0822,0.5408,0.1427,0.8522,0.3126,0.0067,0.6532,0.15965
25,C · LogReg / CatBoost,44,base,catboost,isotonic,0.8505,0.119,0.5368,0.1948,0.8481,0.3132,0.0061,0.66255,0.15965
26,A · KNN / RF,13,cw,randomforest,venn_abers,0.8488,0.1471,0.5098,0.2283,0.8485,0.3138,0.0055,0.66915,0.15965000000000001
27,C · LogReg / CatBoost,33,smote,logreg,venn_abers,0.8479,0.1273,0.4991,0.2028,0.8481,0.313,0.0066,0.6638999999999999,0.1598
28,C · LogReg / CatBoost,34,smotenc,logreg,venn_abers,0.8479,0.1273,0.4991,0.2028,0.8481,0.313,0.0066,0.6638999999999999,0.1598
29,C · LogReg / CatBoost,35,smotecw,logreg,venn_abers,0.8479,0.1273,0.4991,0.2028,0.8481,0.313,0.0066,0.6638999999999999,0.1598
30,C · LogReg / CatBoost,36,smotencw,logreg,venn_abers,0.8479,0.1273,0.4991,0.2028,0.8481,0.313,0.0066,0.6638999999999999,0.1598
31,C · LogReg / CatBoost,42,base,catboost,venn_abers,0.8506,0.1203,0.539,0.1967,0.8482,0.3133,0.0065,0.662775,0.15990000000000001
32,B · XGBoost / AdaBoost,29,smote,xgboost,venn_abers,0.8477,0.0176,0.4793,0.034,0.8374,0.3185,0.0036,0.6357999999999999,0.16105
33,B · XGBoost / AdaBoost,30,smotenc,xgboost,venn_abers,0.8477,0.0176,0.4793,0.034,0.8374,0.3185,0.0036,0.6357999999999999,0.16105
34,B · XGBoost / AdaBoost,31,smotecw,xgboost,venn_abers,0.8477,0.0176,0.4793,0.034,0.8374,0.3185,0.0036,0.6357999999999999,0.16105
35,B · XGBoost / AdaBoost,32,smotencw,xgboost,venn_abers,0.8477,0.0176,0.4793,0.034,0.8374,0.3185,0.0036,0.6357999999999999,0.16105
36,C · LogReg / CatBoost,32,cw,catboost,platt,0.8495,0.1327,0.5191,0.2114,0.8486,0.3157,0.0065,0.665,0.1611
37,C · LogReg / CatBoost,56,smote,lightgbm,isotonic,0.8469,0.0583,0.4727,0.1038,0.8375,0.318,0.0042,0.64575,0.1611
38,C · LogReg / CatBoost,57,smotenc,lightgbm,isotonic,0.8469,0.0583,0.4727,0.1038,0.8375,0.318,0.0042,0.64575,0.1611
39,C · LogReg / CatBoost,58,smotecw,lightgbm,isotonic,0.8469,0.0583,0.4727,0.1038,0.8375,0.318,0.0042,0.64575,0.1611
40,C · LogReg / CatBoost,59,smotencw,lightgbm,isotonic,0.8469,0.0583,0.4727,0.1038,0.8375,0.318,0.0042,0.64575,0.1611
41,C · LogReg / CatBoost,60,smote,lightgbm,venn_abers,0.8469,0.0587,0.4712,0.1044,0.8375,0.318,0.0049,0.645675,0.16145
42,C · LogReg / CatBoost,61,smotenc,lightgbm,venn_abers,0.8469,0.0587,0.4712,0.1044,0.8375,0.318,0.0049,0.645675,0.16145
43,C · LogReg / CatBoost,62,smotecw,lightgbm,venn_abers,0.8469,0.0587,0.4712,0.1044,0.8375,0.318,0.0049,0.645675,0.16145
44,C · LogReg / CatBoost,63,smotencw,lightgbm,venn_abers,0.8469,0.0587,0.4712,0.1044,0.8375,0.318,0.0049,0.645675,0.16145
45,B · XGBoost / AdaBoost,33,smote,xgboost,isotonic,0.8476,0.017,0.4699,0.0328,0.8374,0.3198,0.0043,0.635125,0.16205
46,B · XGBoost / AdaBoost,34,smotenc,xgboost,isotonic,0.8476,0.017,0.4699,0.0328,0.8374,0.3198,0.0043,0.635125,0.16205
47,B · XGBoost / AdaBoost,35,smotecw,xgboost,isotonic,0.8476,0.017,0.4699,0.0328,0.8374,0.3198,0.0043,0.635125,0.16205
48,B · XGBoost / AdaBoost,36,smotencw,xgboost,isotonic,0.8476,0.017,0.4699,0.0328,0.8374,0.3198,0.0043,0.635125,0.16205
49,B · XGBoost / AdaBoost,45,cw,adaboost,venn_abers,0.848,0.0,0.0,0.0,0.8226,0.3236,0.0006,0.63095,0.1621
50,B · XGBoost / AdaBoost,46,cw,adaboost,isotonic,0.848,0.0,0.0,0.0,0.8226,0.3236,0.0007,0.630925,0.16215
51,B · XGBoost / AdaBoost,37,smote,adaboost,venn_abers,0.8477,0.0017,0.3478,0.0035,0.8304,0.3217,0.0028,0.631225,0.16225
52,B · XGBoost / AdaBoost,38,smotenc,adaboost,venn_abers,0.8477,0.0017,0.3478,0.0035,0.8304,0.3217,0.0028,0.631225,0.16225
53,B · XGBoost / AdaBoost,39,smotecw,adaboost,venn_abers,0.8477,0.0017,0.3478,0.0035,0.8304,0.3217,0.0028,0.631225,0.16225
54,B · XGBoost / AdaBoost,40,smotencw,adaboost,venn_abers,0.8477,0.0017,0.3478,0.0035,0.8304,0.3217,0.0028,0.631225,0.16225
55,B · XGBoost / AdaBoost,41,smote,adaboost,isotonic,0.8477,0.0015,0.3182,0.003,0.8301,0.3216,0.0029,0.6311749999999999,0.16225
56,B · XGBoost / AdaBoost,42,smotenc,adaboost,isotonic,0.8477,0.0015,0.3182,0.003,0.8301,0.3216,0.0029,0.6311749999999999,0.16225
57,B · XGBoost / AdaBoost,43,smotecw,adaboost,isotonic,0.8477,0.0015,0.3182,0.003,0.8301,0.3216,0.0029,0.6311749999999999,0.16225
58,B · XGBoost / AdaBoost,44,smotencw,adaboost,isotonic,0.8477,0.0015,0.3182,0.003,0.8301,0.3216,0.0029,0.6311749999999999,0.16225
59,C · LogReg / CatBoost,64,smote,catboost,isotonic,0.848,0.0476,0.5011,0.087,0.8372,0.3189,0.006,0.642675,0.16245
60,C · LogReg / CatBoost,65,smotenc,catboost,isotonic,0.848,0.0476,0.5011,0.087,0.8372,0.3189,0.006,0.642675,0.16245
61,C · LogReg / CatBoost,66,smotecw,catboost,isotonic,0.848,0.0476,0.5011,0.087,0.8372,0.3189,0.006,0.642675,0.16245
62,C · LogReg / CatBoost,67,smotencw,catboost,isotonic,0.848,0.0476,0.5011,0.087,0.8372,0.3189,0.006,0.642675,0.16245
63,A · KNN / RF,25,smotecw,randomforest,isotonic,0.8464,0.0679,0.4636,0.1184,0.8341,0.3198,0.0052,0.647325,0.16249999999999998
64,A · KNN / RF,26,smotencw,randomforest,isotonic,0.8464,0.0679,0.4636,0.1184,0.8341,0.3198,0.0052,0.647325,0.16249999999999998
65,A · KNN / RF,14,base,randomforest,isotonic,0.8486,0.1484,0.5074,0.2296,0.8432,0.319,0.0065,0.667875,0.16275
66,C · LogReg / CatBoost,68,smote,catboost,venn_abers,0.848,0.0479,0.5011,0.0874,0.8373,0.319,0.0065,0.6426000000000001,0.16275
67,C · LogReg / CatBoost,69,smotenc,catboost,venn_abers,0.848,0.0479,0.5011,0.0874,0.8373,0.319,0.0065,0.6426000000000001,0.16275
68,C · LogReg / CatBoost,70,smotecw,catboost,venn_abers,0.848,0.0479,0.5011,0.0874,0.8373,0.319,0.0065,0.6426000000000001,0.16275
69,C · LogReg / CatBoost,71,smotencw,catboost,venn_abers,0.848,0.0479,0.5011,0.0874,0.8373,0.319,0.0065,0.6426000000000001,0.16275
70,A · KNN / RF,27,smotecw,randomforest,venn_abers,0.8465,0.0685,0.466,0.1195,0.8341,0.3198,0.006,0.6473,0.1629
71,A · KNN / RF,28,smotencw,randomforest,venn_abers,0.8465,0.0685,0.466,0.1195,0.8341,0.3198,0.006,0.6473,0.1629
72,A · KNN / RF,33,smote,randomforest,isotonic,0.8471,0.0511,0.4747,0.0923,0.834,0.3197,0.0061,0.6431,0.1629
73,A · KNN / RF,34,smotenc,randomforest,isotonic,0.8471,0.0511,0.4747,0.0923,0.834,0.3197,0.0061,0.6431,0.1629
74,A · KNN / RF,31,smote,randomforest,venn_abers,0.8471,0.0518,0.4741,0.0934,0.8341,0.3198,0.0064,0.643175,0.1631
75,A · KNN / RF,32,smotenc,randomforest,venn_abers,0.8471,0.0518,0.4741,0.0934,0.8341,0.3198,0.0064,0.643175,0.1631
76,A · KNN / RF,15,base,randomforest,venn_abers,0.8486,0.1486,0.5074,0.2299,0.8433,0.3189,0.0075,0.6677,0.1632
77,A · KNN / RF,16,base,randomforest,base,0.8484,0.1457,0.5053,0.2262,0.8435,0.3185,0.009,0.66665,0.16375
78,C · LogReg / CatBoost,22,cw,logreg,platt,0.848,0.196,0.5003,0.2817,0.8484,0.3173,0.0144,0.6780750000000001,0.16585000000000003
79,C · LogReg / CatBoost,18,smote,logreg,platt,0.8476,0.1977,0.497,0.2829,0.8483,0.3179,0.015,0.6780999999999999,0.16645000000000001
80,C · LogReg / CatBoost,19,smotenc,logreg,platt,0.8476,0.1977,0.497,0.2829,0.8483,0.3179,0.015,0.6780999999999999,0.16645000000000001
81,C · LogReg / CatBoost,20,smotecw,logreg,platt,0.8476,0.1977,0.497,0.2829,0.8483,0.3179,0.015,0.6780999999999999,0.16645000000000001
82,C · LogReg / CatBoost,21,smotencw,logreg,platt,0.8476,0.1977,0.497,0.2829,0.8483,0.3179,0.015,0.6780999999999999,0.16645000000000001
83,B · XGBoost / AdaBoost,12,cw,xgboost,platt,0.8466,0.1864,0.4883,0.2698,0.8469,0.3204,0.0129,0.674925,0.16665000000000002
84,C · LogReg / CatBoost,17,base,catboost,platt,0.8505,0.199,0.5217,0.2881,0.8483,0.3203,0.0136,0.6789000000000001,0.16695
85,A · KNN / RF,23,base,knn,isotonic,0.8466,0.0896,0.4769,0.1509,0.8232,0.3308,0.004,0.65035,0.1674
86,A · KNN / RF,24,cw,knn,isotonic,0.8466,0.0896,0.4769,0.1509,0.8232,0.3308,0.004,0.65035,0.1674
87,C · LogReg / CatBoost,23,base,logreg,base,0.8486,0.1869,0.5059,0.2729,0.8486,0.3168,0.0191,0.6749,0.16795000000000002
88,A · KNN / RF,10,cw,randomforest,platt,0.848,0.2097,0.5003,0.2955,0.8487,0.3189,0.0183,0.6801250000000001,0.1686
89,B · XGBoost / AdaBoost,13,base,adaboost,platt,0.8486,0.1668,0.5063,0.251,0.8456,0.3177,0.02,0.669425,0.16885
90,C · LogReg / CatBoost,51,smote,catboost,platt,0.8469,0.1196,0.4854,0.192,0.8375,0.3233,0.0144,0.6572,0.16885
91,C · LogReg / CatBoost,52,smotenc,catboost,platt,0.8469,0.1196,0.4854,0.192,0.8375,0.3233,0.0144,0.6572,0.16885
92,C · LogReg / CatBoost,53,smotecw,catboost,platt,0.8469,0.1196,0.4854,0.192,0.8375,0.3233,0.0144,0.6572,0.16885
93,C · LogReg / CatBoost,54,smotencw,catboost,platt,0.8469,0.1196,0.4854,0.192,0.8375,0.3233,0.0144,0.6572,0.16885
94,A · KNN / RF,41,smote,knn,isotonic,0.848,0.0094,0.5119,0.0184,0.8199,0.331,0.0078,0.62965,0.1694
95,A · KNN / RF,42,smotenc,knn,isotonic,0.848,0.0094,0.5119,0.0184,0.8199,0.331,0.0078,0.62965,0.1694
96,A · KNN / RF,43,smotecw,knn,isotonic,0.848,0.0094,0.5119,0.0184,0.8199,0.331,0.0078,0.62965,0.1694
97,A · KNN / RF,44,smotencw,knn,isotonic,0.848,0.0094,0.5119,0.0184,0.8199,0.331,0.0078,0.62965,0.1694
98,A · KNN / RF,45,smote,knn,venn_abers,0.848,0.0096,0.5057,0.0188,0.8199,0.3311,0.0081,0.6295999999999999,0.1696
99,A · KNN / RF,46,smotenc,knn,venn_abers,0.848,0.0096,0.5057,0.0188,0.8199,0.3311,0.0081,0.6295999999999999,0.1696
100,A · KNN / RF,47,smotecw,knn,venn_abers,0.848,0.0096,0.5057,0.0188,0.8199,0.3311,0.0081,0.6295999999999999,0.1696
101,A · KNN / RF,48,smotencw,knn,venn_abers,0.848,0.0096,0.5057,0.0188,0.8199,0.3311,0.0081,0.6295999999999999,0.1696
102,D · Naïve Bayes,11,base,naive_bayes,isotonic,0.848,0.0,0.0,0.0,0.8091,0.3411,0.0024,0.626125,0.17175
103,D · Naïve Bayes,12,cw,naive_bayes,isotonic,0.848,0.0,0.0,0.0,0.8091,0.3411,0.0024,0.626125,0.17175
104,D · Naïve Bayes,13,base,naive_bayes,venn_abers,0.848,0.0,0.0,0.0,0.8091,0.3411,0.0041,0.6257,0.1726
105,D · Naïve Bayes,14,cw,naive_bayes,venn_abers,0.848,0.0,0.0,0.0,0.8091,0.3411,0.0041,0.6257,0.1726
106,B · XGBoost / AdaBoost,25,smote,adaboost,platt,0.8449,0.0827,0.4455,0.1394,0.8306,0.329,0.0186,0.645,0.1738
107,B · XGBoost / AdaBoost,26,smotenc,adaboost,platt,0.8449,0.0827,0.4455,0.1394,0.8306,0.329,0.0186,0.645,0.1738
108,B · XGBoost / AdaBoost,27,smotecw,adaboost,platt,0.8449,0.0827,0.4455,0.1394,0.8306,0.329,0.0186,0.645,0.1738
109,B · XGBoost / AdaBoost,28,smotencw,adaboost,platt,0.8449,0.0827,0.4455,0.1394,0.8306,0.329,0.0186,0.645,0.1738
110,A · KNN / RF,29,base,knn,venn_abers,0.8466,0.0896,0.4769,0.1509,0.8191,0.3358,0.0137,0.646675,0.17475
111,A · KNN / RF,30,cw,knn,venn_abers,0.8466,0.0896,0.4769,0.1509,0.8191,0.3358,0.0137,0.646675,0.17475
112,C · LogReg / CatBoost,16,base,lightgbm,platt,0.8488,0.2323,0.5057,0.3184,0.8521,0.3237,0.0277,0.682425,0.1757
113,B · XGBoost / AdaBoost,47,cw,adaboost,platt,0.848,0.0,0.0,0.0,0.8226,0.3346,0.0169,0.624125,0.17575000000000002
114,A · KNN / RF,35,smote,knn,platt,0.8433,0.0757,0.4153,0.1281,0.8203,0.3347,0.0175,0.6416999999999999,0.1761
115,A · KNN / RF,36,smotenc,knn,platt,0.8433,0.0757,0.4153,0.1281,0.8203,0.3347,0.0175,0.6416999999999999,0.1761
116,A · KNN / RF,37,smotecw,knn,platt,0.8433,0.0757,0.4153,0.1281,0.8203,0.3347,0.0175,0.6416999999999999,0.1761
117,A · KNN / RF,38,smotencw,knn,platt,0.8433,0.0757,0.4153,0.1281,0.8203,0.3347,0.0175,0.6416999999999999,0.1761
118,D · Naïve Bayes,3,smote,naive_bayes,venn_abers,0.8493,0.0594,0.5395,0.107,0.7954,0.3492,0.0038,0.638925,0.17650000000000002
119,D · Naïve Bayes,4,smotenc,naive_bayes,venn_abers,0.8493,0.0594,0.5395,0.107,0.7954,0.3492,0.0038,0.638925,0.17650000000000002
120,D · Naïve Bayes,5,smotecw,naive_bayes,venn_abers,0.8493,0.0594,0.5395,0.107,0.7954,0.3492,0.0038,0.638925,0.17650000000000002
121,D · Naïve Bayes,6,smotencw,naive_bayes,venn_abers,0.8493,0.0594,0.5395,0.107,0.7954,0.3492,0.0038,0.638925,0.17650000000000002
122,D · Naïve Bayes,7,smote,naive_bayes,isotonic,0.8493,0.0594,0.5406,0.107,0.7953,0.3493,0.0039,0.6388750000000001,0.1766
123,D · Naïve Bayes,8,smotenc,naive_bayes,isotonic,0.8493,0.0594,0.5406,0.107,0.7953,0.3493,0.0039,0.6388750000000001,0.1766
124,D · Naïve Bayes,9,smotecw,naive_bayes,isotonic,0.8493,0.0594,0.5406,0.107,0.7953,0.3493,0.0039,0.6388750000000001,0.1766
125,D · Naïve Bayes,10,smotencw,naive_bayes,isotonic,0.8493,0.0594,0.5406,0.107,0.7953,0.3493,0.0039,0.6388750000000001,0.1766
126,B · XGBoost / AdaBoost,11,base,xgboost,platt,0.8493,0.2275,0.5097,0.3146,0.8519,0.3244,0.029,0.68085,0.17670000000000002
127,B · XGBoost / AdaBoost,19,smote,xgboost,platt,0.8427,0.1627,0.4522,0.2393,0.8378,0.3284,0.0263,0.662675,0.17735
128,B · XGBoost / AdaBoost,20,smotenc,xgboost,platt,0.8427,0.1627,0.4522,0.2393,0.8378,0.3284,0.0263,0.662675,0.17735
129,B · XGBoost / AdaBoost,21,smotecw,xgboost,platt,0.8427,0.1627,0.4522,0.2393,0.8378,0.3284,0.0263,0.662675,0.17735
130,B · XGBoost / AdaBoost,22,smotencw,xgboost,platt,0.8427,0.1627,0.4522,0.2393,0.8378,0.3284,0.0263,0.662675,0.17735
131,C · LogReg / CatBoost,47,smote,lightgbm,platt,0.8427,0.1553,0.4496,0.2309,0.8378,0.3281,0.0269,0.66075,0.1775
132,C · LogReg / CatBoost,48,smotenc,lightgbm,platt,0.8427,0.1553,0.4496,0.2309,0.8378,0.3281,0.0269,0.66075,0.1775
133,C · LogReg / CatBoost,49,smotecw,lightgbm,platt,0.8427,0.1553,0.4496,0.2309,0.8378,0.3281,0.0269,0.66075,0.1775
134,C · LogReg / CatBoost,50,smotencw,lightgbm,platt,0.8427,0.1553,0.4496,0.2309,0.8378,0.3281,0.0269,0.66075,0.1775
135,A · KNN / RF,11,base,randomforest,platt,0.8451,0.2034,0.4775,0.2853,0.8435,0.33,0.0275,0.67275,0.17875000000000002
136,A · KNN / RF,17,smote,randomforest,platt,0.8423,0.1486,0.4438,0.2226,0.8347,0.3297,0.0281,0.658275,0.1789
137,A · KNN / RF,18,smotenc,randomforest,platt,0.8423,0.1486,0.4438,0.2226,0.8347,0.3297,0.0281,0.658275,0.1789
138,A · KNN / RF,19,smotecw,randomforest,platt,0.842,0.1484,0.4414,0.2221,0.8346,0.3296,0.0287,0.658025,0.17915
139,A · KNN / RF,20,smotencw,randomforest,platt,0.842,0.1484,0.4414,0.2221,0.8346,0.3296,0.0287,0.658025,0.17915
140,D · Naïve Bayes,15,base,naive_bayes,platt,0.848,0.0,0.0,0.0,0.8075,0.3488,0.0154,0.62095,0.1821
141,D · Naïve Bayes,16,cw,naive_bayes,platt,0.848,0.0,0.0,0.0,0.8075,0.3488,0.0154,0.62095,0.1821
142,D · Naïve Bayes,17,smote,naive_bayes,platt,0.848,0.0,0.0,0.0,0.7922,0.3536,0.0116,0.6206999999999999,0.1826
143,D · Naïve Bayes,18,smotenc,naive_bayes,platt,0.848,0.0,0.0,0.0,0.7922,0.3536,0.0116,0.6206999999999999,0.1826
144,D · Naïve Bayes,19,smotecw,naive_bayes,platt,0.848,0.0,0.0,0.0,0.7922,0.3536,0.0116,0.6206999999999999,0.1826
145,D · Naïve Bayes,20,smotencw,naive_bayes,platt,0.848,0.0,0.0,0.0,0.7922,0.3536,0.0116,0.6206999999999999,0.1826
146,C · LogReg / CatBoost,72,base,catboost,base,0.8498,0.0331,0.608,0.0627,0.8483,0.3284,0.0391,0.6288499999999999,0.18375000000000002
147,A · KNN / RF,21,base,knn,platt,0.8436,0.1451,0.4553,0.2201,0.8232,0.3458,0.0381,0.6512,0.19195
148,A · KNN / RF,22,cw,knn,platt,0.8436,0.1451,0.4553,0.2201,0.8232,0.3458,0.0381,0.6512,0.19195
149,C · LogReg / CatBoost,30,base,logreg,platt,0.8485,0.2064,0.504,0.2929,0.8486,0.3382,0.0485,0.66705,0.19335
150,A · KNN / RF,39,base,knn,base,0.8466,0.0896,0.4769,0.1509,0.8232,0.3823,0.0142,0.6349250000000001,0.19824999999999998
151,A · KNN / RF,40,cw,knn,base,0.8466,0.0896,0.4769,0.1509,0.8232,0.3823,0.0142,0.6349250000000001,0.19824999999999998
152,B · XGBoost / AdaBoost,2,smote,xgboost,base,0.7919,0.6356,0.3875,0.4815,0.8378,0.3704,0.1095,0.7369,0.23995
153,B · XGBoost / AdaBoost,3,smotenc,xgboost,base,0.7919,0.6356,0.3875,0.4815,0.8378,0.3704,0.1095,0.7369,0.23995
154,B · XGBoost / AdaBoost,4,smotecw,xgboost,base,0.7919,0.6356,0.3875,0.4815,0.8378,0.3704,0.1095,0.7369,0.23995
155,B · XGBoost / AdaBoost,5,smotencw,xgboost,base,0.7919,0.6356,0.3875,0.4815,0.8378,0.3704,0.1095,0.7369,0.23995
156,C · LogReg / CatBoost,5,smote,lightgbm,base,0.7905,0.6382,0.3858,0.4809,0.8378,0.3705,0.1111,0.736775,0.24080000000000001
157,C · LogReg / CatBoost,6,smotenc,lightgbm,base,0.7905,0.6382,0.3858,0.4809,0.8378,0.3705,0.1111,0.736775,0.24080000000000001
158,C · LogReg / CatBoost,7,smotecw,lightgbm,base,0.7905,0.6382,0.3858,0.4809,0.8378,0.3705,0.1111,0.736775,0.24080000000000001
159,C · LogReg / CatBoost,8,smotencw,lightgbm,base,0.7905,0.6382,0.3858,0.4809,0.8378,0.3705,0.1111,0.736775,0.24080000000000001
160,A · KNN / RF,1,cw,randomforest,base,0.7968,0.6774,0.4005,0.5034,0.8487,0.3691,0.1171,0.747,0.24309999999999998
161,A · KNN / RF,4,smote,randomforest,base,0.7716,0.6891,0.3665,0.4785,0.8347,0.4003,0.1356,0.7312,0.26795
162,A · KNN / RF,5,smotenc,randomforest,base,0.7716,0.6891,0.3665,0.4785,0.8347,0.4003,0.1356,0.7312,0.26795
163,A · KNN / RF,2,smotecw,randomforest,base,0.7692,0.7042,0.3656,0.4813,0.8346,0.4044,0.1386,0.7326,0.27149999999999996
164,A · KNN / RF,3,smotencw,randomforest,base,0.7692,0.7042,0.3656,0.4813,0.8346,0.4044,0.1386,0.7326,0.27149999999999996
165,B · XGBoost / AdaBoost,48,base,adaboost,base,0.8489,0.184,0.5081,0.2702,0.8456,0.4062,0.1388,0.621975,0.2725
166,B · XGBoost / AdaBoost,1,cw,xgboost,base,0.7687,0.7651,0.3729,0.5014,0.8469,0.4118,0.1493,0.743175,0.28054999999999997
167,C · LogReg / CatBoost,1,smote,catboost,base,0.7521,0.7822,0.3564,0.4897,0.8375,0.4139,0.1577,0.740675,0.2858
168,C · LogReg / CatBoost,2,smotenc,catboost,base,0.7521,0.7822,0.3564,0.4897,0.8375,0.4139,0.1577,0.740675,0.2858
169,C · LogReg / CatBoost,3,smotecw,catboost,base,0.7521,0.7822,0.3564,0.4897,0.8375,0.4139,0.1577,0.740675,0.2858
170,C · LogReg / CatBoost,4,smotencw,catboost,base,0.7521,0.7822,0.3564,0.4897,0.8375,0.4139,0.1577,0.740675,0.2858
171,C · LogReg / CatBoost,9,cw,catboost,base,0.73,0.8479,0.3431,0.4885,0.8486,0.456,0.1877,0.73355,0.32185
172,C · LogReg / CatBoost,10,cw,lightgbm,base,0.7221,0.8686,0.3386,0.4872,0.8522,0.4691,0.1999,0.730425,0.3345
173,B · XGBoost / AdaBoost,6,smote,adaboost,base,0.7423,0.802,0.3489,0.4863,0.8306,0.4663,0.2067,0.717825,0.3365
