rank,experiment,rank,sampling,model,calibration,accuracy,recall,precision,f1,auc,logloss,ece,combined
1,A · KNN / RF,1,cw,randomforest,base,0.7968,0.6774,0.4005,0.5034,0.8487,0.3691,0.1171,0.747
2,B · XGBoost / AdaBoost,1,cw,xgboost,base,0.7687,0.7651,0.3729,0.5014,0.8469,0.4118,0.1493,0.743175
3,C · LogReg / CatBoost,1,smote,catboost,base,0.7521,0.7822,0.3564,0.4897,0.8375,0.4139,0.1577,0.740675
4,C · LogReg / CatBoost,2,smotenc,catboost,base,0.7521,0.7822,0.3564,0.4897,0.8375,0.4139,0.1577,0.740675
5,C · LogReg / CatBoost,3,smotecw,catboost,base,0.7521,0.7822,0.3564,0.4897,0.8375,0.4139,0.1577,0.740675
6,C · LogReg / CatBoost,4,smotencw,catboost,base,0.7521,0.7822,0.3564,0.4897,0.8375,0.4139,0.1577,0.740675
7,B · XGBoost / AdaBoost,2,smote,xgboost,base,0.7919,0.6356,0.3875,0.4815,0.8378,0.3704,0.1095,0.7369
8,B · XGBoost / AdaBoost,3,smotenc,xgboost,base,0.7919,0.6356,0.3875,0.4815,0.8378,0.3704,0.1095,0.7369
9,B · XGBoost / AdaBoost,4,smotecw,xgboost,base,0.7919,0.6356,0.3875,0.4815,0.8378,0.3704,0.1095,0.7369
10,B · XGBoost / AdaBoost,5,smotencw,xgboost,base,0.7919,0.6356,0.3875,0.4815,0.8378,0.3704,0.1095,0.7369
11,C · LogReg / CatBoost,5,smote,lightgbm,base,0.7905,0.6382,0.3858,0.4809,0.8378,0.3705,0.1111,0.736775
12,C · LogReg / CatBoost,6,smotenc,lightgbm,base,0.7905,0.6382,0.3858,0.4809,0.8378,0.3705,0.1111,0.736775
13,C · LogReg / CatBoost,7,smotecw,lightgbm,base,0.7905,0.6382,0.3858,0.4809,0.8378,0.3705,0.1111,0.736775
14,C · LogReg / CatBoost,8,smotencw,lightgbm,base,0.7905,0.6382,0.3858,0.4809,0.8378,0.3705,0.1111,0.736775
15,C · LogReg / CatBoost,9,cw,catboost,base,0.73,0.8479,0.3431,0.4885,0.8486,0.456,0.1877,0.73355
16,A · KNN / RF,2,smotecw,randomforest,base,0.7692,0.7042,0.3656,0.4813,0.8346,0.4044,0.1386,0.7326
17,A · KNN / RF,3,smotencw,randomforest,base,0.7692,0.7042,0.3656,0.4813,0.8346,0.4044,0.1386,0.7326
18,A · KNN / RF,4,smote,randomforest,base,0.7716,0.6891,0.3665,0.4785,0.8347,0.4003,0.1356,0.7312
19,A · KNN / RF,5,smotenc,randomforest,base,0.7716,0.6891,0.3665,0.4785,0.8347,0.4003,0.1356,0.7312
20,C · LogReg / CatBoost,10,cw,lightgbm,base,0.7221,0.8686,0.3386,0.4872,0.8522,0.4691,0.1999,0.730425
21,C · LogReg / CatBoost,11,smote,logreg,base,0.7427,0.831,0.353,0.4955,0.8483,0.493,0.2078,0.718225
22,C · LogReg / CatBoost,12,smotenc,logreg,base,0.7427,0.831,0.353,0.4955,0.8483,0.493,0.2078,0.718225
23,C · LogReg / CatBoost,13,smotecw,logreg,base,0.7427,0.831,0.353,0.4955,0.8483,0.493,0.2078,0.718225
24,C · LogReg / CatBoost,14,smotencw,logreg,base,0.7427,0.831,0.353,0.4955,0.8483,0.493,0.2078,0.718225
25,B · XGBoost / AdaBoost,6,smote,adaboost,base,0.7423,0.802,0.3489,0.4863,0.8306,0.4663,0.2067,0.717825
26,B · XGBoost / AdaBoost,7,smotenc,adaboost,base,0.7423,0.802,0.3489,0.4863,0.8306,0.4663,0.2067,0.717825
27,B · XGBoost / AdaBoost,8,smotecw,adaboost,base,0.7423,0.802,0.3489,0.4863,0.8306,0.4663,0.2067,0.717825
28,B · XGBoost / AdaBoost,9,smotencw,adaboost,base,0.7423,0.802,0.3489,0.4863,0.8306,0.4663,0.2067,0.717825
29,C · LogReg / CatBoost,15,cw,logreg,base,0.7389,0.8366,0.3499,0.4935,0.8484,0.495,0.2134,0.7167749999999999
30,B · XGBoost / AdaBoost,10,cw,adaboost,base,0.7195,0.8645,0.3358,0.4837,0.8226,0.5745,0.234,0.693875
31,A · KNN / RF,6,smote,knn,base,0.6998,0.8471,0.3174,0.4618,0.8203,0.5532,0.2246,0.692275
32,A · KNN / RF,7,smotenc,knn,base,0.6998,0.8471,0.3174,0.4618,0.8203,0.5532,0.2246,0.692275
33,A · KNN / RF,8,smotecw,knn,base,0.6998,0.8471,0.3174,0.4618,0.8203,0.5532,0.2246,0.692275
34,A · KNN / RF,9,smotencw,knn,base,0.6998,0.8471,0.3174,0.4618,0.8203,0.5532,0.2246,0.692275
35,C · LogReg / CatBoost,16,base,lightgbm,platt,0.8488,0.2323,0.5057,0.3184,0.8521,0.3237,0.0277,0.682425
36,B · XGBoost / AdaBoost,11,base,xgboost,platt,0.8493,0.2275,0.5097,0.3146,0.8519,0.3244,0.029,0.68085
37,A · KNN / RF,10,cw,randomforest,platt,0.848,0.2097,0.5003,0.2955,0.8487,0.3189,0.0183,0.6801250000000001
38,C · LogReg / CatBoost,17,base,catboost,platt,0.8505,0.199,0.5217,0.2881,0.8483,0.3203,0.0136,0.6789000000000001
39,C · LogReg / CatBoost,18,smote,logreg,platt,0.8476,0.1977,0.497,0.2829,0.8483,0.3179,0.015,0.6780999999999999
40,C · LogReg / CatBoost,19,smotenc,logreg,platt,0.8476,0.1977,0.497,0.2829,0.8483,0.3179,0.015,0.6780999999999999
41,C · LogReg / CatBoost,20,smotecw,logreg,platt,0.8476,0.1977,0.497,0.2829,0.8483,0.3179,0.015,0.6780999999999999
42,C · LogReg / CatBoost,21,smotencw,logreg,platt,0.8476,0.1977,0.497,0.2829,0.8483,0.3179,0.015,0.6780999999999999
43,C · LogReg / CatBoost,22,cw,logreg,platt,0.848,0.196,0.5003,0.2817,0.8484,0.3173,0.0144,0.6780750000000001
44,B · XGBoost / AdaBoost,12,cw,xgboost,platt,0.8466,0.1864,0.4883,0.2698,0.8469,0.3204,0.0129,0.674925
45,C · LogReg / CatBoost,23,base,logreg,base,0.8486,0.1869,0.5059,0.2729,0.8486,0.3168,0.0191,0.6749
46,A · KNN / RF,11,base,randomforest,platt,0.8451,0.2034,0.4775,0.2853,0.8435,0.33,0.0275,0.67275
47,C · LogReg / CatBoost,24,base,lightgbm,venn_abers,0.8503,0.1497,0.5268,0.2331,0.8518,0.3101,0.0038,0.6715249999999999
48,C · LogReg / CatBoost,25,base,lightgbm,isotonic,0.8504,0.1497,0.5276,0.2332,0.8517,0.3101,0.0043,0.6714249999999999
49,C · LogReg / CatBoost,26,base,logreg,venn_abers,0.8489,0.1488,0.5101,0.2304,0.8482,0.3128,0.0044,0.6701250000000001
50,C · LogReg / CatBoost,27,base,logreg,isotonic,0.8488,0.1484,0.5093,0.2298,0.8482,0.3132,0.0047,0.669825
51,B · XGBoost / AdaBoost,13,base,adaboost,platt,0.8486,0.1668,0.5063,0.251,0.8456,0.3177,0.02,0.669425
52,A · KNN / RF,12,cw,randomforest,isotonic,0.8488,0.1468,0.5094,0.228,0.8483,0.313,0.005,0.6694
53,A · KNN / RF,13,cw,randomforest,venn_abers,0.8488,0.1471,0.5098,0.2283,0.8485,0.3138,0.0055,0.66915
54,B · XGBoost / AdaBoost,14,base,adaboost,venn_abers,0.849,0.1449,0.5119,0.2258,0.8454,0.3142,0.0044,0.668825
55,B · XGBoost / AdaBoost,15,base,adaboost,isotonic,0.8489,0.1434,0.5112,0.2239,0.8454,0.3143,0.0042,0.66845
56,C · LogReg / CatBoost,28,cw,logreg,venn_abers,0.8486,0.1434,0.5069,0.2235,0.848,0.3129,0.0061,0.66825
57,C · LogReg / CatBoost,29,cw,logreg,isotonic,0.8486,0.1431,0.5073,0.2233,0.8478,0.3133,0.0058,0.66815
58,A · KNN / RF,14,base,randomforest,isotonic,0.8486,0.1484,0.5074,0.2296,0.8432,0.319,0.0065,0.667875
59,A · KNN / RF,15,base,randomforest,venn_abers,0.8486,0.1486,0.5074,0.2299,0.8433,0.3189,0.0075,0.6677
60,B · XGBoost / AdaBoost,16,base,xgboost,venn_abers,0.8502,0.1344,0.5287,0.2144,0.8518,0.3103,0.0056,0.667175
61,C · LogReg / CatBoost,30,base,logreg,platt,0.8485,0.2064,0.504,0.2929,0.8486,0.3382,0.0485,0.66705
62,A · KNN / RF,16,base,randomforest,base,0.8484,0.1457,0.5053,0.2262,0.8435,0.3185,0.009,0.66665
63,C · LogReg / CatBoost,31,cw,catboost,venn_abers,0.8494,0.1353,0.5183,0.2146,0.8485,0.3146,0.0037,0.6666
64,B · XGBoost / AdaBoost,17,base,xgboost,isotonic,0.85,0.1281,0.5278,0.2062,0.8518,0.3104,0.0051,0.66565
65,C · LogReg / CatBoost,32,cw,catboost,platt,0.8495,0.1327,0.5191,0.2114,0.8486,0.3157,0.0065,0.665
66,B · XGBoost / AdaBoost,18,base,xgboost,base,0.8502,0.119,0.5321,0.1945,0.8519,0.3098,0.0027,0.664175
67,C · LogReg / CatBoost,33,smote,logreg,venn_abers,0.8479,0.1273,0.4991,0.2028,0.8481,0.313,0.0066,0.6638999999999999
