sampling,model,best_stage1_score,best_acc_cv,best_rec_cv
base,logreg,0.6745741234552385,0.8343236242750998,0.4429788187607713
base,catboost,0.7681034061623713,0.7246590447806875,0.8588417506922374
smote,logreg,0.765290385374781,0.7232921305422698,0.866018637007852
smote,catboost,0.7686054697076498,0.716446344415129,0.8631189306221778
smotenc,logreg,0.765290385374781,0.7232921305422698,0.866018637007852
smotenc,catboost,0.7686054697076498,0.716446344415129,0.8631189306221778
cw,logreg,0.7643493428574664,0.7174715799794161,0.8733412708104367
cw,catboost,0.764725122632809,0.7074399414914581,0.8765315050055389
smotecw,logreg,0.765290385374781,0.7232921305422698,0.866018637007852
smotecw,catboost,0.7686054697076498,0.716446344415129,0.8631189306221778
smotencw,logreg,0.765290385374781,0.7232921305422698,0.866018637007852
smotencw,catboost,0.7686054697076498,0.716446344415129,0.8631189306221778
