rank,sampling,model,calibration,accuracy,recall,precision,f1,auc,logloss,ece,combined
1,base,naive_bayes,base,0.7463,0.73,0.3429,0.4666,0.8075,0.7084,0.1859,0.6455
2,cw,naive_bayes,base,0.7463,0.73,0.3429,0.4666,0.8075,0.7084,0.1859,0.6455
3,smote,naive_bayes,venn_abers,0.8493,0.0594,0.5395,0.107,0.7954,0.3492,0.0038,0.638925
4,smotenc,naive_bayes,venn_abers,0.8493,0.0594,0.5395,0.107,0.7954,0.3492,0.0038,0.638925
5,smotecw,naive_bayes,venn_abers,0.8493,0.0594,0.5395,0.107,0.7954,0.3492,0.0038,0.638925
6,smotencw,naive_bayes,venn_abers,0.8493,0.0594,0.5395,0.107,0.7954,0.3492,0.0038,0.638925
7,smote,naive_bayes,isotonic,0.8493,0.0594,0.5406,0.107,0.7953,0.3493,0.0039,0.6388750000000001
8,smotenc,naive_bayes,isotonic,0.8493,0.0594,0.5406,0.107,0.7953,0.3493,0.0039,0.6388750000000001
9,smotecw,naive_bayes,isotonic,0.8493,0.0594,0.5406,0.107,0.7953,0.3493,0.0039,0.6388750000000001
10,smotencw,naive_bayes,isotonic,0.8493,0.0594,0.5406,0.107,0.7953,0.3493,0.0039,0.6388750000000001
11,base,naive_bayes,isotonic,0.848,0.0,0.0,0.0,0.8091,0.3411,0.0024,0.626125
12,cw,naive_bayes,isotonic,0.848,0.0,0.0,0.0,0.8091,0.3411,0.0024,0.626125
13,base,naive_bayes,venn_abers,0.848,0.0,0.0,0.0,0.8091,0.3411,0.0041,0.6257
14,cw,naive_bayes,venn_abers,0.848,0.0,0.0,0.0,0.8091,0.3411,0.0041,0.6257
15,base,naive_bayes,platt,0.848,0.0,0.0,0.0,0.8075,0.3488,0.0154,0.62095
16,cw,naive_bayes,platt,0.848,0.0,0.0,0.0,0.8075,0.3488,0.0154,0.62095
17,smote,naive_bayes,platt,0.848,0.0,0.0,0.0,0.7922,0.3536,0.0116,0.6206999999999999
18,smotenc,naive_bayes,platt,0.848,0.0,0.0,0.0,0.7922,0.3536,0.0116,0.6206999999999999
19,smotecw,naive_bayes,platt,0.848,0.0,0.0,0.0,0.7922,0.3536,0.0116,0.6206999999999999
20,smotencw,naive_bayes,platt,0.848,0.0,0.0,0.0,0.7922,0.3536,0.0116,0.6206999999999999
21,smote,naive_bayes,base,0.7309,0.7451,0.3296,0.457,0.7922,0.7991,0.212,0.616225
22,smotenc,naive_bayes,base,0.7309,0.7451,0.3296,0.457,0.7922,0.7991,0.212,0.616225
23,smotecw,naive_bayes,base,0.7309,0.7451,0.3296,0.457,0.7922,0.7991,0.212,0.616225
24,smotencw,naive_bayes,base,0.7309,0.7451,0.3296,0.457,0.7922,0.7991,0.212,0.616225
