rank,sampling,model,accuracy,recall,precision,f1,auc,logloss,ece,combined
1,cw,randomforest,0.7297,0.8758,0.563,0.6854,0.8367,0.5035,0.1131,0.8027500000000001
2,cw,catboost,0.7475,0.8561,0.585,0.695,0.8468,0.4863,0.1048,0.8018000000000001
3,cw,xgboost,0.7515,0.8498,0.5906,0.6969,0.8484,0.4821,0.1015,0.80065
4,cw,adaboost,0.6762,0.9232,0.5102,0.6572,0.7964,0.6935,0.2316,0.7997000000000001
5,smote,adaboost,0.6779,0.9202,0.5116,0.6576,0.7784,0.7154,0.2273,0.79905
6,smotenc,adaboost,0.6779,0.9202,0.5116,0.6576,0.7784,0.7154,0.2273,0.79905
7,smotecw,adaboost,0.6779,0.9202,0.5116,0.6576,0.7784,0.7154,0.2273,0.79905
8,smotencw,adaboost,0.6779,0.9202,0.5116,0.6576,0.7784,0.7154,0.2273,0.79905
9,smote,catboost,0.7541,0.8254,0.5972,0.693,0.843,0.4778,0.0806,0.78975
10,smotenc,catboost,0.7541,0.8254,0.5972,0.693,0.843,0.4778,0.0806,0.78975
11,smotecw,catboost,0.7541,0.8254,0.5972,0.693,0.843,0.4778,0.0806,0.78975
12,smotencw,catboost,0.7541,0.8254,0.5972,0.693,0.843,0.4778,0.0806,0.78975
13,cw,logreg,0.7521,0.8165,0.5958,0.6889,0.8403,0.4962,0.1066,0.7843
14,smotecw,randomforest,0.7545,0.8126,0.5995,0.69,0.8392,0.4766,0.0744,0.78355
15,smotencw,randomforest,0.7545,0.8126,0.5995,0.69,0.8392,0.4766,0.0744,0.78355
16,base,adaboost,0.7093,0.8578,0.5428,0.6649,0.7787,0.5233,0.074,0.78355
17,smote,randomforest,0.754,0.8118,0.5989,0.6893,0.8393,0.4766,0.0746,0.7828999999999999
18,smotenc,randomforest,0.754,0.8118,0.5989,0.6893,0.8393,0.4766,0.0746,0.7828999999999999
19,smote,logreg,0.7537,0.8116,0.5986,0.689,0.8406,0.4956,0.1034,0.7826500000000001
20,smotenc,logreg,0.7537,0.8116,0.5986,0.689,0.8406,0.4956,0.1034,0.7826500000000001
21,smotecw,logreg,0.7537,0.8116,0.5986,0.689,0.8406,0.4956,0.1034,0.7826500000000001
22,smotencw,logreg,0.7537,0.8116,0.5986,0.689,0.8406,0.4956,0.1034,0.7826500000000001
23,smote,knn,0.719,0.8075,0.5566,0.659,0.804,0.9814,0.1251,0.76325
24,smotenc,knn,0.719,0.8075,0.5566,0.659,0.804,0.9814,0.1251,0.76325
25,smotecw,knn,0.719,0.8075,0.5566,0.659,0.804,0.9814,0.1251,0.76325
26,smotencw,knn,0.719,0.8075,0.5566,0.659,0.804,0.9814,0.1251,0.76325
27,smote,xgboost,0.7696,0.7545,0.6317,0.6876,0.8459,0.456,0.0405,0.7620499999999999
28,smotenc,xgboost,0.7696,0.7545,0.6317,0.6876,0.8459,0.456,0.0405,0.7620499999999999
29,smotecw,xgboost,0.7696,0.7545,0.6317,0.6876,0.8459,0.456,0.0405,0.7620499999999999
30,smotencw,xgboost,0.7696,0.7545,0.6317,0.6876,0.8459,0.456,0.0405,0.7620499999999999
31,base,randomforest,0.7611,0.7091,0.6281,0.6661,0.8371,0.4656,0.0284,0.7351
32,base,catboost,0.771,0.6898,0.6503,0.6695,0.8445,0.4574,0.0262,0.7303999999999999
33,base,xgboost,0.7749,0.676,0.6617,0.6688,0.8484,0.4474,0.0055,0.72545
34,base,logreg,0.7682,0.6312,0.663,0.6467,0.8406,0.4593,0.0173,0.6997
35,base,knn,0.7534,0.613,0.6389,0.6257,0.8195,0.6351,0.0204,0.6832
36,cw,knn,0.7534,0.613,0.6389,0.6257,0.8195,0.6351,0.0204,0.6832
