sampling,model,best_stage1_score,best_acc_cv,best_rec_cv
base,xgboost,0.6951296525030373,0.8263424194653042,0.5023563412907202
base,adaboost,0.7677182939000788,0.7192023024427255,0.8626834219882733
smote,xgboost,0.7652739832832001,0.7058414744024737,0.8770387663544529
smote,adaboost,0.7573529120054299,0.7012553881927704,0.8778381857865774
smotenc,xgboost,0.7652739832832001,0.7058414744024737,0.8770387663544529
smotenc,adaboost,0.7573529120054299,0.7012553881927704,0.8778381857865774
cw,xgboost,0.7698951484586929,0.708013174888915,0.8861012292847908
cw,adaboost,0.7554949503601355,0.6983013744737998,0.8865354913557767
smotecw,xgboost,0.7652739832832001,0.7058414744024737,0.8770387663544529
smotecw,adaboost,0.7573529120054299,0.7012553881927704,0.8778381857865774
smotencw,xgboost,0.7652739832832001,0.7058414744024737,0.8770387663544529
smotencw,adaboost,0.7573529120054299,0.7012553881927704,0.8778381857865774
