rank,sampling,model,threshold,accuracy,recall,precision,f1,auc,logloss,ece,combined
1,cw,lightgbm,0.4,0.7263,0.8977,0.5578,0.688,0.8479,0.4828,0.1015,0.812
2,base,lightgbm,0.25,0.7275,0.8963,0.559,0.6886,0.8484,0.4476,0.0049,0.8119000000000001
3,smotecw,catboost,0.3,0.729,0.8909,0.561,0.6885,0.8471,0.4521,0.03,0.80995
4,smote,catboost,0.3,0.7304,0.8891,0.5627,0.6892,0.8469,0.4517,0.027,0.80975
5,smotencw,catboost,0.3,0.7304,0.8891,0.5627,0.6892,0.8469,0.4517,0.027,0.80975
6,smote,lightgbm,0.3,0.7295,0.8897,0.5616,0.6886,0.8467,0.4528,0.0308,0.8096000000000001
7,smotenc,lightgbm,0.3,0.7295,0.8897,0.5616,0.6886,0.8467,0.4528,0.0308,0.8096000000000001
8,smotecw,lightgbm,0.3,0.7314,0.8876,0.5638,0.6896,0.8469,0.4522,0.0292,0.8095
9,smotencw,lightgbm,0.3,0.7314,0.8876,0.5638,0.6896,0.8469,0.4522,0.0292,0.8095
10,smotenc,catboost,0.3,0.7283,0.8896,0.5604,0.6876,0.8468,0.4524,0.0295,0.80895
11,cw,catboost,0.45,0.7383,0.8768,0.5723,0.6925,0.848,0.4831,0.102,0.80755
12,base,catboost,0.3,0.7393,0.8751,0.5735,0.6929,0.8473,0.4492,0.005,0.8071999999999999
13,cw,logreg,0.4,0.7277,0.8807,0.5605,0.685,0.8405,0.4972,0.1074,0.8042
14,base,logreg,0.3,0.73,0.8783,0.5631,0.6863,0.8402,0.4643,0.0268,0.8041499999999999
15,smote,logreg,0.4,0.7307,0.8771,0.5639,0.6865,0.8406,0.496,0.1039,0.8039000000000001
16,smotenc,logreg,0.4,0.7307,0.8771,0.5639,0.6865,0.8406,0.496,0.1039,0.8039000000000001
17,smotecw,logreg,0.4,0.7307,0.8771,0.5639,0.6865,0.8406,0.496,0.1039,0.8039000000000001
18,smotencw,logreg,0.4,0.7307,0.8771,0.5639,0.6865,0.8406,0.496,0.1039,0.8039000000000001
