sampling,model,best_stage2_score,best_acc_cv,best_rec_cv,best_thr_cv
base,logreg,0.7877274529113226,0.7511822540108763,0.8478716832006765,0.35000000000000003
base,catboost,0.7928144013545043,0.7524499811016985,0.8564306343892487,0.35000000000000003
smote,logreg,0.7914248940959617,0.7253424933781423,0.9032265043076482,0.3583333333333334
smote,catboost,0.797302936400765,0.7432892319103592,0.8818781453633814,0.35000000000000003
smotenc,logreg,0.7914248940959617,0.7253424933781423,0.9032265043076482,0.3583333333333334
smotenc,catboost,0.7972897047950889,0.7432892319103592,0.8818453498760404,0.35000000000000003
cw,logreg,0.7912120879285562,0.7252652942387536,0.9034229997959363,0.3666666666666667
cw,catboost,0.7974008746978095,0.7325961681780743,0.9037840856603935,0.39999999999999997
smotecw,logreg,0.7914248940959617,0.7253424933781423,0.9032265043076482,0.3583333333333334
smotecw,catboost,0.7972897079774528,0.7432892319103592,0.8818453498760404,0.35000000000000003
smotencw,logreg,0.7914248940959617,0.7253424933781423,0.9032265043076482,0.3583333333333334
smotencw,catboost,0.797302930120736,0.7432892319103592,0.8818781453633814,0.35000000000000003
