sampling,model,best_stage2_score,best_acc_cv,best_rec_cv,best_thr_cv
base,logreg,0.6750381950067023,0.8344118506956336,0.44370361630213856,0.3499999999999999
base,catboost,0.7574233243019912,0.7696581558604253,0.7519758632482448,0.3499999999999999
smote,logreg,0.7639171127463298,0.7152556280642166,0.8764601445130561,0.43333333333333335
smote,catboost,0.767363047822161,0.7468278641081,0.8068578397527068,0.3499999999999999
smotenc,logreg,0.7639171127463298,0.7152556280642166,0.8764601445130561,0.43333333333333335
smotenc,catboost,0.7673630495867786,0.7468278641081,0.8068578397527068,0.3499999999999999
cw,logreg,0.7640514540979263,0.717273142456797,0.8729787936853498,0.45
cw,catboost,0.7682898510307714,0.7248685199886188,0.8652213405563053,0.5
smotecw,logreg,0.7639171127463298,0.7152556280642166,0.8764601445130561,0.43333333333333335
smotecw,catboost,0.7673630491533276,0.7468278641081,0.8068578397527068,0.3499999999999999
smotencw,logreg,0.7639171127463298,0.7152556280642166,0.8764601445130561,0.43333333333333335
smotencw,catboost,0.7673630467680332,0.7468278641081,0.8068578397527068,0.3499999999999999
