rank,sampling,model,calibration,accuracy,recall,precision,f1,auc,logloss,ece,combined
1,cw,randomforest,base,0.7968,0.6774,0.4005,0.5034,0.8487,0.3691,0.1171,0.747
2,smotecw,randomforest,base,0.7692,0.7042,0.3656,0.4813,0.8346,0.4044,0.1386,0.7326
3,smotencw,randomforest,base,0.7692,0.7042,0.3656,0.4813,0.8346,0.4044,0.1386,0.7326
4,smote,randomforest,base,0.7716,0.6891,0.3665,0.4785,0.8347,0.4003,0.1356,0.7312
5,smotenc,randomforest,base,0.7716,0.6891,0.3665,0.4785,0.8347,0.4003,0.1356,0.7312
6,smote,knn,base,0.6998,0.8471,0.3174,0.4618,0.8203,0.5532,0.2246,0.692275
7,smotenc,knn,base,0.6998,0.8471,0.3174,0.4618,0.8203,0.5532,0.2246,0.692275
8,smotecw,knn,base,0.6998,0.8471,0.3174,0.4618,0.8203,0.5532,0.2246,0.692275
9,smotencw,knn,base,0.6998,0.8471,0.3174,0.4618,0.8203,0.5532,0.2246,0.692275
10,cw,randomforest,platt,0.848,0.2097,0.5003,0.2955,0.8487,0.3189,0.0183,0.6801250000000001
11,base,randomforest,platt,0.8451,0.2034,0.4775,0.2853,0.8435,0.33,0.0275,0.67275
12,cw,randomforest,isotonic,0.8488,0.1468,0.5094,0.228,0.8483,0.313,0.005,0.6694
13,cw,randomforest,venn_abers,0.8488,0.1471,0.5098,0.2283,0.8485,0.3138,0.0055,0.66915
14,base,randomforest,isotonic,0.8486,0.1484,0.5074,0.2296,0.8432,0.319,0.0065,0.667875
15,base,randomforest,venn_abers,0.8486,0.1486,0.5074,0.2299,0.8433,0.3189,0.0075,0.6677
16,base,randomforest,base,0.8484,0.1457,0.5053,0.2262,0.8435,0.3185,0.009,0.66665
17,smote,randomforest,platt,0.8423,0.1486,0.4438,0.2226,0.8347,0.3297,0.0281,0.658275
18,smotenc,randomforest,platt,0.8423,0.1486,0.4438,0.2226,0.8347,0.3297,0.0281,0.658275
19,smotecw,randomforest,platt,0.842,0.1484,0.4414,0.2221,0.8346,0.3296,0.0287,0.658025
20,smotencw,randomforest,platt,0.842,0.1484,0.4414,0.2221,0.8346,0.3296,0.0287,0.658025
21,base,knn,platt,0.8436,0.1451,0.4553,0.2201,0.8232,0.3458,0.0381,0.6512
22,cw,knn,platt,0.8436,0.1451,0.4553,0.2201,0.8232,0.3458,0.0381,0.6512
23,base,knn,isotonic,0.8466,0.0896,0.4769,0.1509,0.8232,0.3308,0.004,0.65035
24,cw,knn,isotonic,0.8466,0.0896,0.4769,0.1509,0.8232,0.3308,0.004,0.65035
25,smotecw,randomforest,isotonic,0.8464,0.0679,0.4636,0.1184,0.8341,0.3198,0.0052,0.647325
26,smotencw,randomforest,isotonic,0.8464,0.0679,0.4636,0.1184,0.8341,0.3198,0.0052,0.647325
27,smotecw,randomforest,venn_abers,0.8465,0.0685,0.466,0.1195,0.8341,0.3198,0.006,0.6473
28,smotencw,randomforest,venn_abers,0.8465,0.0685,0.466,0.1195,0.8341,0.3198,0.006,0.6473
29,base,knn,venn_abers,0.8466,0.0896,0.4769,0.1509,0.8191,0.3358,0.0137,0.646675
30,cw,knn,venn_abers,0.8466,0.0896,0.4769,0.1509,0.8191,0.3358,0.0137,0.646675
31,smote,randomforest,venn_abers,0.8471,0.0518,0.4741,0.0934,0.8341,0.3198,0.0064,0.643175
32,smotenc,randomforest,venn_abers,0.8471,0.0518,0.4741,0.0934,0.8341,0.3198,0.0064,0.643175
33,smote,randomforest,isotonic,0.8471,0.0511,0.4747,0.0923,0.834,0.3197,0.0061,0.6431
34,smotenc,randomforest,isotonic,0.8471,0.0511,0.4747,0.0923,0.834,0.3197,0.0061,0.6431
35,smote,knn,platt,0.8433,0.0757,0.4153,0.1281,0.8203,0.3347,0.0175,0.6416999999999999
36,smotenc,knn,platt,0.8433,0.0757,0.4153,0.1281,0.8203,0.3347,0.0175,0.6416999999999999
37,smotecw,knn,platt,0.8433,0.0757,0.4153,0.1281,0.8203,0.3347,0.0175,0.6416999999999999
38,smotencw,knn,platt,0.8433,0.0757,0.4153,0.1281,0.8203,0.3347,0.0175,0.6416999999999999
39,base,knn,base,0.8466,0.0896,0.4769,0.1509,0.8232,0.3823,0.0142,0.6349250000000001
40,cw,knn,base,0.8466,0.0896,0.4769,0.1509,0.8232,0.3823,0.0142,0.6349250000000001
41,smote,knn,isotonic,0.848,0.0094,0.5119,0.0184,0.8199,0.331,0.0078,0.62965
42,smotenc,knn,isotonic,0.848,0.0094,0.5119,0.0184,0.8199,0.331,0.0078,0.62965
43,smotecw,knn,isotonic,0.848,0.0094,0.5119,0.0184,0.8199,0.331,0.0078,0.62965
44,smotencw,knn,isotonic,0.848,0.0094,0.5119,0.0184,0.8199,0.331,0.0078,0.62965
45,smote,knn,venn_abers,0.848,0.0096,0.5057,0.0188,0.8199,0.3311,0.0081,0.6295999999999999
46,smotenc,knn,venn_abers,0.848,0.0096,0.5057,0.0188,0.8199,0.3311,0.0081,0.6295999999999999
47,smotecw,knn,venn_abers,0.848,0.0096,0.5057,0.0188,0.8199,0.3311,0.0081,0.6295999999999999
48,smotencw,knn,venn_abers,0.848,0.0096,0.5057,0.0188,0.8199,0.3311,0.0081,0.6295999999999999
