sampling,model,best_stage1_score,best_acc_cv,best_rec_cv
base,knn,0.6314377124849678,0.8316999767080895,0.3522797287027851
base,randomforest,0.7001610370269631,0.8157375369928557,0.533169138234553
smote,knn,0.7315425718061319,0.6936271520321202,0.8472411064597507
smote,randomforest,0.766389352362951,0.708652557589575,0.873848811413685
smotenc,knn,0.7315425718061319,0.6936271520321202,0.8472411064597507
smotenc,randomforest,0.766389352362951,0.708652557589575,0.873848811413685
cw,knn,0.6314377124849678,0.8316999767080895,0.3522797287027851
cw,randomforest,0.7721471447235096,0.7377442952537341,0.8359312843911085
smotecw,knn,0.7315425718061319,0.6936271520321202,0.8472411064597507
smotecw,randomforest,0.7669527935190058,0.7090714580050212,0.8743563940675643
smotencw,knn,0.7315425718061319,0.6936271520321202,0.8472411064597507
smotencw,randomforest,0.7669527935190058,0.7090714580050212,0.8743563940675643
