rank,sampling,model,calibration,accuracy,recall,precision,f1,auc,logloss,ece,combined
1,smote,catboost,base,0.7521,0.7822,0.3564,0.4897,0.8375,0.4139,0.1577,0.740675
2,smotenc,catboost,base,0.7521,0.7822,0.3564,0.4897,0.8375,0.4139,0.1577,0.740675
3,smotecw,catboost,base,0.7521,0.7822,0.3564,0.4897,0.8375,0.4139,0.1577,0.740675
4,smotencw,catboost,base,0.7521,0.7822,0.3564,0.4897,0.8375,0.4139,0.1577,0.740675
5,smote,lightgbm,base,0.7905,0.6382,0.3858,0.4809,0.8378,0.3705,0.1111,0.736775
6,smotenc,lightgbm,base,0.7905,0.6382,0.3858,0.4809,0.8378,0.3705,0.1111,0.736775
7,smotecw,lightgbm,base,0.7905,0.6382,0.3858,0.4809,0.8378,0.3705,0.1111,0.736775
8,smotencw,lightgbm,base,0.7905,0.6382,0.3858,0.4809,0.8378,0.3705,0.1111,0.736775
9,cw,catboost,base,0.73,0.8479,0.3431,0.4885,0.8486,0.456,0.1877,0.73355
10,cw,lightgbm,base,0.7221,0.8686,0.3386,0.4872,0.8522,0.4691,0.1999,0.730425
11,smote,logreg,base,0.7427,0.831,0.353,0.4955,0.8483,0.493,0.2078,0.718225
12,smotenc,logreg,base,0.7427,0.831,0.353,0.4955,0.8483,0.493,0.2078,0.718225
13,smotecw,logreg,base,0.7427,0.831,0.353,0.4955,0.8483,0.493,0.2078,0.718225
14,smotencw,logreg,base,0.7427,0.831,0.353,0.4955,0.8483,0.493,0.2078,0.718225
15,cw,logreg,base,0.7389,0.8366,0.3499,0.4935,0.8484,0.495,0.2134,0.7167749999999999
16,base,lightgbm,platt,0.8488,0.2323,0.5057,0.3184,0.8521,0.3237,0.0277,0.682425
17,base,catboost,platt,0.8505,0.199,0.5217,0.2881,0.8483,0.3203,0.0136,0.6789000000000001
18,smote,logreg,platt,0.8476,0.1977,0.497,0.2829,0.8483,0.3179,0.015,0.6780999999999999
19,smotenc,logreg,platt,0.8476,0.1977,0.497,0.2829,0.8483,0.3179,0.015,0.6780999999999999
20,smotecw,logreg,platt,0.8476,0.1977,0.497,0.2829,0.8483,0.3179,0.015,0.6780999999999999
21,smotencw,logreg,platt,0.8476,0.1977,0.497,0.2829,0.8483,0.3179,0.015,0.6780999999999999
22,cw,logreg,platt,0.848,0.196,0.5003,0.2817,0.8484,0.3173,0.0144,0.6780750000000001
23,base,logreg,base,0.8486,0.1869,0.5059,0.2729,0.8486,0.3168,0.0191,0.6749
24,base,lightgbm,venn_abers,0.8503,0.1497,0.5268,0.2331,0.8518,0.3101,0.0038,0.6715249999999999
25,base,lightgbm,isotonic,0.8504,0.1497,0.5276,0.2332,0.8517,0.3101,0.0043,0.6714249999999999
26,base,logreg,venn_abers,0.8489,0.1488,0.5101,0.2304,0.8482,0.3128,0.0044,0.6701250000000001
27,base,logreg,isotonic,0.8488,0.1484,0.5093,0.2298,0.8482,0.3132,0.0047,0.669825
28,cw,logreg,venn_abers,0.8486,0.1434,0.5069,0.2235,0.848,0.3129,0.0061,0.66825
29,cw,logreg,isotonic,0.8486,0.1431,0.5073,0.2233,0.8478,0.3133,0.0058,0.66815
30,base,logreg,platt,0.8485,0.2064,0.504,0.2929,0.8486,0.3382,0.0485,0.66705
31,cw,catboost,venn_abers,0.8494,0.1353,0.5183,0.2146,0.8485,0.3146,0.0037,0.6666
32,cw,catboost,platt,0.8495,0.1327,0.5191,0.2114,0.8486,0.3157,0.0065,0.665
33,smote,logreg,venn_abers,0.8479,0.1273,0.4991,0.2028,0.8481,0.313,0.0066,0.6638999999999999
34,smotenc,logreg,venn_abers,0.8479,0.1273,0.4991,0.2028,0.8481,0.313,0.0066,0.6638999999999999
35,smotecw,logreg,venn_abers,0.8479,0.1273,0.4991,0.2028,0.8481,0.313,0.0066,0.6638999999999999
36,smotencw,logreg,venn_abers,0.8479,0.1273,0.4991,0.2028,0.8481,0.313,0.0066,0.6638999999999999
37,smote,logreg,isotonic,0.8479,0.1264,0.4991,0.2017,0.848,0.3134,0.0058,0.663775
38,smotenc,logreg,isotonic,0.8479,0.1264,0.4991,0.2017,0.848,0.3134,0.0058,0.663775
39,smotecw,logreg,isotonic,0.8479,0.1264,0.4991,0.2017,0.848,0.3134,0.0058,0.663775
40,smotencw,logreg,isotonic,0.8479,0.1264,0.4991,0.2017,0.848,0.3134,0.0058,0.663775
41,base,lightgbm,base,0.85,0.1157,0.5299,0.19,0.8521,0.3095,0.0041,0.663025
42,base,catboost,venn_abers,0.8506,0.1203,0.539,0.1967,0.8482,0.3133,0.0065,0.662775
43,cw,catboost,isotonic,0.8491,0.1173,0.5168,0.1911,0.8485,0.3127,0.0034,0.662575
44,base,catboost,isotonic,0.8505,0.119,0.5368,0.1948,0.8481,0.3132,0.0061,0.66255
45,cw,lightgbm,venn_abers,0.8506,0.1083,0.5425,0.1806,0.8519,0.3114,0.0036,0.660975
46,cw,lightgbm,isotonic,0.8506,0.1077,0.544,0.1798,0.8519,0.3116,0.0037,0.6607500000000001
47,smote,lightgbm,platt,0.8427,0.1553,0.4496,0.2309,0.8378,0.3281,0.0269,0.66075
48,smotenc,lightgbm,platt,0.8427,0.1553,0.4496,0.2309,0.8378,0.3281,0.0269,0.66075
49,smotecw,lightgbm,platt,0.8427,0.1553,0.4496,0.2309,0.8378,0.3281,0.0269,0.66075
50,smotencw,lightgbm,platt,0.8427,0.1553,0.4496,0.2309,0.8378,0.3281,0.0269,0.66075
51,smote,catboost,platt,0.8469,0.1196,0.4854,0.192,0.8375,0.3233,0.0144,0.6572
52,smotenc,catboost,platt,0.8469,0.1196,0.4854,0.192,0.8375,0.3233,0.0144,0.6572
53,smotecw,catboost,platt,0.8469,0.1196,0.4854,0.192,0.8375,0.3233,0.0144,0.6572
54,smotencw,catboost,platt,0.8469,0.1196,0.4854,0.192,0.8375,0.3233,0.0144,0.6572
55,cw,lightgbm,platt,0.8499,0.0822,0.5408,0.1427,0.8522,0.3126,0.0067,0.6532
56,smote,lightgbm,isotonic,0.8469,0.0583,0.4727,0.1038,0.8375,0.318,0.0042,0.64575
57,smotenc,lightgbm,isotonic,0.8469,0.0583,0.4727,0.1038,0.8375,0.318,0.0042,0.64575
58,smotecw,lightgbm,isotonic,0.8469,0.0583,0.4727,0.1038,0.8375,0.318,0.0042,0.64575
59,smotencw,lightgbm,isotonic,0.8469,0.0583,0.4727,0.1038,0.8375,0.318,0.0042,0.64575
60,smote,lightgbm,venn_abers,0.8469,0.0587,0.4712,0.1044,0.8375,0.318,0.0049,0.645675
61,smotenc,lightgbm,venn_abers,0.8469,0.0587,0.4712,0.1044,0.8375,0.318,0.0049,0.645675
62,smotecw,lightgbm,venn_abers,0.8469,0.0587,0.4712,0.1044,0.8375,0.318,0.0049,0.645675
63,smotencw,lightgbm,venn_abers,0.8469,0.0587,0.4712,0.1044,0.8375,0.318,0.0049,0.645675
64,smote,catboost,isotonic,0.848,0.0476,0.5011,0.087,0.8372,0.3189,0.006,0.642675
65,smotenc,catboost,isotonic,0.848,0.0476,0.5011,0.087,0.8372,0.3189,0.006,0.642675
66,smotecw,catboost,isotonic,0.848,0.0476,0.5011,0.087,0.8372,0.3189,0.006,0.642675
67,smotencw,catboost,isotonic,0.848,0.0476,0.5011,0.087,0.8372,0.3189,0.006,0.642675
68,smote,catboost,venn_abers,0.848,0.0479,0.5011,0.0874,0.8373,0.319,0.0065,0.6426000000000001
69,smotenc,catboost,venn_abers,0.848,0.0479,0.5011,0.0874,0.8373,0.319,0.0065,0.6426000000000001
70,smotecw,catboost,venn_abers,0.848,0.0479,0.5011,0.0874,0.8373,0.319,0.0065,0.6426000000000001
71,smotencw,catboost,venn_abers,0.848,0.0479,0.5011,0.0874,0.8373,0.319,0.0065,0.6426000000000001
72,base,catboost,base,0.8498,0.0331,0.608,0.0627,0.8483,0.3284,0.0391,0.6288499999999999
