iter	Accuracy	Logloss
0	0.6648735555	0.6913415813
1	0.6667764548	0.6896044615
2	0.6683506837	0.6879149165
3	0.6684201146	0.6863625526
4	0.6683277425	0.6848084222
5	0.66862175	0.6832459464
6	0.6687471003	0.6816494798
7	0.669952926	0.6801284873
8	0.6709150049	0.6786476379
9	0.6711033284	0.6771625244
10	0.6717065392	0.6757552606
11	0.6714552425	0.6743483623
12	0.6717436873	0.6729215447
13	0.6710858467	0.6715842116
14	0.6709280162	0.6702301877
15	0.6714160078	0.6689432315
16	0.6709180825	0.6676718087
17	0.6704909773	0.666404589
18	0.6704696228	0.6651753195
19	0.6707402887	0.6639303948
20	0.67116501	0.6627482738
21	0.6715356975	0.6616092197
22	0.6718818514	0.660514512
23	0.6721361278	0.6593810622
24	0.6720252795	0.6582812376
25	0.6718123229	0.6571993221
26	0.6725721722	0.6561390924
27	0.6724509935	0.6551726112
28	0.6725979973	0.6541167065
29	0.672468872	0.6532426947
30	0.6729090881	0.6522949755
31	0.6726798416	0.6513320274
32	0.672735167	0.6503709677
33	0.6727440066	0.6494922045
34	0.6726451769	0.6486010146
35	0.6725456516	0.6477267591
36	0.672562637	0.646903977
37	0.6725403877	0.6460425746
38	0.6724990679	0.6452355696
39	0.6721967171	0.6444101072
40	0.6722625705	0.6436495196
41	0.6722288984	0.6428380068
42	0.6726727898	0.6420302707
43	0.6725883625	0.6412923436
44	0.6729170347	0.6405492995
45	0.6729596459	0.6398010776
46	0.6729907349	0.639068511
47	0.6731323751	0.6383943012
48	0.6733512913	0.6376890245
49	0.6734089009	0.6370014743
50	0.6737104564	0.6363380464
51	0.6738015388	0.6356608517
52	0.6740486638	0.635052674
53	0.6742273525	0.6343894289
54	0.6743124753	0.6337766825
55	0.6740292945	0.6331389609
56	0.6742068909	0.6325304177
57	0.674380216	0.6319658553
58	0.6743521069	0.6314125013
59	0.6745014944	0.6308360604
60	0.6750095508	0.630278686
61	0.6750484867	0.6297234436
62	0.6750034916	0.6291738054
63	0.6749741906	0.6286579143
64	0.6748182476	0.6281259415
65	0.6751614218	0.6276151673
66	0.6750415346	0.6271024437
67	0.6750379589	0.6265680343
68	0.6750949726	0.6261433333
69	0.675367823	0.6256112996
70	0.6753917606	0.6250983933
71	0.6753629558	0.6246503618
72	0.6755717408	0.6241245414
73	0.6754937693	0.6236606719
74	0.675490094	0.6232277473
75	0.6755297255	0.6228148639
76	0.6758578017	0.6223263846
77	0.6758974332	0.6218720787
78	0.6760348022	0.6214239253
79	0.675963982	0.6210016
80	0.675884719	0.6205887774
81	0.6758601855	0.6202085445
82	0.6754342722	0.6197837826
83	0.6755661779	0.6194077528
84	0.6758204544	0.619016677
85	0.6759655707	0.6186019052
86	0.6759523602	0.6182303222
87	0.6760771145	0.617889806
88	0.6764034029	0.6174979992
89	0.6764154215	0.6171377465
90	0.676604341	0.6167656763
91	0.6767302872	0.6164016468
92	0.676835772	0.6160245206
93	0.6768519622	0.6156474553
94	0.6769017249	0.6153050507
95	0.6770408817	0.6149348079
96	0.6772226497	0.6145898449
97	0.6772615857	0.6142312369
98	0.6772298011	0.6138930355
99	0.6773557474	0.6135531285
100	0.6773893198	0.6132244299
101	0.677516458	0.6129136403
102	0.6775290725	0.6126274606
103	0.6776100238	0.612326783
104	0.6776106197	0.6120445017
105	0.6776562107	0.6117137929
106	0.6780568949	0.6114164047
107	0.6780389168	0.61110793
108	0.6780305735	0.610778805
109	0.6782722353	0.6105002396
110	0.6784569831	0.6102317252
111	0.6784305621	0.6099410986
112	0.6785121092	0.609661254
113	0.6785438938	0.6093828714
114	0.6783207064	0.609138784
115	0.6783998698	0.6089163825
116	0.6785899812	0.6086348323
117	0.6784574794	0.6083725313
118	0.6787052004	0.6081032859
119	0.6789241165	0.6078556046
120	0.6788899482	0.6075754554
121	0.679093866	0.60733283
122	0.6793170534	0.6071009866
123	0.6793697957	0.6068539144
124	0.6795137201	0.6066051366
125	0.6796919125	0.6063961364
126	0.6799234432	0.606189451
127	0.6800925967	0.6059756995
128	0.6800026066	0.6057743746
129	0.6799743977	0.6055512421
130	0.6799576115	0.6053487598
131	0.6798964262	0.6051376885
132	0.6799347662	0.6049249725
133	0.6797776313	0.6047436888
134	0.6797302525	0.6045290844
135	0.6798058402	0.6043061346
136	0.6800535611	0.6040951852
137	0.679963571	0.6038866723
138	0.6798694093	0.6037042921
139	0.6799167881	0.6034963884
140	0.6799863166	0.6032714284
141	0.6800145255	0.6031069573
142	0.6803348544	0.6028775505
143	0.6804818582	0.6026983988
144	0.6804494777	0.6024767282
145	0.680529237	0.6023050082
146	0.6804806663	0.6021056326
147	0.6803906762	0.6019306231
148	0.6804314996	0.601733075
149	0.6806804124	0.6015620251
150	0.6807704025	0.6013793403
151	0.6809551503	0.6011425018
152	0.6808513537	0.6009273492
153	0.6808693318	0.600767203
154	0.6809893186	0.600559543
155	0.681049312	0.6004009806
156	0.6810960949	0.6002175649
157	0.6812550176	0.6000199558
158	0.6813588142	0.59985384
159	0.6814205954	0.5996848002
160	0.6813815599	0.5995284917
161	0.6814145364	0.5993527512
162	0.6813887113	0.5992089304
163	0.6814475128	0.5990307533
164	0.6817222507	0.5988856532
165	0.6817804562	0.5987481066
166	0.6818530642	0.5985523859
167	0.6818842528	0.5983737825
168	0.681900443	0.5982115043
169	0.6817594984	0.5980346673
170	0.6819142495	0.5978711709
171	0.6820101991	0.5977190046
172	0.6822861289	0.5975393046
173	0.6822363662	0.5973251267
174	0.6824414759	0.5971153346
175	0.6827215774	0.5969546402
176	0.6826891969	0.5967974789
177	0.6829483405	0.5966463482
178	0.6829669145	0.5965004562
179	0.6830466738	0.596351823
180	0.6829219194	0.596192286
181	0.6831822549	0.5960230026
182	0.683291415	0.5958429371
183	0.6833231995	0.5956734709
184	0.6832896272	0.5955210001
185	0.683154642	0.5953604275
186	0.6833820011	0.5952212362
187	0.6834815263	0.5950895375
188	0.683556518	0.594964113
189	0.6835739002	0.5948269319
190	0.683785069	0.5946758012
191	0.6840442126	0.5945292391
192	0.6840280223	0.5944024745
193	0.684194792	0.5942729078
194	0.6841707548	0.5940985075
195	0.6842187296	0.5939756415
196	0.6845090618	0.5938260946
197	0.6846302405	0.5937092591
198	0.6844784691	0.59356489
199	0.6845540568	0.5934506739
200	0.6847490354	0.5932843754
201	0.6848575995	0.5931417119
202	0.6846734477	0.5929905812
203	0.6848378336	0.5928362829
204	0.6849722228	0.5927220668
205	0.6850231773	0.5925433415
206	0.6851785244	0.5924187089
207	0.6851365091	0.5922974876
208	0.6853236406	0.5921477579
209	0.6853998243	0.5920286687
210	0.6854777958	0.5918926449
211	0.6856553922	0.591741697
212	0.6858743083	0.591590749
213	0.6859493001	0.5914685531
214	0.6860722666	0.5913501948
215	0.6860554804	0.5912328111
216	0.6861016674	0.5911312045
217	0.6861382195	0.5910101659
218	0.686281548	0.5908853506
219	0.6865550939	0.5907524335
220	0.6865784356	0.5906286538
221	0.6866552152	0.5904602231
222	0.6867896044	0.5903206663
223	0.6868087744	0.5902076686
224	0.6869755441	0.5901113616
225	0.6868879378	0.5899568805
226	0.6871380425	0.5898589288
227	0.6871728068	0.5897328952
228	0.6872483945	0.5896145978
229	0.6871278117	0.5895263316
230	0.6871739987	0.5893818407
231	0.6873755327	0.5892574518
232	0.6873119636	0.5891151538
233	0.687409105	0.5889888156
234	0.6874570798	0.5888446292
235	0.6875806423	0.5887206058
236	0.6875062465	0.5885661857
237	0.687610639	0.5884280299
238	0.6875644521	0.5883289208
239	0.687812173	0.5881910697
240	0.6877989625	0.5880899504
241	0.6878822976	0.5879514291
242	0.6879111024	0.5878317916
243	0.6880370487	0.5877239107
244	0.6881906079	0.5876348526
245	0.6883273808	0.5875308094
246	0.6882511972	0.5873865621
247	0.6883477427	0.587268082
248	0.6885768896	0.5871955929
249	0.6884683255	0.5870934989
250	0.6885577196	0.5869749579
251	0.6888774526	0.5868365584
252	0.689047202	0.5867231952
253	0.6890489898	0.5866437008
254	0.6892907513	0.5865440435
255	0.6894125259	0.586418619
256	0.6895246658	0.5862888086
257	0.6895690649	0.5861688056
258	0.6897058379	0.5860913214
259	0.6896146559	0.5859769226
260	0.6896014454	0.5859021796
261	0.6897388143	0.5858225025
262	0.6898288044	0.5857386831
263	0.689814402	0.5856624782
264	0.6898491663	0.585540465
265	0.6898497623	0.5854395893
266	0.6900783132	0.585346389
267	0.6902030676	0.5852366198
268	0.6902492545	0.5851297744
269	0.6903698373	0.5850376097
270	0.6903572227	0.5849361249
271	0.6904519804	0.5848386605
272	0.6905785227	0.584694596
273	0.6906420918	0.5845398104
274	0.6907614826	0.5844012891
275	0.6908088615	0.5843238658
276	0.6908568362	0.5842089797
277	0.6909348077	0.5841187642
278	0.6909371915	0.5840493818
279	0.6908766022	0.5839235309
280	0.6911675302	0.5838352038
281	0.6911237271	0.583724399
282	0.6911525319	0.5836430162
283	0.6912910927	0.5835693697
284	0.6912731146	0.5834921292
285	0.6912904968	0.5834199446
286	0.6914602462	0.5833116983
287	0.6913996569	0.5832153304
288	0.6917661727	0.5830781493
289	0.6919844929	0.582951872
290	0.6920582928	0.5828431383
291	0.6918909271	0.5827214905
292	0.6921056716	0.5825737102
293	0.6921506666	0.5824764285
294	0.6923810054	0.5823372981
295	0.6925519469	0.58225689
296	0.6926587232	0.5821574764
297	0.6926305143	0.5820486208
298	0.6926467045	0.5819669335
299	0.6927834775	0.5818287168
300	0.6928302604	0.5817515981
301	0.6929370367	0.5816883072
302	0.6930114325	0.5815870661
303	0.6931205926	0.5815045259
304	0.6933197428	0.5813831828
305	0.6932771316	0.5813102673
306	0.6933059364	0.5812427732
307	0.6933791403	0.5811616341
308	0.6934139046	0.5810525958
309	0.6934877044	0.5809495881
310	0.6936118629	0.580839758
311	0.6937798245	0.5807255419
312	0.693993973	0.5806296004
313	0.6940737323	0.5805277501
314	0.6940743282	0.5804253516
315	0.6941211111	0.580305044
316	0.6942464614	0.5802330422
317	0.6941828924	0.5801178515
318	0.6941528957	0.5800426821
319	0.6942626517	0.5799452786
320	0.694323241	0.5798772363
321	0.6944803759	0.5797756906
322	0.6943436029	0.5796522154
323	0.6945457329	0.5795242934
324	0.6948204708	0.5793833356
325	0.6948522553	0.5793036584
326	0.6949590316	0.5791734826
327	0.6949302268	0.5791053793
328	0.6950393869	0.5789621676
329	0.695239133	0.5788788965
330	0.6953141248	0.5787882546
331	0.6952727054	0.5787263647
332	0.6954730475	0.5786324334
333	0.6955492312	0.5784995164
334	0.6957004066	0.5784108847
335	0.6957309992	0.5783274308
336	0.6958551577	0.5782295401
