iter	Passed	Remaining
0	16	8209
1	32	8072
2	47	7933
3	63	7878
4	80	7924
5	95	7883
6	111	7853
7	127	7810
8	143	7827
9	159	7807
10	175	7813
11	192	7815
12	207	7789
13	223	7755
14	238	7719
15	254	7697
16	269	7669
17	285	7651
18	301	7629
19	317	7610
20	332	7589
21	348	7571
22	364	7565
23	380	7548
24	396	7531
25	412	7515
26	427	7495
27	443	7477
28	460	7471
29	476	7462
30	492	7454
31	509	7446
32	525	7431
33	541	7415
34	556	7398
35	573	7387
36	588	7368
37	605	7357
38	620	7332
39	636	7320
40	651	7298
41	667	7281
42	684	7269
43	700	7259
44	716	7241
45	732	7230
46	748	7212
47	764	7195
48	780	7183
49	795	7162
50	812	7149
51	828	7137
52	845	7126
53	861	7115
54	877	7102
55	893	7084
56	909	7066
57	925	7053
58	941	7039
59	958	7030
60	974	7012
61	990	6998
62	1006	6981
63	1023	6969
64	1040	6963
65	1056	6948
66	1073	6938
67	1089	6924
68	1106	6908
69	1122	6893
70	1138	6878
71	1155	6867
72	1172	6858
73	1189	6846
74	1205	6828
75	1220	6810
76	1237	6796
77	1253	6782
78	1270	6768
79	1286	6751
80	1303	6740
81	1319	6724
82	1335	6709
83	1351	6694
84	1367	6679
85	1384	6664
86	1400	6650
87	1417	6634
88	1433	6619
89	1450	6606
90	1467	6594
91	1483	6577
92	1499	6562
93	1515	6546
94	1531	6530
95	1549	6518
96	1565	6503
97	1581	6487
98	1597	6472
99	1614	6457
100	1632	6448
101	1649	6435
102	1665	6421
103	1682	6405
104	1698	6390
105	1715	6377
106	1732	6362
107	1748	6347
108	1765	6334
109	1781	6315
110	1796	6295
111	1813	6282
112	1830	6268
113	1846	6252
114	1862	6234
115	1878	6217
116	1895	6204
117	1912	6191
118	1929	6178
119	1946	6162
120	1963	6149
121	1979	6133
122	1995	6116
123	2011	6100
124	2028	6084
125	2045	6070
126	2061	6054
127	2077	6037
128	2094	6023
129	2109	6005
130	2126	5988
131	2142	5973
132	2158	5957
133	2175	5941
134	2191	5925
