config_name,model_family,balance_method,best_params,calibration_method,val_ece,val_log_loss
CatBoost_GPU__base,CatBoost_GPU,base,"{'random_strength': 2.0, 'min_data_in_leaf': 5, 'learning_rate': 0.08, 'l2_leaf_reg': 7.0, 'iterations': 300, 'depth': 6, 'border_count': 128, 'bagging_temperature': 0.0}",platt,0.010256187073598926,0.6043568995813494
CatBoost_GPU__base,CatBoost_GPU,base,"{'random_strength': 2.0, 'min_data_in_leaf': 5, 'learning_rate': 0.08, 'l2_leaf_reg': 7.0, 'iterations': 300, 'depth': 6, 'border_count': 128, 'bagging_temperature': 0.0}",venn_abers,0.01587557918165343,0.6060369703735456
CatBoost_GPU__base,CatBoost_GPU,base,"{'random_strength': 2.0, 'min_data_in_leaf': 5, 'learning_rate': 0.08, 'l2_leaf_reg': 7.0, 'iterations': 300, 'depth': 6, 'border_count': 128, 'bagging_temperature': 0.0}",isotonic,0.017378584881102912,0.6066580030037702
CatBoost_GPU__smote,CatBoost_GPU,smote,"{'random_strength': 2.0, 'min_data_in_leaf': 5, 'learning_rate': 0.08, 'l2_leaf_reg': 7.0, 'iterations': 300, 'depth': 6, 'border_count': 128, 'bagging_temperature': 0.0}",platt,0.009833118803818737,0.6060764226584673
CatBoost_GPU__smote,CatBoost_GPU,smote,"{'random_strength': 2.0, 'min_data_in_leaf': 5, 'learning_rate': 0.08, 'l2_leaf_reg': 7.0, 'iterations': 300, 'depth': 6, 'border_count': 128, 'bagging_temperature': 0.0}",venn_abers,0.0158458065640285,0.6072813092196103
CatBoost_GPU__smote,CatBoost_GPU,smote,"{'random_strength': 2.0, 'min_data_in_leaf': 5, 'learning_rate': 0.08, 'l2_leaf_reg': 7.0, 'iterations': 300, 'depth': 6, 'border_count': 128, 'bagging_temperature': 0.0}",isotonic,0.016952714281496892,0.6094622027822433
LightGBM_GPU__base,LightGBM_GPU,base,"{'subsample': 1.0, 'reg_lambda': 3.0, 'reg_alpha': 1.0, 'num_leaves': 63, 'n_estimators': 300, 'min_split_gain': 0.0, 'min_child_samples': 40, 'max_bin': 127, 'learning_rate': 0.02, 'colsample_bytree': 0.75}",platt,0.01260617908956392,0.6062704843606156
LightGBM_GPU__base,LightGBM_GPU,base,"{'subsample': 1.0, 'reg_lambda': 3.0, 'reg_alpha': 1.0, 'num_leaves': 63, 'n_estimators': 300, 'min_split_gain': 0.0, 'min_child_samples': 40, 'max_bin': 127, 'learning_rate': 0.02, 'colsample_bytree': 0.75}",venn_abers,0.020295004557679942,0.6075468476784006
LightGBM_GPU__base,LightGBM_GPU,base,"{'subsample': 1.0, 'reg_lambda': 3.0, 'reg_alpha': 1.0, 'num_leaves': 63, 'n_estimators': 300, 'min_split_gain': 0.0, 'min_child_samples': 40, 'max_bin': 127, 'learning_rate': 0.02, 'colsample_bytree': 0.75}",isotonic,0.021597996450233335,0.6079521378894854
LightGBM_GPU__smote_cw,LightGBM_GPU,smote_cw,"{'subsample': 0.85, 'reg_lambda': 5.0, 'reg_alpha': 0.0, 'num_leaves': 31, 'n_estimators': 200, 'min_split_gain': 0.1, 'min_child_samples': 40, 'max_bin': 511, 'learning_rate': 0.08, 'colsample_bytree': 0.85}",platt,0.014934430461400033,0.6065386857594973
LightGBM_GPU__smote_cw,LightGBM_GPU,smote_cw,"{'subsample': 0.85, 'reg_lambda': 5.0, 'reg_alpha': 0.0, 'num_leaves': 31, 'n_estimators': 200, 'min_split_gain': 0.1, 'min_child_samples': 40, 'max_bin': 511, 'learning_rate': 0.08, 'colsample_bytree': 0.85}",venn_abers,0.025536643423402804,0.6078747166062709
LightGBM_GPU__smote_cw,LightGBM_GPU,smote_cw,"{'subsample': 0.85, 'reg_lambda': 5.0, 'reg_alpha': 0.0, 'num_leaves': 31, 'n_estimators': 200, 'min_split_gain': 0.1, 'min_child_samples': 40, 'max_bin': 511, 'learning_rate': 0.08, 'colsample_bytree': 0.85}",isotonic,0.02595229622165044,0.6118573116833564
XGBoost_GPU__smote,XGBoost_GPU,smote,"{'subsample': 0.85, 'reg_lambda': 3.0, 'reg_alpha': 1.0, 'n_estimators': 300, 'min_child_weight': 5, 'max_depth': 6, 'max_delta_step': 0, 'learning_rate': 0.05, 'gamma': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.75}",platt,0.01492009661970529,0.6072629044659142
XGBoost_GPU__smote,XGBoost_GPU,smote,"{'subsample': 0.85, 'reg_lambda': 3.0, 'reg_alpha': 1.0, 'n_estimators': 300, 'min_child_weight': 5, 'max_depth': 6, 'max_delta_step': 0, 'learning_rate': 0.05, 'gamma': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.75}",venn_abers,0.019927564451488994,0.6079747983473255
XGBoost_GPU__smote,XGBoost_GPU,smote,"{'subsample': 0.85, 'reg_lambda': 3.0, 'reg_alpha': 1.0, 'n_estimators': 300, 'min_child_weight': 5, 'max_depth': 6, 'max_delta_step': 0, 'learning_rate': 0.05, 'gamma': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.75}",isotonic,0.02126430119134718,0.6141173314685372
