config_name,model_family,balance_method,use_class_weight,train_samples,status,train_seconds,optimization_trials,best_trial_idx,best_params,val_accuracy,val_recall,val_precision,val_f1,val_log_loss,val_ece,val_device
CatBoost_GPU__base,CatBoost_GPU,base,False,65400,ok,60.64,20,18,"{'random_strength': 2.0, 'min_data_in_leaf': 5, 'learning_rate': 0.08, 'l2_leaf_reg': 7.0, 'iterations': 300, 'depth': 6, 'border_count': 128, 'bagging_temperature': 0.0}",0.6753960325388897,0.7350223964165733,0.6640951056026306,0.6977609461165372,0.6020409487984555,0.009441796521100991,gpu
LightGBM_GPU__base,LightGBM_GPU,base,False,65400,ok,31.52,20,3,"{'subsample': 1.0, 'reg_lambda': 3.0, 'reg_alpha': 1.0, 'num_leaves': 63, 'n_estimators': 300, 'min_split_gain': 0.0, 'min_child_samples': 40, 'max_bin': 127, 'learning_rate': 0.02, 'colsample_bytree': 0.75}",0.6748965320393892,0.7371220604703248,0.6628902316213494,0.6980381760339343,0.6031394560451185,0.006893604817061708,cpu
CatBoost_GPU__adasyn,CatBoost_GPU,adasyn,False,65400,ok,60.26,20,18,"{'random_strength': 2.0, 'min_data_in_leaf': 5, 'learning_rate': 0.08, 'l2_leaf_reg': 7.0, 'iterations': 300, 'depth': 6, 'border_count': 128, 'bagging_temperature': 0.0}",0.6753960325388897,0.7350223964165733,0.6640951056026306,0.6977609461165372,0.6020410344145967,0.009441802875581098,gpu
LightGBM_GPU__adasyn,LightGBM_GPU,adasyn,False,65400,ok,32.02,20,3,"{'subsample': 1.0, 'reg_lambda': 3.0, 'reg_alpha': 1.0, 'num_leaves': 63, 'n_estimators': 300, 'min_split_gain': 0.0, 'min_child_samples': 40, 'max_bin': 127, 'learning_rate': 0.02, 'colsample_bytree': 0.75}",0.6748965320393892,0.7371220604703248,0.6628902316213494,0.6980381760339343,0.6031394560451185,0.006893604817061708,cpu
XGBoost_GPU__smote,XGBoost_GPU,smote,False,66674,ok,37.29,20,7,"{'subsample': 0.85, 'reg_lambda': 3.0, 'reg_alpha': 1.0, 'n_estimators': 300, 'min_child_weight': 5, 'max_depth': 6, 'max_delta_step': 0, 'learning_rate': 0.05, 'gamma': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.75}",0.6756814613957471,0.7197648376259799,0.6690956408588159,0.6935059680356059,0.6035399790332218,0.011537011581205481,gpu
CatBoost_GPU__smote,CatBoost_GPU,smote,False,66674,ok,61.57,20,18,"{'random_strength': 2.0, 'min_data_in_leaf': 5, 'learning_rate': 0.08, 'l2_leaf_reg': 7.0, 'iterations': 300, 'depth': 6, 'border_count': 128, 'bagging_temperature': 0.0}",0.6755387469673184,0.7262038073908175,0.6669237691219951,0.6953025531059438,0.6030705844725875,0.009450202173887791,gpu
CatBoost_GPU__classweights,CatBoost_GPU,classweights,True,65400,ok,60.35,20,1,"{'random_strength': 1.0, 'min_data_in_leaf': 20, 'learning_rate': 0.02, 'l2_leaf_reg': 3.0, 'iterations': 300, 'depth': 8, 'border_count': 128, 'bagging_temperature': 1.0}",0.6746111031825317,0.7308230683090705,0.6644184270806821,0.6960405279296094,0.603391114179918,0.013813491949635246,gpu
LightGBM_GPU__classweights,LightGBM_GPU,classweights,True,65400,ok,32.15,20,3,"{'subsample': 1.0, 'reg_lambda': 3.0, 'reg_alpha': 1.0, 'num_leaves': 63, 'n_estimators': 300, 'min_split_gain': 0.0, 'min_child_samples': 40, 'max_bin': 127, 'learning_rate': 0.02, 'colsample_bytree': 0.75}",0.6741829598972456,0.7196248600223965,0.6673156801661475,0.6924838362068966,0.6028205174066815,0.013813896831418064,cpu
CatBoost_GPU__adasyn_cw,CatBoost_GPU,adasyn_cw,True,65400,ok,60.05,20,1,"{'random_strength': 1.0, 'min_data_in_leaf': 20, 'learning_rate': 0.02, 'l2_leaf_reg': 3.0, 'iterations': 300, 'depth': 8, 'border_count': 128, 'bagging_temperature': 1.0}",0.6746111031825317,0.7308230683090705,0.6644184270806821,0.6960405279296094,0.6033910896021276,0.013813501878810853,gpu
LightGBM_GPU__adasyn_cw,LightGBM_GPU,adasyn_cw,True,65400,ok,32.82,20,3,"{'subsample': 1.0, 'reg_lambda': 3.0, 'reg_alpha': 1.0, 'num_leaves': 63, 'n_estimators': 300, 'min_split_gain': 0.0, 'min_child_samples': 40, 'max_bin': 127, 'learning_rate': 0.02, 'colsample_bytree': 0.75}",0.6741829598972456,0.7196248600223965,0.6673156801661475,0.6924838362068966,0.6028205174066815,0.013813896831418064,cpu
LightGBM_GPU__smote_cw,LightGBM_GPU,smote_cw,True,66674,ok,34.66,20,4,"{'subsample': 0.85, 'reg_lambda': 5.0, 'reg_alpha': 0.0, 'num_leaves': 31, 'n_estimators': 200, 'min_split_gain': 0.1, 'min_child_samples': 40, 'max_bin': 511, 'learning_rate': 0.08, 'colsample_bytree': 0.85}",0.6758241758241759,0.7057670772676372,0.6737939329146064,0.6894099952143297,0.6032587443530176,0.013956188900668656,cpu
CatBoost_GPU__smote_cw,CatBoost_GPU,smote_cw,True,66674,ok,61.39,20,20,"{'random_strength': 1.0, 'min_data_in_leaf': 1, 'learning_rate': 0.05, 'l2_leaf_reg': 3.0, 'iterations': 300, 'depth': 8, 'border_count': 64, 'bagging_temperature': 0.5}",0.6744683887541031,0.7110862262038073,0.6703615729743996,0.6901236245075397,0.6033326514251176,0.014159184822279753,gpu
