config_name,model_family,balance_method,best_params,calibration_method,val_ece,val_log_loss,operating_threshold,operating_score,operating_val_accuracy,operating_val_recall
CatBoost_GPU__adasyn,CatBoost_GPU,adasyn,"{'random_strength': 4.0, 'min_data_in_leaf': 40, 'learning_rate': 0.01, 'l2_leaf_reg': 7.0, 'iterations': 300, 'depth': 8, 'border_count': 254, 'bagging_temperature': 1.0}",platt,0.010783925989734804,0.609180959573492,0.125,0.9024206316799503,0.5143428000570858,0.9994400895856663
CatBoost_GPU__adasyn,CatBoost_GPU,adasyn,"{'random_strength': 4.0, 'min_data_in_leaf': 40, 'learning_rate': 0.01, 'l2_leaf_reg': 7.0, 'iterations': 300, 'depth': 8, 'border_count': 254, 'bagging_temperature': 1.0}",venn_abers,0.018984347436832506,0.6111317138340987,0.01,0.9019551876694735,0.5097759383473669,1.0
CatBoost_GPU__adasyn,CatBoost_GPU,adasyn,"{'random_strength': 4.0, 'min_data_in_leaf': 40, 'learning_rate': 0.01, 'l2_leaf_reg': 7.0, 'iterations': 300, 'depth': 8, 'border_count': 254, 'bagging_temperature': 1.0}",isotonic,0.019619936025443888,0.6137662082675369,0.075,0.9018145827936263,0.5169116597688026,0.998040313549832
CatBoost_GPU__adasyn,CatBoost_GPU,adasyn,"{'random_strength': 4.0, 'min_data_in_leaf': 40, 'learning_rate': 0.01, 'l2_leaf_reg': 7.0, 'iterations': 300, 'depth': 8, 'border_count': 254, 'bagging_temperature': 1.0}",identity,0.021076044804075867,0.6102090046965791,0.12,0.9023064601372073,0.5137719423433709,0.9994400895856663
CatBoost_GPU__base,CatBoost_GPU,base,"{'random_strength': 4.0, 'min_data_in_leaf': 40, 'learning_rate': 0.01, 'l2_leaf_reg': 7.0, 'iterations': 300, 'depth': 8, 'border_count': 254, 'bagging_temperature': 1.0}",platt,0.010783950102161525,0.6091809425358511,0.125,0.9024206316799503,0.5143428000570858,0.9994400895856663
CatBoost_GPU__base,CatBoost_GPU,base,"{'random_strength': 4.0, 'min_data_in_leaf': 40, 'learning_rate': 0.01, 'l2_leaf_reg': 7.0, 'iterations': 300, 'depth': 8, 'border_count': 254, 'bagging_temperature': 1.0}",venn_abers,0.018759227528324016,0.6111145769731315,0.01,0.9019551876694735,0.5097759383473669,1.0
CatBoost_GPU__base,CatBoost_GPU,base,"{'random_strength': 4.0, 'min_data_in_leaf': 40, 'learning_rate': 0.01, 'l2_leaf_reg': 7.0, 'iterations': 300, 'depth': 8, 'border_count': 254, 'bagging_temperature': 1.0}",isotonic,0.019620390868386954,0.6137658305545931,0.075,0.9018145827936263,0.5169116597688026,0.998040313549832
CatBoost_GPU__base,CatBoost_GPU,base,"{'random_strength': 4.0, 'min_data_in_leaf': 40, 'learning_rate': 0.01, 'l2_leaf_reg': 7.0, 'iterations': 300, 'depth': 8, 'border_count': 254, 'bagging_temperature': 1.0}",identity,0.021076044332198743,0.6102089862508236,0.12,0.9023064601372073,0.5137719423433709,0.9994400895856663
LightGBM_GPU__adasyn,LightGBM_GPU,adasyn,"{'subsample': 1.0, 'reg_lambda': 5.0, 'reg_alpha': 0.0, 'num_leaves': 95, 'n_estimators': 300, 'min_split_gain': 0.25, 'min_child_samples': 20, 'max_bin': 127, 'learning_rate': 0.01, 'colsample_bytree': 0.6}",venn_abers,0.012571512232031942,0.6100233417446274,0.105,0.9024710691643983,0.5201940916226631,0.998040313549832
LightGBM_GPU__adasyn,LightGBM_GPU,adasyn,"{'subsample': 1.0, 'reg_lambda': 5.0, 'reg_alpha': 0.0, 'num_leaves': 95, 'n_estimators': 300, 'min_split_gain': 0.25, 'min_child_samples': 20, 'max_bin': 127, 'learning_rate': 0.01, 'colsample_bytree': 0.6}",platt,0.01417216116021611,0.6078164509969498,0.125,0.902273538331769,0.5124875124875125,0.9997200447928332
