config_name,model_family,balance_method,use_class_weight,train_samples,status,train_seconds,optimization_trials,best_trial_idx,best_params,val_accuracy,val_recall,val_precision,val_f1,val_log_loss,val_ece,val_device
RandomForest_GPU_XGBRF__base,RandomForest_GPU_XGBRF,base,False,65400,ok,3940.41,120,73,"{'subsample': 0.6, 'reg_lambda': 0.5, 'reg_alpha': 0.0, 'n_estimators': 300, 'min_child_weight': 3, 'max_depth': 6, 'gamma': 0.25, 'colsample_bynode': 0.6}",0.6679748822605965,0.7418812989921613,0.6535947712418301,0.6949452566708189,0.6100808469640653,0.02377487202079929,gpu
XGBoost_GPU__base,XGBoost_GPU,base,False,65400,ok,686.31,120,115,"{'subsample': 0.8, 'reg_lambda': 8.0, 'reg_alpha': 2.0, 'n_estimators': 300, 'min_child_weight': 2, 'max_depth': 4, 'max_delta_step': 2, 'max_bin': 768, 'learning_rate': 0.03, 'gamma': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.9}",0.6739688882546025,0.740481522956327,0.6608369768894441,0.6983959337249983,0.6025084305895295,0.009679656757558297,gpu
CatBoost_GPU__base,CatBoost_GPU,base,False,65400,ok,641.73,120,43,"{'random_strength': 4.0, 'min_data_in_leaf': 40, 'learning_rate': 0.01, 'l2_leaf_reg': 7.0, 'iterations': 300, 'depth': 8, 'border_count': 254, 'bagging_temperature': 1.0}",0.6691879549022406,0.7525195968645016,0.6521106259097526,0.6987262802183519,0.6075043843734845,0.021621547975512412,gpu
LightGBM_GPU__base,LightGBM_GPU,base,False,65400,ok,610.86,120,98,"{'subsample': 1.0, 'reg_lambda': 5.0, 'reg_alpha': 0.0, 'num_leaves': 95, 'n_estimators': 300, 'min_split_gain': 0.25, 'min_child_samples': 20, 'max_bin': 127, 'learning_rate': 0.01, 'colsample_bytree': 0.6}",0.6726844583987441,0.7424412094064949,0.6588001490498074,0.6981243830207305,0.6069733098502105,0.021268158091207797,cpu
RandomForest_GPU_XGBRF__adasyn,RandomForest_GPU_XGBRF,adasyn,False,65400,ok,4026.11,120,73,"{'subsample': 0.6, 'reg_lambda': 0.5, 'reg_alpha': 0.0, 'n_estimators': 300, 'min_child_weight': 3, 'max_depth': 6, 'gamma': 0.25, 'colsample_bynode': 0.6}",0.6679748822605965,0.7418812989921613,0.6535947712418301,0.6949452566708189,0.6100808469640653,0.02377487202079929,gpu
XGBoost_GPU__adasyn,XGBoost_GPU,adasyn,False,65400,ok,686.14,120,115,"{'subsample': 0.8, 'reg_lambda': 8.0, 'reg_alpha': 2.0, 'n_estimators': 300, 'min_child_weight': 2, 'max_depth': 4, 'max_delta_step': 2, 'max_bin': 768, 'learning_rate': 0.03, 'gamma': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.9}",0.6739688882546025,0.740481522956327,0.6608369768894441,0.6983959337249983,0.6025084305895295,0.009679656757558297,gpu
CatBoost_GPU__adasyn,CatBoost_GPU,adasyn,False,65400,ok,643.21,120,43,"{'random_strength': 4.0, 'min_data_in_leaf': 40, 'learning_rate': 0.01, 'l2_leaf_reg': 7.0, 'iterations': 300, 'depth': 8, 'border_count': 254, 'bagging_temperature': 1.0}",0.6691879549022406,0.7525195968645016,0.6521106259097526,0.6987262802183519,0.6075043830428871,0.021621542841666008,gpu
LightGBM_GPU__adasyn,LightGBM_GPU,adasyn,False,65400,ok,608.46,120,98,"{'subsample': 1.0, 'reg_lambda': 5.0, 'reg_alpha': 0.0, 'num_leaves': 95, 'n_estimators': 300, 'min_split_gain': 0.25, 'min_child_samples': 20, 'max_bin': 127, 'learning_rate': 0.01, 'colsample_bytree': 0.6}",0.6726844583987441,0.7424412094064949,0.6588001490498074,0.6981243830207305,0.6069733098502105,0.021268158091207797,cpu
RandomForest_GPU_XGBRF__smote,RandomForest_GPU_XGBRF,smote,False,66674,ok,4248.3,120,44,"{'subsample': 1.0, 'reg_lambda': 0.5, 'reg_alpha': 0.01, 'n_estimators': 1200, 'min_child_weight': 1, 'max_depth': 6, 'gamma': 0.25, 'colsample_bynode': 1.0}",0.666262309119452,0.7312430011198209,0.654554567096855,0.6907768595041323,0.6130370611882441,0.017664195501048988,gpu
XGBoost_GPU__smote,XGBoost_GPU,smote,False,66674,ok,695.31,120,13,"{'subsample': 1.0, 'reg_lambda': 8.0, 'reg_alpha': 1.0, 'n_estimators': 500, 'min_child_weight': 1, 'max_depth': 8, 'max_delta_step': 1, 'max_bin': 512, 'learning_rate': 0.01, 'gamma': 0.25, 'colsample_bytree': 0.6, 'colsample_bylevel': 1.0}",0.6733266733266733,0.7241041433370661,0.6649100257069409,0.6932457786116323,0.604023456843129,0.010978720203122853,gpu
CatBoost_GPU__smote,CatBoost_GPU,smote,False,66674,ok,661.08,120,43,"{'random_strength': 4.0, 'min_data_in_leaf': 40, 'learning_rate': 0.01, 'l2_leaf_reg': 7.0, 'iterations': 300, 'depth': 8, 'border_count': 254, 'bagging_temperature': 1.0}",0.6685457399743114,0.7393617021276596,0.6549287042777433,0.6945887303570254,0.6087209819468082,0.022876528581206732,gpu
LightGBM_GPU__smote,LightGBM_GPU,smote,False,66674,ok,627.6,120,20,"{'subsample': 0.6, 'reg_lambda': 1.0, 'reg_alpha': 0.01, 'num_leaves': 191, 'n_estimators': 300, 'min_split_gain': 0.05, 'min_child_samples': 40, 'max_bin': 127, 'learning_rate': 0.01, 'colsample_bytree': 0.6}",0.6731126016840303,0.725363941769317,0.6642738110498654,0.6934760789561726,0.6064893757124206,0.020609253738796792,cpu
RandomForest_GPU_XGBRF__classweights,RandomForest_GPU_XGBRF,classweights,True,65400,ok,4009.49,120,44,"{'subsample': 1.0, 'reg_lambda': 0.5, 'reg_alpha': 0.01, 'n_estimators': 1200, 'min_child_weight': 1, 'max_depth': 6, 'gamma': 0.25, 'colsample_bynode': 1.0}",0.667475381761096,0.7376819708846585,0.6541708043694141,0.6934210526315789,0.6125453850679078,0.013629086686725446,gpu
XGBoost_GPU__classweights,XGBoost_GPU,classweights,True,65400,ok,682.56,120,95,"{'subsample': 0.9, 'reg_lambda': 1.0, 'reg_alpha': 0.5, 'n_estimators': 300, 'min_child_weight': 7, 'max_depth': 10, 'max_delta_step': 0, 'max_bin': 768, 'learning_rate': 0.01, 'gamma': 2.0, 'colsample_bytree': 0.6, 'colsample_bylevel': 1.0}",0.6705437419723134,0.7242441209406495,0.6615522311724843,0.6914801202806549,0.6068027746800805,0.01919163850873637,gpu
CatBoost_GPU__classweights,CatBoost_GPU,classweights,True,65400,ok,638.23,120,27,"{'random_strength': 2.0, 'min_data_in_leaf': 40, 'learning_rate': 0.01, 'l2_leaf_reg': 1.0, 'iterations': 300, 'depth': 6, 'border_count': 128, 'bagging_temperature': 0.5}",0.6716854573997432,0.7388017917133258,0.658679645575939,0.6964438873127927,0.6075278926303146,0.01906514197893049,gpu
LightGBM_GPU__classweights,LightGBM_GPU,classweights,True,65400,ok,614.46,120,98,"{'subsample': 1.0, 'reg_lambda': 5.0, 'reg_alpha': 0.0, 'num_leaves': 95, 'n_estimators': 300, 'min_split_gain': 0.25, 'min_child_samples': 20, 'max_bin': 127, 'learning_rate': 0.01, 'colsample_bytree': 0.6}",0.6727558156129585,0.7236842105263158,0.6643536365972758,0.6927509044620126,0.6070366038598007,0.02400641368434203,cpu
RandomForest_GPU_XGBRF__adasyn_cw,RandomForest_GPU_XGBRF,adasyn_cw,True,65400,ok,4022.34,120,44,"{'subsample': 1.0, 'reg_lambda': 0.5, 'reg_alpha': 0.01, 'n_estimators': 1200, 'min_child_weight': 1, 'max_depth': 6, 'gamma': 0.25, 'colsample_bynode': 1.0}",0.667475381761096,0.7376819708846585,0.6541708043694141,0.6934210526315789,0.6125453850679078,0.013629086686725446,gpu
XGBoost_GPU__adasyn_cw,XGBoost_GPU,adasyn_cw,True,65400,ok,682.95,120,95,"{'subsample': 0.9, 'reg_lambda': 1.0, 'reg_alpha': 0.5, 'n_estimators': 300, 'min_child_weight': 7, 'max_depth': 10, 'max_delta_step': 0, 'max_bin': 768, 'learning_rate': 0.01, 'gamma': 2.0, 'colsample_bytree': 0.6, 'colsample_bylevel': 1.0}",0.6705437419723134,0.7242441209406495,0.6615522311724843,0.6914801202806549,0.6068027746800805,0.01919163850873637,gpu
CatBoost_GPU__adasyn_cw,CatBoost_GPU,adasyn_cw,True,65400,ok,638.47,120,27,"{'random_strength': 2.0, 'min_data_in_leaf': 40, 'learning_rate': 0.01, 'l2_leaf_reg': 1.0, 'iterations': 300, 'depth': 6, 'border_count': 128, 'bagging_temperature': 0.5}",0.6716854573997432,0.7388017917133258,0.658679645575939,0.6964438873127927,0.6075278118895031,0.01906522148965668,gpu
LightGBM_GPU__adasyn_cw,LightGBM_GPU,adasyn_cw,True,65400,ok,613.4,120,98,"{'subsample': 1.0, 'reg_lambda': 5.0, 'reg_alpha': 0.0, 'num_leaves': 95, 'n_estimators': 300, 'min_split_gain': 0.25, 'min_child_samples': 20, 'max_bin': 127, 'learning_rate': 0.01, 'colsample_bytree': 0.6}",0.6727558156129585,0.7236842105263158,0.6643536365972758,0.6927509044620126,0.6070366038598007,0.02400641368434203,cpu
RandomForest_GPU_XGBRF__smote_cw,RandomForest_GPU_XGBRF,smote_cw,True,66674,ok,4137.79,120,73,"{'subsample': 0.6, 'reg_lambda': 0.5, 'reg_alpha': 0.0, 'n_estimators': 300, 'min_child_weight': 3, 'max_depth': 6, 'gamma': 0.25, 'colsample_bynode': 0.6}",0.6671185956900243,0.711926091825308,0.6611204991550761,0.6855833389499225,0.6102779797527129,0.02827293227810958,gpu
XGBoost_GPU__smote_cw,XGBoost_GPU,smote_cw,True,66674,ok,689.47,120,115,"{'subsample': 0.8, 'reg_lambda': 8.0, 'reg_alpha': 2.0, 'n_estimators': 300, 'min_child_weight': 2, 'max_depth': 4, 'max_delta_step': 2, 'max_bin': 768, 'learning_rate': 0.03, 'gamma': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.9}",0.672256315113458,0.7075867861142218,0.6687392512237068,0.6876147724954091,0.603441310833034,0.016475331568560205,gpu
CatBoost_GPU__smote_cw,CatBoost_GPU,smote_cw,True,66674,ok,663.09,120,43,"{'random_strength': 4.0, 'min_data_in_leaf': 40, 'learning_rate': 0.01, 'l2_leaf_reg': 7.0, 'iterations': 300, 'depth': 8, 'border_count': 254, 'bagging_temperature': 1.0}",0.6688311688311688,0.7235442329227324,0.6597319719208679,0.6901662327258161,0.6091708675061135,0.024517446372071237,gpu
LightGBM_GPU__smote_cw,LightGBM_GPU,smote_cw,True,66674,ok,626.85,120,69,"{'subsample': 0.7, 'reg_lambda': 1.0, 'reg_alpha': 0.01, 'num_leaves': 191, 'n_estimators': 500, 'min_split_gain': 0.1, 'min_child_samples': 30, 'max_bin': 255, 'learning_rate': 0.01, 'colsample_bytree': 0.6}",0.6716854573997432,0.7087066069428891,0.6676777001186865,0.6875806342092755,0.6050314509893909,0.013953974469919011,cpu
