candidate_id,model,balance_strategy,rank_within_balance_strategy,trial,candidate_stage2_auc_mean,candidate_stage2_logloss_mean,candidate_stage2_f1_mean,candidate_stage2_score,params_json,calibration_method,calibration_accuracy,calibration_precision,calibration_recall,calibration_f1,calibration_auc,calibration_logloss,calibration_ece,test_accuracy_calibrated,test_precision_calibrated,test_recall_calibrated,test_f1_calibrated,test_auc_calibrated,test_logloss_calibrated,test_ece_calibrated,error,calibration_logloss_rank,calibration_ece_rank,test_logloss_rank,test_auc_rank,test_f1_rank,composite_rank
55,xgboost,classweights,1,319,0.8517696701190595,0.47526198128999814,0.701467929686276,0.6240775144108149,"{""colsample_bytree"": 0.9449080677680503, ""gamma"": 0.32993815394311254, ""learning_rate"": 0.10506492740498463, ""max_depth"": 4, ""min_child_weight"": 10, ""reg_lambda"": 0.005034561917116735, ""subsample"": 0.9227930841566909}",venn_abers,0.7811094452773614,0.6644394951744618,0.704539490947258,0.6839021905247071,0.8565643045984399,0.4383561225509366,0.01051126730217019,0.7701397768861061,0.6448744141329167,0.7038300104931794,0.6730636563185952,0.8452420392453972,0.4519177240823707,0.011993055010254909,,9.0,37.0,15.0,13.0,65.0,27.8
55,xgboost,classweights,1,319,0.8517696701190595,0.47526198128999814,0.701467929686276,0.6240775144108149,"{""colsample_bytree"": 0.9449080677680503, ""gamma"": 0.32993815394311254, ""learning_rate"": 0.10506492740498463, ""max_depth"": 4, ""min_child_weight"": 10, ""reg_lambda"": 0.005034561917116735, ""subsample"": 0.9227930841566909}",isotonic,0.7808448716818062,0.6641901931649331,0.7037522959853056,0.6833991591285514,0.8565270780566686,0.4390540062036959,0.00979388927917167,0.770095683231183,0.6449013949013949,0.7034365162644282,0.6728983688833124,0.8450976447673676,0.45133606058403825,0.013341578721758332,,19.0,30.0,8.0,23.0,67.0,29.4
54,xgboost,base,2,108,0.8514630371684633,0.4425232760334628,0.6726966768854351,0.6423753836059652,"{""colsample_bytree"": 0.7163700117138441, ""gamma"": 1.773444122640711, ""learning_rate"": 0.11829732745654534, ""max_depth"": 4, ""min_child_weight"": 2, ""reg_lambda"": 0.01208092619163048, ""subsample"": 0.9651504321266501}",base,0.7802275332921774,0.667343313879726,0.6901075833114668,0.6785345717234262,0.8550478981504125,0.4375955115085326,0.009159373081527346,0.7705807134353366,0.653247246486897,0.6768100734522561,0.6648199445983379,0.8453036052139008,0.4504947809884325,0.0094411493358255,,6.0,17.0,2.0,9.0,129.0,32.6
53,xgboost,base,1,49,0.8515529637170441,0.44247111841457093,0.6719047370179201,0.6424003838531337,"{""colsample_bytree"": 0.8196366132343432, ""gamma"": 0.9443535080039611, ""learning_rate"": 0.1219120687714584, ""max_depth"": 4, ""min_child_weight"": 3, ""reg_lambda"": 0.008769768098331663, ""subsample"": 0.8249147130554549}",venn_abers,0.7793456213069936,0.6528134485173943,0.733665704539491,0.6908821349147517,0.8553225484649141,0.44040755020786027,0.010268192266571163,0.7689933418581066,0.6396860723907696,0.7162906610703043,0.6758245158096653,0.8446473328122174,0.4513592041192224,0.012989933305096249,,44.0,36.0,9.0,39.0,52.0,36.0
90,lightgbm,base,2,195,0.8518898654617811,0.44217778514284173,0.6730210740725201,0.643102877441834,"{""bagging_fraction"": 0.6119120988195819, ""feature_fraction"": 0.7680171374179768, ""learning_rate"": 0.06204434106627703, ""min_child_samples"": 64, ""min_split_gain"": 0.34023449159754854, ""num_leaves"": 23, ""reg_lambda"": 0.6629425345928486}",isotonic,0.7796101949025487,0.6682051282051282,0.6838100236158489,0.6759175204253663,0.8559562885109968,0.43996454357305687,0.011532770495214995,0.7690815291679527,0.6420664206642066,0.7075026232948584,0.673198127925117,0.8452172830436702,0.45181908402957255,0.012797275869333786,,37.0,71.0,13.0,14.0,62.0,39.4
66,catboost,base,2,39,0.8517521347470375,0.4426062828452622,0.6729182609092647,0.6426453206092354,"{""depth"": 6, ""l2_leaf_reg"": 8.184654521840187, ""learning_rate"": 0.09501644902056357, ""random_strength"": 0.07272221221740943}",base,0.7793456213069936,0.6664124078311722,0.6877459984256101,0.6769111570247934,0.8556088059314847,0.4368130128505929,0.009507998661021049,0.7695224657171833,0.6514596234045242,0.6761542497376705,0.6635772671686941,0.8451590364884545,0.45114283011373946,0.00866572944301774,,3.0,25.0,6.0,20.0,144.0,39.6
94,lightgbm,smote,2,296,0.8503923736938034,0.44519915777809776,0.6806090964842332,0.6406247657305534,"{""bagging_fraction"": 0.6808049488078207, ""feature_fraction"": 0.5946746729365866, ""learning_rate"": 0.08221214728166787, ""min_child_samples"": 31, ""min_split_gain"": 1.0017456585650675, ""num_leaves"": 53, ""reg_lambda"": 27.196828200552794}",venn_abers,0.777846370932181,0.6496062992125984,0.7360272894253477,0.6901217861975643,0.854143446553143,0.43901574472398036,0.01120543230240698,0.769301997442568,0.6430279837359484,0.7052728226652676,0.6727136244213687,0.8445790452496147,0.4521254998132694,0.01127122852951417,,17.0,60.0,17.0,40.0,68.0,40.4
90,lightgbm,base,2,195,0.8518898654617811,0.44217778514284173,0.6730210740725201,0.643102877441834,"{""bagging_fraction"": 0.6119120988195819, ""feature_fraction"": 0.7680171374179768, ""learning_rate"": 0.06204434106627703, ""min_child_samples"": 64, ""min_split_gain"": 0.34023449159754854, ""num_leaves"": 23, ""reg_lambda"": 0.6629425345928486}",base,0.7804039156892142,0.6675120466649759,0.6906323799527683,0.6788754191385091,0.8564431266279641,0.43616840268823215,0.010731010265494492,0.7695665593721064,0.6526610644257703,0.6723504721930745,0.6623594779687298,0.8453769982258128,0.4504045619030759,0.00899975575311397,,1.0,43.0,1.0,7.0,153.0,41.0
89,lightgbm,base,1,18,0.8519439957556343,0.442057463142072,0.6726601272861686,0.6431804560368196,"{""bagging_fraction"": 0.5315013715586109, ""feature_fraction"": 0.8322440110749109, ""learning_rate"": 0.13634869019604123, ""min_child_samples"": 24, ""min_split_gain"": 0.2320418413477981, ""num_leaves"": 24, ""reg_lambda"": 7.427237240131544}",base,0.7804039156892142,0.6681089335708832,0.688795591708213,0.6782945736434108,0.8558190417804493,0.4367998217127938,0.010722677910181099,0.7705366197804135,0.6545338441890166,0.6722193074501573,0.6632587032483499,0.8452920221168763,0.45057069085604606,0.011109014315851783,,2.0,42.0,3.0,11.0,147.0,41.0
65,catboost,base,1,33,0.8517954470282186,0.4427417368278805,0.6732700546781191,0.6426490609799973,"{""depth"": 6, ""l2_leaf_reg"": 7.533217761585923, ""learning_rate"": 0.0729869646899148, ""random_strength"": 0.1379201243729711}",base,0.7813740188729165,0.6686075949367088,0.6929939648386251,0.680582399175364,0.8552954999663985,0.43741626048905335,0.009529596818349846,0.7680232814497994,0.6488972904851922,0.6753672612801679,0.6618677292885147,0.8454920668636129,0.4508936428863404,0.009370974228917943,,5.0,27.0,5.0,3.0,168.0,41.6
