feature,mean_abs_shap
num__age,1.0617671684626577
num__bmi,0.5611839084719615
num__psc_anthro,0.1925595751476552
num__whr,0.11995835939063886
num__regcode_anthro,0.09001839263690416
num__fe_alcohol_level,0.057744304086714736
num__fg3,0.04079718928924704
num__mos_preg,0.0350489291063264
num__cu,0.02658710457059539
num__provcode_anthro,0.02601647504273139
num__fe_smoking_level,0.017101427098394135
num__fg9,0.01682511044722838
num__fg6,0.015564356486374538
num__mos_lactation,0.015000385807168781
num__anthro_group,0.014403043213084882
num__Total_Fat,0.013894525746046897
num__fg19,0.013605694037147722
num__fg11,0.012963847605242045
num__fg16,0.011137159485529308
num__fg4,0.010920063445625175
num__fg26,0.010514282697728639
num__fg24,0.009358841063451775
num__fg23,0.009331840316217005
num__psurec_anthro,0.008645323630627628
num__Total_Calcium,0.008549643952758335
num__Total_Riboflavin,0.00793901559588139
num__fg17,0.007468060950378267
num__fg15,0.006220630538536386
num__Total_Iron,0.005483355922461814
num__Total_CHO,0.005227161379726022
num__fg10,0.004810139709072651
num__fg27,0.004333013748454616
num__Total_VitaminC,0.0038699225174623282
num__fg18,0.0036722676686582792
num__fg21,0.003598975348296526
num__fg12,0.0029914815902930395
num__fg7,0.002935820094196632
num__ethnicity,0.002751914158770929
num__fg5,0.0026108290259368003
