model,balance_strategy,candidate_rank,params,valid_auc,valid_logloss,valid_f1,valid_stage_score
adaboost,base,1,"{'learning_rate': 0.16465721447150078, '__balance_strategy': 'base'}",0.8509499581598854,0.5146798453325877,0.6701152435830278,0.5911913529645282
adaboost,base,3,"{'learning_rate': 0.16392820746544928, '__balance_strategy': 'base'}",0.8509501237166466,0.5145367964567014,0.6694220297841632,0.5911876706645801
adaboost,base,2,"{'learning_rate': 0.16946841870578586, '__balance_strategy': 'base'}",0.8507355665110564,0.5145234780304108,0.6696282746455869,0.591013373086607
adaboost,base,4,"{'learning_rate': 0.17107436696607348, '__balance_strategy': 'base'}",0.8506872457206082,0.5144893387315315,0.6691522762951334,0.5909175500528062
catboost,base,3,"{'depth': 6, 'l2_leaf_reg': 8.391591857858911, 'learning_rate': 0.07717903085115367, 'random_strength': 0.07820383388652569, '__balance_strategy': 'base'}",0.8568776395683795,0.43628045659532283,0.6811594202898551,0.6536552329951317
catboost,base,4,"{'depth': 6, 'l2_leaf_reg': np.float64(7.391201933811794), 'learning_rate': np.float64(0.11154558762540934), 'random_strength': np.float64(0.10824476246478665), '__balance_strategy': 'base'}",0.8567462179973879,0.43644996965843874,0.6802800466744457,0.6532732462376477
catboost,base,2,"{'depth': 6, 'l2_leaf_reg': 8.184654521840187, 'learning_rate': 0.09501644902056357, 'random_strength': 0.07272221221740943, '__balance_strategy': 'base'}",0.8565765048902635,0.4364740357654421,0.6788444098976552,0.6528713413391023
catboost,base,1,"{'depth': 6, 'l2_leaf_reg': 7.533217761585923, 'learning_rate': 0.0729869646899148, 'random_strength': 0.1379201243729711, '__balance_strategy': 'base'}",0.8564697817739694,0.43677530262342634,0.6808950976587763,0.6528613345863875
knn,base,1,"{'n_neighbors': 136, 'p': 1, 'weights': 'distance', '__balance_strategy': 'base'}",0.8468241311875262,0.44978595289734274,0.6566446181599519,0.6304706568833791
knn,base,3,"{'n_neighbors': 131, 'p': 1, 'weights': 'distance', '__balance_strategy': 'base'}",0.8466936463192616,0.4502595281596697,0.6557552274701048,0.6298752607280086
knn,base,2,"{'n_neighbors': 124, 'p': 1, 'weights': 'uniform', '__balance_strategy': 'base'}",0.8465060966495102,0.4511441205499129,0.6588843934469722,0.6295378712816171
knn,base,4,"{'n_neighbors': 128, 'p': 1, 'weights': 'distance', '__balance_strategy': 'base'}",0.8465939985761247,0.45033554009412247,0.6533699216919885,0.6293646087640373
lightgbm,base,2,"{'bagging_fraction': 0.6119120988195819, 'feature_fraction': 0.7680171374179768, 'learning_rate': 0.06204434106627703, 'min_child_samples': 64, 'min_split_gain': 0.34023449159754854, 'num_leaves': 23, 'reg_lambda': 0.6629425345928486, '__balance_strategy': 'base'}",0.8573789410841431,0.43546196662662745,0.679777461508604,0.6545221836717946
lightgbm,base,3,"{'bagging_fraction': 0.7204096564880731, 'feature_fraction': 0.8826975948875391, 'learning_rate': 0.07948953965345415, 'min_child_samples': 17, 'min_split_gain': 0.4137221219646371, 'num_leaves': 28, 'reg_lambda': 0.18819284076213802, '__balance_strategy': 'base'}",0.8573707590947408,0.43559548570934997,0.6786061903834923,0.6542448476557197
lightgbm,base,4,"{'bagging_fraction': 0.7366493549570607, 'feature_fraction': 0.9027982771934784, 'learning_rate': 0.05821213498277845, 'min_child_samples': 17, 'min_split_gain': 0.4006079027253259, 'num_leaves': 35, 'reg_lambda': 0.1779384660125445, '__balance_strategy': 'base'}",0.8571660089488657,0.43585660430859335,0.6789371354504212,0.6539069562504136
lightgbm,base,1,"{'bagging_fraction': 0.5315013715586109, 'feature_fraction': 0.8322440110749109, 'learning_rate': 0.13634869019604123, 'min_child_samples': 24, 'min_split_gain': 0.2320418413477981, 'num_leaves': 24, 'reg_lambda': 7.427237240131544, '__balance_strategy': 'base'}",0.8567095471748108,0.4363965759705043,0.6777395704924415,0.6528928795693241
log_reg,base,1,"{'C': 0.009499595830678125, 'penalty': 'l1', 'solver': 'liblinear', '__balance_strategy': 'base'}",0.8493843619353115,0.44866620679142466,0.6613824141868745,0.6345253793093455
log_reg,base,3,"{'C': np.float64(0.009918744114637184), 'penalty': 'l1', 'solver': 'liblinear', '__balance_strategy': 'base'}",0.8493830113406818,0.4486607562135797,0.6613369163587505,0.6345210194449886
log_reg,base,2,"{'C': 0.009860811573783315, 'penalty': 'l1', 'solver': 'liblinear', '__balance_strategy': 'base'}",0.8493827935028382,0.44866158107317666,0.6613369163587505,0.6345202242054271
log_reg,base,4,"{'C': 0.010351541201412105, 'penalty': 'l1', 'solver': 'liblinear', '__balance_strategy': 'base'}",0.8493794649405894,0.44865577853248756,0.660932670340008,0.6344603205188493
naive_bayes,base,1,"{'var_smoothing': 1e-06, '__balance_strategy': 'base'}",0.819175568283385,1.0873320240262019,0.6789189189189189,0.15988098930288153
naive_bayes,base,2,"{'var_smoothing': np.float64(6.515465231476855e-07), '__balance_strategy': 'base'}",0.819175568283385,1.0873325473654083,0.6789189189189189,0.15988062296543704
naive_bayes,base,3,"{'var_smoothing': np.float64(1.9394793010157844e-07), '__balance_strategy': 'base'}",0.8191755334293302,1.0873332346287243,0.6789189189189189,0.15988010702706112
naive_bayes,base,4,"{'var_smoothing': np.float64(2.6701137911139927e-08), '__balance_strategy': 'base'}",0.8191755160023027,1.087333485816472,0.6789189189189189,0.1598799137686101
random_forest,base,1,"{'max_depth': 9, 'max_features': 0.5388091141240144, 'min_samples_leaf': 3, 'min_samples_split': 25, '__balance_strategy': 'base'}",0.8552332601093205,0.43859182073960135,0.6798061389337642,0.6501899064316643
random_forest,base,4,"{'max_depth': 9, 'max_features': 0.4570933642378022, 'min_samples_leaf': 2, 'min_samples_split': 13, '__balance_strategy': 'base'}",0.8552311078714266,0.4387576625156565,0.6797672915319974,0.6500658378402666
random_forest,base,2,"{'max_depth': 11, 'max_features': 0.36023049130450463, 'min_samples_leaf': 15, 'min_samples_split': 15, '__balance_strategy': 'base'}",0.8551438899556407,0.4387669240484622,0.6788444098976552,0.6498337046063655
random_forest,base,3,"{'max_depth': 10, 'max_features': 0.45755713046050384, 'min_samples_leaf': 3, 'min_samples_split': 15, '__balance_strategy': 'base'}",0.8551024484842908,0.4388134169208612,0.6792697138417714,0.6498235137159538
xgboost,base,2,"{'colsample_bytree': 0.7163700117138441, 'gamma': 1.773444122640711, 'learning_rate': 0.11829732745654534, 'max_depth': 4, 'min_child_weight': 2, 'reg_lambda': 0.01208092619163048, 'subsample': 0.9651504321266501, '__balance_strategy': 'base'}",0.8554663640289073,0.4372780489758256,0.673985060084443,0.6504694887584959
xgboost,base,4,"{'colsample_bytree': 0.938734517544781, 'gamma': 2.649760081558485, 'learning_rate': 0.14031054552542407, 'max_depth': 3, 'min_child_weight': 11, 'reg_lambda': 0.0521506707895785, 'subsample': 0.7365181920336777, '__balance_strategy': 'base'}",0.8552573616883269,0.43792655261253993,0.6779043280182232,0.6503944240622824
xgboost,base,1,"{'colsample_bytree': 0.8196366132343432, 'gamma': 0.9443535080039611, 'learning_rate': 0.1219120687714584, 'max_depth': 4, 'min_child_weight': 3, 'reg_lambda': 0.008769768098331663, 'subsample': 0.8249147130554549, '__balance_strategy': 'base'}",0.8549068693116276,0.43833707112008463,0.674287198804962,0.6492139993483127
xgboost,base,3,"{'colsample_bytree': 0.7574975561140891, 'gamma': 1.4736775115951724, 'learning_rate': 0.1281029625681251, 'max_depth': 4, 'min_child_weight': 3, 'reg_lambda': 0.012144904980260267, 'subsample': 0.7583648443574611, '__balance_strategy': 'base'}",0.8534731346904891,0.440480480552598,0.6745485253995063,0.6463190771135965
