model,candidate_rank,params,valid_auc,valid_logloss,valid_f1,valid_stage_score
adaboost,1,{'learning_rate': np.float64(0.1467409596089374)},0.8259023006856707,0.5172901298714708,0.6521269154956444,0.5616182470999878
adaboost,3,{'learning_rate': 0.2331792260124112},0.8257287144216886,0.520087464359544,0.6577627288688237,0.5603318987003314
adaboost,2,{'learning_rate': 0.24695032130750436},0.8255443495412096,0.5209020886781683,0.6556407998993837,0.5592590074513993
adaboost,4,{'learning_rate': 0.2481589996953352},0.8254442661223858,0.5211312364948792,0.6564617314930992,0.5591216602999352
catboost,1,"{'depth': 5, 'l2_leaf_reg': 16.848715461407302, 'learning_rate': 0.10345320771733331, 'random_strength': 0.25186920908541177}",0.8297665000512138,0.46278352129559597,0.6674484631526972,0.6059353046172012
catboost,4,"{'depth': 6, 'l2_leaf_reg': 9.00725692280881, 'learning_rate': 0.0845136740149074, 'random_strength': 0.4541759083626164}",0.8299492180775958,0.4627441004809976,0.6660082710943769,0.6059295884050541
catboost,3,"{'depth': 6, 'l2_leaf_reg': 2.958870157001774, 'learning_rate': 0.11306017590024092, 'random_strength': 0.39366227309942825}",0.8297489858885951,0.4630389057343355,0.6639786613733639,0.6052185510805649
catboost,2,"{'depth': 5, 'l2_leaf_reg': 4.08873376601062, 'learning_rate': 0.1319335433931857, 'random_strength': 0.6955055797685605}",0.8297192335959281,0.4631434931721286,0.6639384920634921,0.605109562184962
knn,2,"{'n_neighbors': 140, 'p': 1, 'weights': 'uniform'}",0.8108778372780063,0.4873777109882668,0.6040086673889491,0.5603147396945619
knn,1,"{'n_neighbors': 156, 'p': 1, 'weights': 'uniform'}",0.8111396827226662,0.4871174596448451,0.6009612130237596,0.5603016429248386
knn,3,"{'n_neighbors': 144, 'p': 1, 'weights': 'uniform'}",0.8108885244026091,0.48735910258916776,0.6024684660246846,0.5601074224938943
knn,4,"{'n_neighbors': 152, 'p': 1, 'weights': 'uniform'}",0.810904679257084,0.48733817459256523,0.6005704196658971,0.5598535199921729
lightgbm,1,"{'bagging_fraction': 0.553264005645652, 'feature_fraction': 0.9013092561620157, 'learning_rate': 0.08523250517767571, 'min_child_samples': 25, 'min_split_gain': 1.7162686936799525, 'num_leaves': 17, 'reg_lambda': 2.577733337118472}",0.8297562703860824,0.4626827445007184,0.6678527607361964,0.6060562633460089
lightgbm,3,"{'bagging_fraction': 0.5196163542879592, 'feature_fraction': 0.7416691751580646, 'learning_rate': 0.07518785496283352, 'min_child_samples': 26, 'min_split_gain': 1.6801237157288935, 'num_leaves': 18, 'reg_lambda': 3.170531968182152}",0.8298010142791399,0.4627043900424384,0.666789463989685,0.6059263608478856
lightgbm,4,"{'bagging_fraction': 0.8449350171607278, 'feature_fraction': 0.862451456800531, 'learning_rate': 0.14086873320570456, 'min_child_samples': 32, 'min_split_gain': 0.8214089677594324, 'num_leaves': 13, 'reg_lambda': 0.00822986286313068}",0.8294111934581727,0.4627929288693166,0.6677322186020779,0.6056159760399629
lightgbm,2,"{'bagging_fraction': 0.7364471579895233, 'feature_fraction': 0.7616048656706049, 'learning_rate': 0.12513521114186582, 'min_child_samples': 6, 'min_split_gain': 1.2708150976489463, 'num_leaves': 22, 'reg_lambda': 0.3480146867724934}",0.8296387337992361,0.46294151559619084,0.6660513199187742,0.6054873708697188
log_reg,1,"{'C': 0.0070439244589380005, 'class_weight': None, 'penalty': 'l1', 'solver': 'liblinear'}",0.8243646922672315,0.4855284337813007,0.6061450567825541,0.5754165471377042
log_reg,3,"{'C': 0.007466059700026452, 'class_weight': None, 'penalty': 'l1', 'solver': 'liblinear'}",0.8243635856509863,0.4855187751197448,0.6061028284798662,0.575415867339145
log_reg,2,"{'C': 0.006992926932902082, 'class_weight': None, 'penalty': 'l1', 'solver': 'liblinear'}",0.8243643698672231,0.48552946807664926,0.6061450567825541,0.5754155007309517
