model_name,strategy,use_class_weight,sampler,cv_requested_folds,cv_folds_used,cv_best_f1,cv_best_auc,cal_accuracy,cal_precision,cal_recall,cal_f1,cal_auc,cal_logloss,best_params,model_path
AdaBoost,smote,False,smote,30,30,0.6815152613398487,0.8205608959231214,0.7267395713907752,0.5617743891873159,0.8505837596746688,0.6766501434907384,0.8171098076565906,0.5259873107935399,"{""model__learning_rate"": 0.1, ""model__n_estimators"": 250}",c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts\models\AdaBoost__smote__gridsearch_best.joblib
AdaBoost,smote_class_weight,True,smote,30,30,0.6815152613398487,0.8205608959231214,0.7267395713907752,0.5617743891873159,0.8505837596746688,0.6766501434907384,0.8171098076565906,0.5259873107935399,"{""model__learning_rate"": 0.1, ""model__n_estimators"": 250}",c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts\models\AdaBoost__smote_class_weight__gridsearch_best.joblib
AdaBoost,adasyn,False,adasyn,30,30,0.6771656636590404,0.8184626779764446,0.7123203104330188,0.5439635170813665,0.8919060737242556,0.6757777556902892,0.8150588077220727,0.5348732386333275,"{""model__learning_rate"": 0.1, ""model__n_estimators"": 250}",c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts\models\AdaBoost__adasyn__gridsearch_best.joblib
AdaBoost,adasyn_class_weight,True,adasyn,30,30,0.6771656636590404,0.8184626779764446,0.7123203104330188,0.5439635170813665,0.8919060737242556,0.6757777556902892,0.8150588077220727,0.5348732386333275,"{""model__learning_rate"": 0.1, ""model__n_estimators"": 250}",c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts\models\AdaBoost__adasyn_class_weight__gridsearch_best.joblib
AdaBoost,base,False,none,30,30,0.6531021740194175,0.8197785218117934,0.7468912602522269,0.6129032258064516,0.6704709431982159,0.6403959403583511,0.8154435921320979,0.5049250691970789,"{""model__learning_rate"": 0.05, ""model__n_estimators"": 250}",c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts\models\AdaBoost__base__gridsearch_best.joblib
AdaBoost,class_weight,True,none,30,30,0.6531021740194175,0.8197785218117934,0.7468912602522269,0.6129032258064516,0.6704709431982159,0.6403959403583511,0.8154435921320979,0.5049250691970789,"{""model__learning_rate"": 0.05, ""model__n_estimators"": 250}",c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts\models\AdaBoost__class_weight__gridsearch_best.joblib
CatBoost,class_weight,True,none,30,30,0.6878088221386783,0.8262905366309435,0.737146132815945,0.573267501322518,0.8529450347632166,0.6856841550224096,0.821282787808557,0.5077764127731889,"{""model__depth"": 6, ""model__iterations"": 300, ""model__learning_rate"": 0.05}",c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts\models\CatBoost__class_weight__gridsearch_best.joblib
CatBoost,adasyn,False,adasyn,30,30,0.6863144770083555,0.823450979087636,0.7419525531351971,0.5813504823151125,0.830119375573921,0.6838124054462935,0.81742584679996,0.4912352421353699,"{""model__depth"": 6, ""model__iterations"": 300, ""model__learning_rate"": 0.05}",c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts\models\CatBoost__adasyn__gridsearch_best.joblib
CatBoost,adasyn_class_weight,True,adasyn,30,30,0.6860360486074877,0.8236534105825403,0.7386894787900168,0.5765725115061817,0.8381214744851109,0.683169375534645,0.81765887665468,0.4945251358496684,"{""model__depth"": 6, ""model__iterations"": 300, ""model__learning_rate"": 0.05}",c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts\models\CatBoost__adasyn_class_weight__gridsearch_best.joblib
CatBoost,smote,False,smote,30,30,0.684357798349853,0.8238929681677625,0.7422171267307522,0.5823829392675012,0.823953823953824,0.6824206866579748,0.8185348679748004,0.49408643981205913,"{""model__depth"": 6, ""model__iterations"": 300, ""model__learning_rate"": 0.05}",c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts\models\CatBoost__smote__gridsearch_best.joblib
CatBoost,smote_class_weight,True,smote,30,30,0.684357798349853,0.8238929681677625,0.7422171267307522,0.5823829392675012,0.823953823953824,0.6824206866579748,0.8185348679748004,0.49408643981205913,"{""model__depth"": 6, ""model__iterations"": 300, ""model__learning_rate"": 0.05}",c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts\models\CatBoost__smote_class_weight__gridsearch_best.joblib
CatBoost,base,False,none,30,30,0.6555978780464847,0.8262877145564732,0.7525354969574036,0.6166879424393641,0.6971008789190607,0.6544334975369458,0.8206578371760582,0.4716267869677443,"{""model__depth"": 6, ""model__iterations"": 300, ""model__learning_rate"": 0.05}",c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts\models\CatBoost__base__gridsearch_best.joblib
ExtraTrees,smote,False,smote,30,30,0.6817912695215462,0.8164951995300196,0.730090836934474,0.5656698146204967,0.8486160304342123,0.6788393934624062,0.8142771096908955,0.5239605705061623,"{""model__max_depth"": 14, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts\models\ExtraTrees__smote__gridsearch_best.joblib
ExtraTrees,smote_class_weight,True,smote,30,30,0.6817912695215462,0.8164951995300196,0.730090836934474,0.5656698146204967,0.8486160304342123,0.6788393934624062,0.8142771096908955,0.5239605705061622,"{""model__max_depth"": 14, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts\models\ExtraTrees__smote_class_weight__gridsearch_best.joblib
