feature,mean_abs_shap
age,0.238971916182818
sex,0.04067714957853459
smoking_level,0.008883110992747236
fg27,0.008584465410045119
alcohol_level,0.006775352841868742
fg12,0.005636779561230581
fg5,0.005079298763859996
fg6,0.004923600490757403
fg3,0.002921379243634704
fg25,0.0028603966199798
fg7,0.002803907205829545
fg20,0.002287555771001774
Total_Iron,0.0022731821518124995
Total_Energy,0.0021686578479456708
fg16,0.0021075670749311696
fg9,0.0020032594241825574
fg4,0.0019517201654308239
fg19,0.0019516684249778666
fg15,0.0019481696225044068
fg21,0.0018512970690019999
fg23,0.0017814820706003336
fg13,0.0015842402566316719
Total_Niacin,0.0015272020176839128
Total_VitaminC,0.001492727143588173
fg26,0.001451860476878276
fg11,0.0014422882639280445
fg10,0.001421063115412235
fg17,0.0013804634459780487
fg24,0.00132279942325029
fg8,0.0013145070488128705
fg1,0.0013084037201566436
Total_Riboflavin,0.0012846591682273095
Total_VitaminA,0.0012563338823664743
Total_CHO,0.0012257589903699423
fg2,0.001217203734847789
fg14,0.0011454594956253898
fg18,0.0011107052882964243
Total_Calcium,0.0009241381274383511
Total_FoodIntake,0.0008928068008702101
Total_Fat,0.0008194703380009213
Total_Thiamin,0.0007195989672166489
Total_Protein,0.0005580955554824283
