feature,mean_abs_shap
age,0.23858821666807994
sex,0.040399515764521186
smoking_level,0.008953027536371635
fg27,0.008621886840822395
alcohol_level,0.006936088657313048
fg12,0.0054267316974936945
fg6,0.005126188293639261
fg5,0.004877716761317751
fg3,0.0029863526264361628
fg7,0.0028061613210012552
fg25,0.0027739967209852506
Total_Iron,0.002514429322568552
fg20,0.002312191251074146
Total_Energy,0.0022534340968733916
fg16,0.0021526002747161996
fg9,0.0020842309822105875
fg19,0.0020149412640944313
fg4,0.002014718910609548
fg21,0.001931269751404173
fg15,0.0018109738470943894
fg23,0.001677845182296019
Total_VitaminC,0.0016294044703211489
fg10,0.0015580574107325017
fg13,0.0015268200643453098
fg17,0.0015142020143533745
fg26,0.00142210312850436
Total_Niacin,0.001416930901332858
Total_VitaminA,0.0014168454867796514
fg24,0.0014126149090172332
fg8,0.0013645639818417044
fg11,0.001359274401956222
Total_CHO,0.0013490843046078103
Total_Riboflavin,0.0012879535711072241
fg18,0.0012531980474122255
fg1,0.0012095715529950705
fg2,0.001203899710176675
fg14,0.0011395890285870018
Total_Calcium,0.0010220185177041313
Total_FoodIntake,0.0009033954589873266
Total_Fat,0.000824138870252759
Total_Protein,0.0006900426482646793
Total_Thiamin,0.0006413533784891738
