config_key,model_name,sampling,rank,class_weight_applied,params,cv_f1,cv_auc,cv_accuracy,cv_precision,cv_recall,cal_f1,cal_auc,cal_accuracy,cal_precision,cal_recall,model_path
NaiveBayes__baseline,NaiveBayes,baseline,1,False,"{""model__var_smoothing"": 1e-07}",0.6469376103621757,0.7285286624284197,0.6646540555551476,0.653554233703611,0.6405259097456542,0.6441621467313731,0.7261589504741162,0.6615071283095723,0.649726461272675,0.6386923294650438,models_knn_2015\NaiveBayes__baseline_rank1.joblib
NaiveBayes__baseline,NaiveBayes,baseline,2,False,"{""model__var_smoothing"": 1e-08}",0.6469376103621757,0.7285284843527084,0.6646540555551476,0.653554233703611,0.6405259097456542,0.6441621467313731,0.7261588581445328,0.6615071283095723,0.649726461272675,0.6386923294650438,models_knn_2015\NaiveBayes__baseline_rank2.joblib
NaiveBayes__baseline,NaiveBayes,baseline,3,False,"{""model__var_smoothing"": 1e-09}",0.6469376103621757,0.7285284843521157,0.6646540555551476,0.653554233703611,0.6405259097456542,0.6441621467313731,0.7261588396786163,0.6615071283095723,0.649726461272675,0.6386923294650438,models_knn_2015\NaiveBayes__baseline_rank3.joblib
NaiveBayes__class_weight,NaiveBayes,class_weight,1,False,"{""model__var_smoothing"": 1e-07}",0.6469376103621757,0.7285286624284197,0.6646540555551476,0.653554233703611,0.6405259097456542,0.6441621467313731,0.7261589504741162,0.6615071283095723,0.649726461272675,0.6386923294650438,models_knn_2015\NaiveBayes__class_weight_rank1.joblib
NaiveBayes__class_weight,NaiveBayes,class_weight,2,False,"{""model__var_smoothing"": 1e-08}",0.6469376103621757,0.7285284843527084,0.6646540555551476,0.653554233703611,0.6405259097456542,0.6441621467313731,0.7261588581445328,0.6615071283095723,0.649726461272675,0.6386923294650438,models_knn_2015\NaiveBayes__class_weight_rank2.joblib
NaiveBayes__class_weight,NaiveBayes,class_weight,3,False,"{""model__var_smoothing"": 1e-09}",0.6469376103621757,0.7285284843521157,0.6646540555551476,0.653554233703611,0.6405259097456542,0.6441621467313731,0.7261588396786163,0.6615071283095723,0.649726461272675,0.6386923294650438,models_knn_2015\NaiveBayes__class_weight_rank3.joblib
NaiveBayes__smote,NaiveBayes,smote,1,False,"{""model__var_smoothing"": 1e-07}",0.6558719727210067,0.7308263098781994,0.6679128044843978,0.6521190538712445,0.6597519759488486,0.6520064430282233,0.7283252979512582,0.6626612355736592,0.6453625398585887,0.6587885649589584,models_knn_2015\NaiveBayes__smote_rank1.joblib
NaiveBayes__smote,NaiveBayes,smote,2,False,"{""model__var_smoothing"": 1e-08}",0.6558719727210067,0.7308261190839273,0.6679128044843978,0.6521190538712445,0.6597519759488486,0.6520064430282233,0.7283251317580084,0.6626612355736592,0.6453625398585887,0.6587885649589584,models_knn_2015\NaiveBayes__smote_rank2.joblib
NaiveBayes__smote,NaiveBayes,smote,3,False,"{""model__var_smoothing"": 1e-09}",0.6558719727210067,0.7308260936450696,0.6679128044843978,0.6521190538712445,0.6597519759488486,0.6520064430282233,0.7283250948261751,0.6626612355736592,0.6453625398585887,0.6587885649589584,models_knn_2015\NaiveBayes__smote_rank3.joblib
NaiveBayes__adasyn,NaiveBayes,adasyn,1,False,"{""model__var_smoothing"": 1e-07}",0.6551201336381892,0.7305094118322111,0.6674618118071582,0.6519002287006126,0.6584480175225089,0.6506311360448808,0.7278843872595221,0.6617786829599457,0.6448429246594384,0.6565242003962638,models_knn_2015\NaiveBayes__adasyn_rank1.joblib
NaiveBayes__adasyn,NaiveBayes,adasyn,2,False,"{""model__var_smoothing"": 1e-08}",0.6551201336381892,0.7305092337602567,0.6674618118071582,0.6519002287006126,0.6584480175225089,0.6506311360448808,0.7278841841344389,0.6617786829599457,0.6448429246594384,0.6565242003962638,models_knn_2015\NaiveBayes__adasyn_rank2.joblib
NaiveBayes__adasyn,NaiveBayes,adasyn,3,False,"{""model__var_smoothing"": 1e-09}",0.6551201336381892,0.7305092083225845,0.6674618118071582,0.6519002287006126,0.6584480175225089,0.6506311360448808,0.7278841841344389,0.6617786829599457,0.6448429246594384,0.6565242003962638,models_knn_2015\NaiveBayes__adasyn_rank3.joblib
NaiveBayes__smote_class_weight,NaiveBayes,smote_class_weight,1,False,"{""model__var_smoothing"": 1e-07}",0.6558719727210067,0.7308263098781994,0.6679128044843978,0.6521190538712445,0.6597519759488486,0.6520064430282233,0.7283252979512582,0.6626612355736592,0.6453625398585887,0.6587885649589584,models_knn_2015\NaiveBayes__smote_class_weight_rank1.joblib
NaiveBayes__smote_class_weight,NaiveBayes,smote_class_weight,2,False,"{""model__var_smoothing"": 1e-08}",0.6558719727210067,0.7308261190839273,0.6679128044843978,0.6521190538712445,0.6597519759488486,0.6520064430282233,0.7283251317580084,0.6626612355736592,0.6453625398585887,0.6587885649589584,models_knn_2015\NaiveBayes__smote_class_weight_rank2.joblib
NaiveBayes__smote_class_weight,NaiveBayes,smote_class_weight,3,False,"{""model__var_smoothing"": 1e-09}",0.6558719727210067,0.7308260936450696,0.6679128044843978,0.6521190538712445,0.6597519759488486,0.6520064430282233,0.7283250948261751,0.6626612355736592,0.6453625398585887,0.6587885649589584,models_knn_2015\NaiveBayes__smote_class_weight_rank3.joblib
NaiveBayes__adasyn_class_weight,NaiveBayes,adasyn_class_weight,1,False,"{""model__var_smoothing"": 1e-07}",0.6551201336381892,0.7305094118322111,0.6674618118071582,0.6519002287006126,0.6584480175225089,0.6506311360448808,0.7278843872595221,0.6617786829599457,0.6448429246594384,0.6565242003962638,models_knn_2015\NaiveBayes__adasyn_class_weight_rank1.joblib
NaiveBayes__adasyn_class_weight,NaiveBayes,adasyn_class_weight,2,False,"{""model__var_smoothing"": 1e-08}",0.6551201336381892,0.7305092337602567,0.6674618118071582,0.6519002287006126,0.6584480175225089,0.6506311360448808,0.7278841841344389,0.6617786829599457,0.6448429246594384,0.6565242003962638,models_knn_2015\NaiveBayes__adasyn_class_weight_rank2.joblib
NaiveBayes__adasyn_class_weight,NaiveBayes,adasyn_class_weight,3,False,"{""model__var_smoothing"": 1e-09}",0.6551201336381892,0.7305092083225845,0.6674618118071582,0.6519002287006126,0.6584480175225089,0.6506311360448808,0.7278841841344389,0.6617786829599457,0.6448429246594384,0.6565242003962638,models_knn_2015\NaiveBayes__adasyn_class_weight_rank3.joblib
kNN__baseline,kNN,baseline,1,False,"{""model__metric"": ""euclidean"", ""model__n_neighbors"": 15, ""model__weights"": ""distance""}",0.6585011871108133,0.733381761350031,0.6671708773278203,0.6484379591431789,0.6689103971391672,0.6512307050479766,0.7280940400441528,0.6594704684317719,0.6401038819026791,0.662751202943674,models_knn_2015\kNN__baseline_rank1.joblib
kNN__baseline,kNN,baseline,2,False,"{""model__metric"": ""manhattan"", ""model__n_neighbors"": 15, ""model__weights"": ""uniform""}",0.6583569335749385,0.7336102570544998,0.6671563181166683,0.648502671072842,0.6685463333626049,0.6565769284419026,0.7312936848190075,0.6657162253903598,0.6472772277227723,0.6661477497877158,models_knn_2015\kNN__baseline_rank2.joblib
kNN__baseline,kNN,baseline,3,False,"{""model__metric"": ""manhattan"", ""model__n_neighbors"": 15, ""model__weights"": ""distance""}",0.6579204662632488,0.7332966176818728,0.666399837040119,0.6474602064068625,0.6687586567731678,0.653746950156849,0.729277225187274,0.6627970128988458,0.6441818931171864,0.6636003396546845,models_knn_2015\kNN__baseline_rank3.joblib
kNN__class_weight,kNN,class_weight,1,False,"{""model__metric"": ""euclidean"", ""model__n_neighbors"": 15, ""model__weights"": ""distance""}",0.6585011871108133,0.733381761350031,0.6671708773278203,0.6484379591431789,0.6689103971391672,0.6512307050479766,0.7280940400441528,0.6594704684317719,0.6401038819026791,0.662751202943674,models_knn_2015\kNN__class_weight_rank1.joblib
kNN__class_weight,kNN,class_weight,2,False,"{""model__metric"": ""manhattan"", ""model__n_neighbors"": 15, ""model__weights"": ""uniform""}",0.6583569335749385,0.7336102570544998,0.6671563181166683,0.648502671072842,0.6685463333626049,0.6565769284419026,0.7312936848190075,0.6657162253903598,0.6472772277227723,0.6661477497877158,models_knn_2015\kNN__class_weight_rank2.joblib
kNN__class_weight,kNN,class_weight,3,False,"{""model__metric"": ""manhattan"", ""model__n_neighbors"": 15, ""model__weights"": ""distance""}",0.6579204662632488,0.7332966176818728,0.666399837040119,0.6474602064068625,0.6687586567731678,0.653746950156849,0.729277225187274,0.6627970128988458,0.6441818931171864,0.6636003396546845,models_knn_2015\kNN__class_weight_rank3.joblib
kNN__smote,kNN,smote,1,False,"{""model__metric"": ""euclidean"", ""model__n_neighbors"": 15, ""model__weights"": ""distance""}",0.6705864982641068,0.7310116077452219,0.6668071817145111,0.637800275249701,0.7069682868887845,0.6656879754437475,0.7263603212951314,0.659877800407332,0.6297979797979798,0.7059156524200396,models_knn_2015\kNN__smote_rank1.joblib
kNN__smote,kNN,smote,2,False,"{""model__metric"": ""manhattan"", ""model__n_neighbors"": 15, ""model__weights"": ""uniform""}",0.6701861923716177,0.7322586275219519,0.667083643758051,0.6385785503872162,0.7051184281971155,0.6676533907427341,0.7301037688492691,0.6646300067888663,0.6363170043600923,0.7022360600056609,models_knn_2015\kNN__smote_rank2.joblib
kNN__smote,kNN,smote,3,False,"{""model__metric"": ""euclidean"", ""model__n_neighbors"": 15, ""model__weights"": ""uniform""}",0.6700694739880209,0.7307041222024231,0.6661525304571437,0.6370815555771406,0.706695394226565,0.6665332532853045,0.7269539266516063,0.6606245756958588,0.630410094637224,0.7070478347013869,models_knn_2015\kNN__smote_rank3.joblib
kNN__adasyn,kNN,adasyn,1,False,"{""model__metric"": ""euclidean"", ""model__n_neighbors"": 15, ""model__weights"": ""distance""}",0.670949861333256,0.7313760875029329,0.6673018583746227,0.6383790577752448,0.707059389038593,0.6640316205533597,0.724913055078068,0.6595383570943653,0.6304541406945681,0.7013869232946505,models_knn_2015\kNN__adasyn_rank1.joblib
kNN__adasyn,kNN,adasyn,2,False,"{""model__metric"": ""euclidean"", ""model__n_neighbors"": 15, ""model__weights"": ""uniform""}",0.6703738237642675,0.7311284104001717,0.6666035633473519,0.6376251747273807,0.7066955183627268,0.6639892904953146,0.7251267795973189,0.6591989137813985,0.6299212598425197,0.7019530144353241,models_knn_2015\kNN__adasyn_rank2.joblib
