feature_1,feature_2,correlation,abs_correlation
Total_Energy,Total_CHO,0.9450340278769307,0.9450340278769307
Total_Niacin,Total_Protein,0.9077194656473431,0.9077194656473431
chol,ldl,0.8948498891654907,0.8948498891654907
Total_Energy,Total_Protein,0.8695683633188139,0.8695683633188139
waist,BMI,0.8554177585176026,0.8554177585176026
waist,hip,0.8504466251666676,0.8504466251666676
Total_Energy,Total_Niacin,0.8397028959330359,0.8397028959330359
hip,BMI,0.8325952647607536,0.8325952647607536
Total_Calcium,Total_Protein,0.8020063614118285,0.8020063614118285
Total_Protein,Total_Riboflavin,0.7808566226746088,0.7808566226746088
Total_Calcium,Total_Riboflavin,0.7647522570808254,0.7647522570808254
Total_Energy,Total_Calcium,0.7596432836394864,0.7596432836394864
Total_Calcium,Total_Niacin,0.7541938576177293,0.7541938576177293
Total_CHO,Total_Niacin,0.7507461211384403,0.7507461211384403
Total_Riboflavin,Total_VitaminA,0.7471480800875127,0.7471480800875127
Total_CHO,Total_Protein,0.744965979319733,0.744965979319733
Total_Energy,Total_Thiamin,0.7348667372048554,0.7348667372048554
Total_Niacin,Total_Riboflavin,0.7258581657333179,0.7258581657333179
Total_Niacin,Total_Thiamin,0.7162599459305098,0.7162599459305098
Total_Protein,Total_Thiamin,0.7132158584735746,0.7132158584735746
Total_Riboflavin,Total_Thiamin,0.7056066556165171,0.7056066556165171
