feature,importance_mean,importance_std
smoke_status,0.03650817977515049,0.0018802578652406781
ever_smk,0.033415003508215545,0.0008861502465496577
alcohol,0.03112673088384342,0.0008914370258034704
alcohol_status,0.026463567106164626,0.0008077248761394743
fwgti_prov2,0.01467356087875199,0.0014689651663068956
fwgti_prov,0.014019510359680694,0.0009121896464844539
drnk_30days,0.013878921594579617,0.0005037759316686559
drnk_30d_num,0.012742387524895177,0.0010301069750474625
fbs,0.011466563084972271,0.0024182674738155744
Total_Prot,0.009946798863779811,0.001338533936766008
binge_drink,0.009581548873670145,0.0004405044043979231
pa_met,0.008422492792368709,0.0009804753394236623
fwgti_natl2_var,0.006845806898480716,0.0011447197593195664
fg15,0.005363182632587976,0.0010835192755901308
Total_Thia,0.005212703990477872,0.001004512461497196
Total_Fat,0.00509201593996457,0.0006679714676595375
tri,0.005059301843489128,0.000805162839683086
con_alcohol,0.004668781434724663,0.00040842689756964945
Total_VitC,0.004623831722847319,0.001056984159148709
fg4,0.0036888795220713505,0.0005915414919482257
fg7,0.0035375216633229956,0.0005735757038153813
Total_Nia,0.0035252892975125225,0.0011557254736870297
fg26,0.0029445529955124047,0.0006195280121682372
fg25,0.0028888416308609777,0.0010528064820194115
hdl,0.0025949703325417045,0.0014164336772595541
fg3,0.0025816204390794115,0.0009059191347954006
epwt_fg15,0.002349478565728015,0.0003409137291911843
epwt_fg8,0.0023096006348221204,0.0007394013379489888
chol,0.0022650005067389664,0.0011173104119133613
epwt_fg7,0.0022420031989264302,0.00043840312499574474
epwt_fg18,0.0020973372937509033,0.0007500350814324681
fg17,0.002027783111011032,0.0006495954357665363
fg18,0.002020319499539125,0.0009369182623145014
fg16,0.0016941930686676376,0.0008860601983010055
epwt_fg23,0.001679619544917188,0.000872797799183954
Total_Iron,0.0014580084685993644,0.0009305600043664892
fg5,0.0012009099605635731,0.0006529726879144802
epwt_fg24,0.00106939946028195,0.00035753776843292396
Total_VitA,0.0009954538434056581,0.0005870644022974109
fg27,0.0009754386572273371,0.0005136070381610774
epwt_fg6,0.0009308830148791192,0.0005917054242571716
epwt_fg3,0.0009151367721960679,0.0003030698170237978
epwt_fg26,0.0008007613841736691,0.0005342989559918541
epwt_fg25,0.0007931812529277313,0.0006621107538426615
fg13,0.0007810313991625517,0.00031624545767518203
ldl,0.0005682561929441846,0.0011227716256339841
epwt_fg20,0.0005600972149946773,0.00034353057123337656
fg19,0.000475667941418359,0.0010581206391953209
fg23,0.0004163581956270618,0.001030597408523858
Total_Ribo,0.00041085406708944727,0.0008600675089327723
fg24,0.00036896071312898793,0.00041344111827916957
epwt_fg19,0.0003662826445554185,0.0008075184007911966
epwt_fg5,0.00018689909425802925,0.00029485336759045686
fg6,0.00013984607860915294,0.0003360855221364797
epwt_fg27,0.0001067280700895526,0.00030973820120379093
fg20,9.072653215119048e-05,0.000559030462767677
Total_Food_epwt,8.04056377750953e-05,0.001190034570043139
epwt_fg21,7.686168054613779e-05,0.0003121444693921025
epwt_fg9,-5.092279215952733e-05,0.0006474727537206055
epwt_fg14,-0.0001636725955617424,0.000575423078817484
epwt_fg11,-0.00017658674712016376,0.0006107003581773907
fwgti_natl_var,-0.0003137615689883591,0.0014701168276786767
fg14,-0.0006041187275565019,0.0005077716356923307
fg9,-0.0006621283971265171,0.0004730636446475651
epwt_fg16,-0.000724183937980856,0.0009283734509685469
epwt_fg13,-0.0007733142937704149,0.0002011898831636822
epwt_fg2,-0.0008964342986457832,0.0003972781580601183
fg21,-0.0009057694945715372,0.0004011478955825032
epwt_fg4,-0.0009433368753100982,0.0006960403494913584
epwt_fg17,-0.0009537536256550433,0.0007370984416375351
epwt_fg10,-0.0012326438880820717,0.0010726581146074249
fg12,-0.0016407402895423154,0.0003414323485851131
fg10,-0.001645480704810763,0.0006429057333141286
epwt_fg12,-0.002265321689975369,0.0007330098937633154
currentsmoking,-0.002336202682494022,0.00046011870954218204
fg11,-0.003065253359911216,0.00048178242126620035
Total_Calc,-0.0033950866970739804,0.0011734000709145269
fg8,-0.0037605427994203203,0.000682636100485014
Total_Food,-0.0037930822260462335,0.00040907043485577144
fg1,-0.004168859994056362,0.000987978609364708
epwt_fg1,-0.004505214286680395,0.0006115585046909881
fg2,-0.004562765210336266,0.0005866476289724687
Total_Ener,-0.005804887046604305,0.0006148778204759487
Total_CHO,-0.009243140947669773,0.001269500355237767
