iter	Recall	Logloss
0	0.8548539114	0.6855836424
1	0.8589139419	0.6771172653
2	0.8721815414	0.6687664479
3	0.870804031	0.6617389722
4	0.8720365403	0.6543365233
5	0.8669615022	0.6483678235
6	0.870804031	0.6421491564
7	0.8660189951	0.6359186032
8	0.8694265207	0.630236466
9	0.8668165011	0.6246147101
10	0.8653664902	0.6194328097
11	0.8675415066	0.6135114201
12	0.8658739941	0.6088448718
13	0.8656564924	0.6033276115
14	0.8701515261	0.5980280222
15	0.8683390125	0.5934324917
16	0.8694990212	0.5892660646
17	0.8696440223	0.5851076856
18	0.869064018	0.5810509273
19	0.8694265207	0.5771861993
20	0.8686290147	0.5735617574
21	0.8705140289	0.5692740851
22	0.8704415283	0.5661172714
23	0.869861524	0.5629373822
24	0.8692815196	0.559931243
25	0.869861524	0.5568735441
26	0.8694990212	0.5540134724
27	0.8692090191	0.5507971104
28	0.8695715218	0.5479132356
29	0.8688465163	0.5454855561
30	0.8693540202	0.54239363
31	0.8689190169	0.5399999214
32	0.8686290147	0.5374659077
33	0.8687740158	0.5351192912
34	0.8679765098	0.5331511011
35	0.8686290147	0.5310713118
36	0.8694265207	0.5286967873
37	0.8696440223	0.5265637842
38	0.8695715218	0.5243000125
39	0.869861524	0.5222625894
40	0.8697165229	0.520616412
41	0.8702240267	0.5185025086
42	0.8700790256	0.5169221244
43	0.8703690278	0.5150949992
44	0.869861524	0.5132811537
45	0.869861524	0.5118396016
46	0.8702240267	0.5105379213
47	0.8701515261	0.508996637
48	0.8696440223	0.5077494858
49	0.869064018	0.5066309324
50	0.8689915174	0.505132381
51	0.8691365185	0.5040109964
52	0.8692090191	0.5028177206
53	0.8685565142	0.5017383256
54	0.8684840136	0.5005816837
55	0.8687740158	0.4994430379
56	0.8691365185	0.498255378
57	0.8681215109	0.4974092617
58	0.8681940115	0.496272412
59	0.8679765098	0.4954221106
60	0.868266512	0.49420708
61	0.8684840136	0.4933624971
62	0.868266512	0.4924117832
63	0.8687015153	0.4914318056
64	0.8692815196	0.4903797077
65	0.8691365185	0.4893125241
66	0.8692090191	0.4885018547
67	0.8689190169	0.4877873325
68	0.8688465163	0.4870136873
69	0.8686290147	0.4863240222
70	0.8684840136	0.4857440614
71	0.868266512	0.4851489299
72	0.8683390125	0.4845503026
73	0.8688465163	0.4837703877
74	0.8687015153	0.4830550561
75	0.8686290147	0.4822782876
76	0.8685565142	0.4816215643
77	0.8685565142	0.4811603538
78	0.8683390125	0.4807252484
79	0.8681940115	0.4802761756
80	0.8684115131	0.4796429185
81	0.8685565142	0.4790096562
82	0.8687015153	0.47858528
83	0.8687015153	0.4780458854
84	0.8688465163	0.4773978105
85	0.8692090191	0.4768099861
86	0.8689190169	0.476372546
87	0.8691365185	0.4760613274
88	0.8691365185	0.4754804156
89	0.8692815196	0.4751829856
90	0.8686290147	0.4748814415
91	0.869064018	0.4745024887
92	0.8693540202	0.4741227067
93	0.8694990212	0.4738166476
94	0.8696440223	0.473306973
95	0.8695715218	0.4729136833
96	0.8693540202	0.4726261687
97	0.8694990212	0.4723510936
98	0.8699340245	0.4720586476
99	0.8702965272	0.4717442143
100	0.8700790256	0.4714683569
101	0.8700790256	0.4712224314
102	0.8702240267	0.4709149476
103	0.8700790256	0.470554387
104	0.8702240267	0.4701180944
105	0.8702240267	0.4699091716
106	0.869861524	0.469613884
107	0.8704415283	0.4692488859
108	0.8702965272	0.4689744788
109	0.8703690278	0.468658615
110	0.8706590299	0.4683375049
111	0.8705140289	0.4681371221
112	0.8706590299	0.4678423259
113	0.8706590299	0.4675713011
114	0.8704415283	0.4674236555
115	0.8704415283	0.4671337102
116	0.8704415283	0.467013543
117	0.8702240267	0.4667887393
118	0.8696440223	0.4666262241
119	0.8697165229	0.4664660643
120	0.8697165229	0.4662200147
121	0.869861524	0.4660061487
122	0.869861524	0.4657874971
123	0.8702965272	0.4655416779
124	0.8704415283	0.4653289008
125	0.8709490321	0.4650918909
126	0.8705865294	0.4649320263
127	0.8702240267	0.4647934535
128	0.8702965272	0.4646377143
129	0.870006525	0.4644874954
130	0.869861524	0.4643245321
131	0.8701515261	0.4641215973
132	0.8700790256	0.4639107933
133	0.8702240267	0.4637527177
134	0.8702240267	0.4635812448
135	0.8705140289	0.4633906431
136	0.8705865294	0.4632411285
137	0.8707315305	0.4631311547
138	0.870804031	0.4629565856
139	0.870804031	0.4628104697
140	0.8705865294	0.4626984667
141	0.8700790256	0.4625653907
142	0.8700790256	0.4624091652
143	0.870006525	0.4622438611
144	0.8697890234	0.4621594653
145	0.8697165229	0.4620409266
146	0.8697165229	0.4619275142
147	0.8697890234	0.4617860235
148	0.869861524	0.4616772551
149	0.8694990212	0.4615635305
150	0.8696440223	0.4614104523
151	0.8695715218	0.4613080654
152	0.8697890234	0.4611683306
153	0.869861524	0.4610433563
154	0.8697890234	0.4609202416
155	0.8697165229	0.4608487194
156	0.8697165229	0.4607598062
157	0.8696440223	0.4606716037
158	0.869861524	0.4605888683
159	0.869861524	0.4604499135
160	0.8696440223	0.4603771881
161	0.8696440223	0.4602985088
162	0.8697165229	0.4602150494
163	0.869861524	0.4601414759
164	0.8699340245	0.4600839865
165	0.869861524	0.4599698744
166	0.8700790256	0.4598561545
167	0.8701515261	0.4597634587
168	0.870006525	0.4597216142
169	0.8699340245	0.4596788601
170	0.870006525	0.4595988671
171	0.8701515261	0.4595245671
172	0.870006525	0.4594704806
173	0.8700790256	0.4594035354
174	0.8702965272	0.4593505322
175	0.8703690278	0.4592731576
176	0.8705140289	0.4592061967
177	0.8706590299	0.4591239654
178	0.870804031	0.4590791627
179	0.870804031	0.4589852246
180	0.8708765316	0.4589073792
181	0.870804031	0.4588469598
182	0.8707315305	0.4587971063
183	0.8710940332	0.458687049
184	0.870804031	0.4586398206
185	0.8706590299	0.458586736
186	0.8708765316	0.4584944128
187	0.8705865294	0.4584448199
188	0.8705865294	0.4584015545
189	0.8705140289	0.4583551168
190	0.8706590299	0.4582770818
191	0.8707315305	0.4582291216
192	0.8707315305	0.4581601926
193	0.870804031	0.4580769932
194	0.870804031	0.4580109845
195	0.8709490321	0.4579338894
196	0.8710215327	0.4578866174
197	0.8710215327	0.4578470816
198	0.8709490321	0.4578008259
199	0.8708765316	0.4577581086
200	0.870804031	0.4577011691
201	0.8709490321	0.4576431771
202	0.870804031	0.4576035206
203	0.8706590299	0.4575519308
204	0.8704415283	0.4575157282
205	0.8705865294	0.4574802264
206	0.8706590299	0.4574533105
207	0.8707315305	0.4573935342
208	0.8707315305	0.4573580699
209	0.8704415283	0.4573151217
210	0.8705140289	0.4572611832
211	0.8702965272	0.4572168766
212	0.8703690278	0.4571937389
213	0.8704415283	0.4571197666
214	0.8702965272	0.457083965
215	0.8703690278	0.4570243364
216	0.8702965272	0.4569766716
217	0.8699340245	0.4569436339
218	0.870006525	0.4568814292
219	0.8699340245	0.4568515346
220	0.8699340245	0.4568290438
221	0.869861524	0.4567893044
222	0.869861524	0.456762798
223	0.8699340245	0.4567404739
224	0.8699340245	0.4567157082
225	0.8700790256	0.4566583312
226	0.870006525	0.4566316964
227	0.870006525	0.4565767992
228	0.8699340245	0.4565482981
229	0.870006525	0.4565201796
230	0.8697165229	0.4564910989
231	0.8695715218	0.4564639099
232	0.8695715218	0.4564217976
233	0.8695715218	0.4563719052
234	0.8696440223	0.4563500487
235	0.8697165229	0.4563219798
236	0.8697165229	0.4562971831
237	0.8697165229	0.4562764786
238	0.8697165229	0.4562143652
239	0.869861524	0.4561670574
240	0.8697890234	0.4561451376
241	0.8697165229	0.4561110837
242	0.8694990212	0.4560800446
243	0.8697165229	0.4560324001
244	0.8696440223	0.4560076801
245	0.8697890234	0.4559849892
246	0.8699340245	0.4559644368
247	0.869861524	0.4559340437
248	0.869861524	0.4559062983
249	0.8697890234	0.455872353
250	0.8697890234	0.4558538788
251	0.869861524	0.4558046085
252	0.8696440223	0.4557553847
253	0.8697165229	0.4557350788
254	0.8697890234	0.4556888394
255	0.8699340245	0.4556667923
256	0.870006525	0.4556447196
257	0.870006525	0.4556236444
258	0.8700790256	0.4556025966
259	0.8700790256	0.4555590244
260	0.870006525	0.455533907
261	0.870006525	0.4555138421
262	0.870006525	0.4554913575
263	0.870006525	0.4554616192
264	0.8700790256	0.4554361109
265	0.8701515261	0.4554147254
266	0.8702240267	0.4553788213
267	0.8701515261	0.4553646756
268	0.8702965272	0.4553330231
269	0.8701515261	0.4553126612
270	0.8701515261	0.4552912689
271	0.870006525	0.455267895
272	0.870006525	0.4552479049
273	0.8697890234	0.4552273977
274	0.869861524	0.4551875468
275	0.869861524	0.4551704631
276	0.8699340245	0.4551252956
277	0.8699340245	0.4550974773
278	0.870006525	0.4550749524
279	0.8699340245	0.4550370214
280	0.8699340245	0.4550186799
281	0.870006525	0.4549809294
282	0.870006525	0.4549523824
283	0.870006525	0.4549363271
284	0.870006525	0.4549162689
285	0.870006525	0.4548698585
286	0.870006525	0.4548302449
287	0.8700790256	0.4548098202
288	0.8700790256	0.4547924793
289	0.8701515261	0.4547432132
290	0.8702240267	0.454721383
291	0.8701515261	0.4547013243
292	0.8700790256	0.4546800977
293	0.8702240267	0.4546326644
294	0.8702240267	0.4546075816
295	0.8702965272	0.4545866202
296	0.8702965272	0.4545646979
297	0.8700790256	0.4545410132
298	0.8700790256	0.4545183081
299	0.8700790256	0.4544847936
300	0.8699340245	0.454465278
301	0.8700790256	0.4544435445
302	0.8700790256	0.4544233486
303	0.8699340245	0.4544030553
304	0.869861524	0.4543868346
305	0.8697165229	0.454368408
306	0.8697890234	0.4543373787
307	0.8699340245	0.4543171035
308	0.869861524	0.4542995678
309	0.870006525	0.4542692812
310	0.869861524	0.4542490777
311	0.8699340245	0.4542240149
312	0.8697890234	0.4542024731
313	0.8697890234	0.4541863406
314	0.869861524	0.4541672783
