iter	Passed	Remaining
0	60	64971
1	71	38402
2	82	29545
3	92	24938
4	101	21950
5	165	29675
6	175	26909
7	184	24806
8	194	23163
9	202	21686
10	264	25742
11	271	24244
12	278	22940
13	285	21824
14	293	20919
15	300	20060
16	361	22671
17	369	21838
18	376	21090
19	384	20426
20	391	19806
21	399	19256
22	461	21248
23	468	20692
24	476	20155
25	483	19671
26	491	19219
27	498	18796
28	560	20355
29	567	19919
30	575	19518
31	582	19139
32	590	18773
33	598	18452
34	659	19752
35	667	19416
36	675	19085
37	682	18767
38	690	18473
39	697	18186
40	758	19277
41	765	18984
42	773	18706
43	780	18436
44	788	18180
45	795	17943
46	858	18918
47	866	18674
48	873	18432
49	880	18197
50	888	17973
51	895	17754
52	956	18586
53	963	18359
54	970	18137
55	977	17932
56	984	17724
57	991	17518
58	1051	18249
59	1058	18046
60	1065	17859
61	1072	17662
62	1079	17476
63	1086	17301
64	1093	17132
65	1154	17795
66	1161	17617
67	1168	17439
68	1175	17267
69	1181	17097
70	1188	16936
71	1198	16834
72	1254	17359
73	1261	17199
74	1268	17044
75	1275	16895
76	1281	16744
77	1288	16599
78	1349	17152
79	1357	17016
80	1364	16878
81	1371	16743
82	1378	16604
83	1384	16468
84	1391	16338
85	1451	16832
86	1458	16698
87	1464	16563
88	1471	16435
89	1478	16310
90	1485	16189
91	1547	16668
92	1554	16551
93	1562	16437
94	1569	16323
95	1576	16206
96	1582	16090
97	1589	15974
98	1650	16403
99	1656	16285
100	1663	16170
101	1669	16058
102	1675	15946
103	1682	15839
104	1743	16238
105	1749	16127
106	1756	16024
107	1764	15927
108	1771	15826
109	1778	15728
110	1785	15634
111	1847	16013
112	1854	15915
113	1860	15815
114	1867	15716
115	1873	15621
116	1880	15527
117	1941	15874
118	1947	15776
119	1954	15684
120	1961	15596
121	1968	15504
122	1975	15419
123	1982	15335
124	2044	15665
125	2050	15577
126	2057	15488
127	2065	15407
128	2071	15322
129	2079	15240
130	2140	15555
131	2147	15473
132	2155	15393
133	2162	15312
134	2169	15232
135	2176	15154
136	2183	15076
137	2244	15369
138	2251	15292
139	2258	15210
140	2264	15129
141	2271	15051
142	2278	14974
143	2339	15258
144	2347	15184
145	2354	15111
146	2361	15034
147	2368	14960
148	2375	14888
149	2382	14821
150	2441	15071
151	2449	15004
152	2457	14935
153	2464	14865
154	2471	14795
155	2478	14727
156	2539	14978
157	2545	14903
158	2552	14835
159	2559	14767
160	2566	14699
161	2573	14633
162	2634	14870
163	2641	14801
164	2647	14731
165	2655	14666
166	2662	14601
167	2669	14536
168	2675	14472
169	2735	14693
170	2742	14629
171	2749	14564
172	2756	14498
173	2762	14432
174	2769	14368
175	2776	14306
176	2836	14516
177	2842	14451
178	2849	14390
179	2856	14327
180	2863	14268
181	2870	14209
182	2932	14420
183	2939	14359
184	2946	14300
185	2953	14241
186	2960	14182
187	2967	14124
188	2974	14067
189	3036	14273
190	3043	14215
191	3050	14156
192	3057	14099
193	3064	14041
194	3071	13986
195	3130	14169
196	3137	14112
197	3144	14053
198	3151	13998
199	3158	13943
200	3165	13888
201	3171	13833
202	3232	14014
203	3238	13954
204	3245	13899
205	3252	13846
206	3259	13792
207	3266	13740
208	3329	13923
209	3336	13870
210	3343	13817
211	3350	13765
212	3357	13711
213	3363	13659
214	3370	13606
215	3430	13768
216	3437	13716
217	3443	13662
218	3449	13610
219	3456	13558
220	3462	13506
221	3468	13452
222	3529	13609
223	3535	13559
224	3542	13509
225	3548	13457
226	3555	13407
227	3562	13358
228	3569	13310
229	3629	13459
230	3636	13411
231	3642	13362
232	3649	13313
233	3655	13264
234	3662	13216
235	3724	13367
236	3731	13321
237	3738	13273
238	3745	13226
239	3752	13180
240	3759	13133
241	3765	13086
242	3824	13220
243	3831	13174
244	3838	13129
245	3844	13082
246	3851	13034
247	3857	12988
248	3864	12944
249	3927	13087
250	3934	13042
251	3941	12999
252	3948	12953
253	3955	12908
254	3962	12865
255	4024	13000
256	4031	12956
257	4038	12913
258	4045	12869
259	4051	12824
260	4058	12781
261	4064	12736
262	4125	12863
263	4132	12820
264	4138	12775
265	4145	12731
266	4151	12687
267	4158	12645
268	4164	12602
269	4225	12723
270	4232	12682
271	4238	12637
272	4245	12595
273	4252	12554
274	4258	12513
275	4318	12628
276	4326	12587
277	4333	12547
278	4339	12506
279	4346	12466
280	4353	12423
281	4359	12383
282	4420	12496
283	4427	12456
284	4434	12416
285	4441	12376
286	4447	12335
287	4454	12295
288	4460	12255
289	4521	12364
290	4528	12325
291	4535	12286
292	4542	12248
293	4549	12208
294	4555	12168
295	4618	12278
296	4624	12239
297	4631	12201
298	4638	12163
299	4645	12125
300	4652	12087
301	4714	12192
302	4722	12155
303	4728	12117
304	4735	12079
305	4742	12041
306	4749	12005
307	4756	11968
308	4815	12061
309	4822	12024
310	4829	11987
311	4835	11949
312	4842	11912
313	4848	11875
314	4855	11837
315	4916	11934
316	4923	11898
317	4930	11861
318	4937	11825
319	4944	11789
320	4951	11753
321	5014	11850
322	5020	11814
323	5027	11777
324	5034	11741
325	5041	11705
326	5047	11669
327	5054	11634
328	5116	11726
329	5123	11691
330	5130	11656
331	5136	11619
332	5143	11584
333	5150	11549
334	5212	11639
335	5219	11604
336	5226	11569
337	5232	11533
338	5239	11499
339	5246	11464
340	5252	11429
341	5312	11510
342	5319	11476
343	5326	11442
344	5332	11407
345	5339	11372
346	5346	11339
347	5352	11304
348	5412	11383
349	5419	11349
350	5425	11315
351	5432	11282
352	5438	11247
353	5444	11212
354	5451	11179
355	5512	11256
356	5519	11223
357	5525	11190
358	5532	11157
359	5539	11124
360	5544	11089
361	5551	11056
362	5612	11132
363	5618	11098
364	5624	11064
365	5631	11031
366	5637	10998
367	5643	10965
368	5706	11042
369	5713	11010
370	5719	10976
371	5725	10943
372	5732	10911
373	5738	10878
374	5744	10846
375	5750	10813
376	5810	10880
377	5816	10848
378	5822	10816
379	5829	10784
380	5835	10752
381	5841	10719
382	5847	10687
383	5908	10754
384	5915	10723
385	5921	10693
386	5929	10663
387	5935	10632
388	5941	10600
389	6002	10666
390	6009	10636
391	6016	10605
392	6023	10575
393	6029	10544
394	6036	10513
