feature,importance_mean,importance_std
age,0.09713863378776469,0.002042455361238745
weight,0.009903272895767912,0.0008318159082646866
vita,0.00496892061540255,0.0005882176483851424
risk_metabolic_proxy,0.003052303249369448,0.0005061700519426869
waist,0.002419842083394341,0.0003577809846104288
miss_ind__drnk_30d_num,0.0018969392555205466,0.0011109346726212695
csc,0.0017162993357328071,0.0002003547576323059
int_ratio__chol__tri,0.0014255008634130428,0.0004060103264040152
fbs,0.0013560793557387818,0.00018313552574702552
int_prod__fbs__tri,0.0008747100795838181,0.00019634504874524697
rhc,0.0007701691335975757,0.00028589513144035273
alcohol_status,0.0007114386970314302,0.00024038457867267473
uic,0.00046579210131991733,0.00036478592475822064
educ,0.0004649481655893517,0.0007759737595965694
risk_meta_x_lifestyle,0.0004294341193493478,0.0003694754540323605
int_prod__drnk_30d_num__chol,0.0003949051525517611,0.00033535877863600887
int_prod__chol__tri,0.00037790534408363994,0.0002273981524384368
fg18,0.00035526043122589,4.98222201316734e-05
haswork,0.00034238109751680843,0.000356588563864523
epwt_fg6,0.0003054094267325613,0.0003059598023693973
tri,0.0002788535533924774,0.00039047725823772913
smoke_status,0.0002511662115858293,0.0002301685247998789
fg7,0.00018707157392658936,0.00011921618139933749
epwt_fg18,0.00017830747958518244,0.0001394305613191095
fg6,0.0001482133028187338,0.0001995379123556754
epwt_fg5,0.00013508602732985596,0.00024480612649744736
int_prod__drnk_30d_num__tri,0.00010358336269902235,7.249869069653586e-05
epwt_fg27,8.828143178329917e-05,0.00010291514436519456
fg19,7.624567222659362e-05,9.661561861509385e-05
int_ratio__fbs__chol,7.291827377884364e-05,0.0002582795714689314
ethnicity,6.390199650445627e-05,8.766681393935619e-05
int_ratio__drnk_30d_num__tri,5.8563771978392684e-05,0.0002029272765660247
fg27,4.977712150382452e-05,6.64194258973109e-05
fg13,4.906720273367693e-05,7.624012534001224e-05
epwt_fg11,4.5890270843629286e-05,0.00031292352064858035
epwt_fg9,3.755517707546563e-05,0.00021860750365413305
epwt_fg4,3.0989093544930846e-05,7.048545208742107e-05
epwt_fg7,2.1399081786777074e-05,0.00021772539380480647
epwt_fg21,8.80341420674835e-06,3.9349604556731796e-05
anthro_group,0.0,0.0
mos_lactation,0.0,0.0
miss_ind__fg18,0.0,0.0
miss_ind__fg12,0.0,0.0
miss_ind__fg14,0.0,0.0
mos_preg,0.0,0.0
miss_ind__mos_lactation,0.0,0.0
miss_ind__mos_preg,0.0,0.0
miss_ind__fg13,0.0,0.0
fg23,-4.3004167425531035e-06,0.00013983486566126788
fg4,-6.062919319571592e-06,5.644982050676018e-05
fg11,-6.352079325488979e-06,6.127023329829502e-05
pa_met,-8.51112602440196e-06,3.312346709873383e-05
epwt_fg15,-1.773025991900212e-05,9.344428997075519e-05
fg5,-2.537349578286552e-05,0.00021923086236388766
miss_ind__hdl,-3.822531862363032e-05,0.0
fg17,-3.835993131424686e-05,0.0001757345645229746
epwt_fg3,-5.408776716397945e-05,5.826975943178716e-05
int_ratio__drnk_30d_num__chol,-6.288488507246725e-05,0.00015605081250868232
epwt_fg19,-6.680200477802157e-05,0.00010884767375065386
fg21,-7.516547767831838e-05,7.438201346696602e-05
epwt_fg13,-7.905225176980668e-05,7.46611330145585e-05
fg10,-8.720393424492823e-05,0.00030438503687332146
epwt_fg26,-0.0001021303980397903,4.63644754181589e-05
fg3,-0.00010863580072668632,7.927747491399147e-05
hip,-0.0001151435881957541,0.00034508791750550484
fg12,-0.00012316900786213392,7.635718180500424e-05
fg15,-0.0001270500851789702,0.00021743538962842662
int_ratio__fbs__tri,-0.00013589611578479488,0.00020610199668031644
epwt_fg17,-0.00014204428940409742,0.00019128908001555682
miss_ind__hemoglobin,-0.00014646663616237898,0.0001962137837500506
epwt_fg23,-0.0001486113927710475,0.0001289643104900604
fg26,-0.0001608037480808733,0.00015838449843991997
fg9,-0.0001835843188063402,0.00013141862887847055
Total_VitA,-0.00019265388680631546,8.265327041543127e-05
fg20,-0.0001932947841360999,0.00010003343712355835
epwt_fg20,-0.00020450659568158614,0.00017361303958806558
chol,-0.0002632096801773676,0.00010305745026065595
ldl,-0.0002651704923286591,0.00015205738202647758
fg24,-0.00027184390650267785,0.00011082703438812833
fg8,-0.00027616441497144704,0.00019029615697739482
epwt_fg12,-0.00030295908215114407,0.00010050504535765418
int_prod__fbs__chol,-0.0003058628637413241,0.00020865751290863161
epwt_fg16,-0.00031615729011886807,0.00014718644715506525
epwt_fg25,-0.00038784406326324293,0.00018464248411352018
fg16,-0.0004587297163731963,0.00025332237958837825
hdl,-0.0005882297713226015,0.00021655618242370298
epwt_fg10,-0.0006450408823019061,0.00023890911997429172
BMI,-0.000912855569441895,0.00042524904691767834
int_ratio__drnk_30d_num__fbs,-0.001127008813009267,0.00034249773138822465
int_prod__drnk_30d_num__fbs,-0.001724418860236243,0.00028672472627670466
