rank,sampling,model,calibration,accuracy,recall,precision,f1,auc,logloss,ece,combined
1,cw,catboost,base,0.751,0.8498,0.5901,0.6965,0.848,0.4831,0.102,0.8004
2,cw,lightgbm,base,0.7531,0.8439,0.5933,0.6967,0.8479,0.4828,0.1015,0.7985
3,cw,logreg,base,0.7526,0.8152,0.5966,0.689,0.8405,0.4972,0.1074,0.7839
4,smote,logreg,base,0.7533,0.8101,0.5982,0.6882,0.8406,0.496,0.1039,0.7817000000000001
5,smotenc,logreg,base,0.7533,0.8101,0.5982,0.6882,0.8406,0.496,0.1039,0.7817000000000001
6,smotecw,logreg,base,0.7533,0.8101,0.5982,0.6882,0.8406,0.496,0.1039,0.7817000000000001
7,smotencw,logreg,base,0.7533,0.8101,0.5982,0.6882,0.8406,0.496,0.1039,0.7817000000000001
8,smote,lightgbm,base,0.7714,0.7352,0.6391,0.6838,0.8467,0.4528,0.0308,0.7533
9,smotenc,lightgbm,base,0.7714,0.7352,0.6391,0.6838,0.8467,0.4528,0.0308,0.7533
10,smotenc,catboost,base,0.7707,0.7338,0.6382,0.6827,0.8468,0.4524,0.0295,0.7522500000000001
11,smotecw,catboost,base,0.7698,0.732,0.6372,0.6813,0.8471,0.4521,0.03,0.7509
12,smotecw,lightgbm,base,0.7705,0.731,0.6386,0.6817,0.8469,0.4522,0.0292,0.75075
13,smotencw,lightgbm,base,0.7705,0.731,0.6386,0.6817,0.8469,0.4522,0.0292,0.75075
14,base,lightgbm,venn_abers,0.7736,0.7234,0.6458,0.6824,0.8481,0.4484,0.0104,0.7484999999999999
15,smote,catboost,base,0.7715,0.7254,0.6417,0.681,0.8469,0.4517,0.027,0.7484500000000001
16,smotencw,catboost,base,0.7715,0.7254,0.6417,0.681,0.8469,0.4517,0.027,0.7484500000000001
17,base,lightgbm,isotonic,0.7736,0.7231,0.6458,0.6822,0.8481,0.451,0.0114,0.74835
18,smotecw,lightgbm,venn_abers,0.7721,0.7153,0.6453,0.6785,0.8467,0.4501,0.0082,0.7437
19,smotencw,lightgbm,venn_abers,0.7721,0.7153,0.6453,0.6785,0.8467,0.4501,0.0082,0.7437
20,smotecw,lightgbm,isotonic,0.7721,0.7152,0.6453,0.6785,0.8466,0.4523,0.009,0.7436499999999999
21,smotencw,lightgbm,isotonic,0.7721,0.7152,0.6453,0.6785,0.8466,0.4523,0.009,0.7436499999999999
22,smote,logreg,venn_abers,0.7672,0.7155,0.6369,0.6739,0.8403,0.4577,0.0091,0.74135
23,smotenc,logreg,venn_abers,0.7672,0.7155,0.6369,0.6739,0.8403,0.4577,0.0091,0.74135
24,smotecw,logreg,venn_abers,0.7672,0.7155,0.6369,0.6739,0.8403,0.4577,0.0091,0.74135
25,smotencw,logreg,venn_abers,0.7672,0.7155,0.6369,0.6739,0.8403,0.4577,0.0091,0.74135
26,smote,logreg,isotonic,0.7665,0.7048,0.6383,0.6699,0.8403,0.4609,0.01,0.7356499999999999
27,smotenc,logreg,isotonic,0.7665,0.7048,0.6383,0.6699,0.8403,0.4609,0.01,0.7356499999999999
28,smotecw,logreg,isotonic,0.7665,0.7048,0.6383,0.6699,0.8403,0.4609,0.01,0.7356499999999999
29,smotencw,logreg,isotonic,0.7665,0.7048,0.6383,0.6699,0.8403,0.4609,0.01,0.7356499999999999
30,cw,catboost,platt,0.7737,0.6966,0.6532,0.6742,0.848,0.4516,0.0145,0.73515
31,cw,lightgbm,platt,0.7748,0.6943,0.6559,0.6746,0.8479,0.4513,0.0153,0.73455
32,cw,catboost,venn_abers,0.7743,0.6886,0.6567,0.6723,0.8477,0.4493,0.0116,0.7314499999999999
33,cw,catboost,isotonic,0.7742,0.6883,0.6566,0.6721,0.8475,0.4548,0.0121,0.73125
34,smotenc,catboost,venn_abers,0.7729,0.685,0.6551,0.6697,0.8466,0.4502,0.0096,0.72895
35,smotenc,catboost,isotonic,0.7729,0.6849,0.6551,0.6697,0.8466,0.4537,0.0104,0.7289
36,base,catboost,base,0.7739,0.6789,0.6588,0.6687,0.8473,0.4492,0.005,0.7263999999999999
37,base,lightgbm,base,0.7749,0.6771,0.6613,0.6691,0.8484,0.4476,0.0049,0.726
38,cw,logreg,venn_abers,0.7674,0.6844,0.6453,0.6643,0.8404,0.4579,0.0092,0.7259
39,cw,logreg,isotonic,0.7674,0.6843,0.6453,0.6642,0.8404,0.461,0.0097,0.72585
40,base,catboost,venn_abers,0.7744,0.6724,0.6619,0.6671,0.8471,0.45,0.0105,0.7234
41,base,catboost,isotonic,0.7744,0.6712,0.6622,0.6667,0.8471,0.4517,0.0111,0.7228
42,smotecw,catboost,venn_abers,0.7734,0.6695,0.6609,0.6651,0.847,0.4496,0.0093,0.7214499999999999
43,smotecw,catboost,isotonic,0.7734,0.6695,0.6609,0.6651,0.8469,0.4527,0.01,0.7214499999999999
44,cw,lightgbm,isotonic,0.7747,0.6664,0.6643,0.6654,0.8477,0.4522,0.0105,0.72055
45,cw,lightgbm,venn_abers,0.7746,0.6665,0.6642,0.6654,0.8477,0.4489,0.0098,0.72055
46,smotecw,lightgbm,platt,0.7745,0.6644,0.6646,0.6645,0.8469,0.456,0.0281,0.7194499999999999
47,smotencw,lightgbm,platt,0.7745,0.6644,0.6646,0.6645,0.8469,0.456,0.0281,0.7194499999999999
