sampling,model,best_stage1_score,best_acc_cv,best_rec_cv
base,logreg,0.7870107614916182,0.7531225109945501,0.8426575928126057
base,catboost,0.7950184823648941,0.7371931648488557,0.8896176894453868
smote,logreg,0.7913626429017725,0.7230606604176455,0.9057191208978627
smote,catboost,0.7964779338947016,0.733378946065675,0.8967010071208535
smotenc,logreg,0.7913626429017725,0.7230606604176455,0.9057191208978627
smotenc,catboost,0.7964503719202547,0.733378946065675,0.8966354161461717
cw,logreg,0.7912366852943533,0.7278340435494197,0.899258900275427
cw,catboost,0.7969054665778729,0.7333679508448182,0.9021444342857583
smotecw,logreg,0.7913626429017725,0.7230606604176455,0.9057191208978627
smotecw,catboost,0.7964503674913694,0.733378946065675,0.8966354161461717
smotencw,logreg,0.7913626429017725,0.7230606604176455,0.9057191208978627
smotencw,catboost,0.7964503732160648,0.733378946065675,0.8966354161461717
