sampling,model,best_stage2_score,best_acc_cv,best_rec_cv,best_thr_cv
base,logreg,0.7877274529113226,0.7511822540108763,0.8478716832006765,0.35000000000000003
base,catboost,0.7928144068412188,0.7524499811016985,0.8564306343892487,0.35000000000000003
smote,logreg,0.7914248940959617,0.7253424933781423,0.9032265043076482,0.3583333333333334
smote,catboost,0.797302923660884,0.7432892319103592,0.8818781453633814,0.35000000000000003
smotenc,logreg,0.7914248940959617,0.7253424933781423,0.9032265043076482,0.3583333333333334
smotenc,catboost,0.7972381338075791,0.7433333265374292,0.8816485769519947,0.35000000000000003
cw,logreg,0.7912120879285562,0.7252652942387536,0.9034229997959363,0.3666666666666667
cw,catboost,0.7973885763840901,0.7315047029276461,0.9062444440263553,0.39166666666666666
smotecw,logreg,0.7914248940959617,0.7253424933781423,0.9032265043076482,0.3583333333333334
smotecw,catboost,0.79730292876007,0.7432892319103592,0.8818781453633814,0.35000000000000003
smotencw,logreg,0.7914248940959617,0.7253424933781423,0.9032265043076482,0.3583333333333334
smotencw,catboost,0.79719684066374,0.7433112792238941,0.8815829859773129,0.35000000000000003
