rank,experiment,rank,sampling,model,threshold,accuracy,recall,precision,f1,auc,logloss,ece,combined
1,A · KNN / RF,5,cw,randomforest,0.35,0.7307,0.8553,0.3446,0.4913,0.8487,0.3691,0.1171,0.7749499999999999
2,C · LogReg / CatBoost,8,smote,lightgbm,0.35,0.7295,0.8375,0.3413,0.4849,0.8378,0.3705,0.1111,0.77135
3,C · LogReg / CatBoost,9,smotenc,lightgbm,0.35,0.7295,0.8375,0.3413,0.4849,0.8378,0.3705,0.1111,0.77135
4,C · LogReg / CatBoost,10,smotecw,lightgbm,0.35,0.7295,0.8375,0.3413,0.4849,0.8378,0.3705,0.1111,0.77135
5,C · LogReg / CatBoost,11,smotencw,lightgbm,0.35,0.7295,0.8375,0.3413,0.4849,0.8378,0.3705,0.1111,0.77135
6,B · XGBoost / AdaBoost,8,smote,xgboost,0.35,0.7289,0.8358,0.3405,0.4838,0.8378,0.3704,0.1095,0.7712
7,B · XGBoost / AdaBoost,9,smotenc,xgboost,0.35,0.7289,0.8358,0.3405,0.4838,0.8378,0.3704,0.1095,0.7712
8,B · XGBoost / AdaBoost,10,smotecw,xgboost,0.35,0.7289,0.8358,0.3405,0.4838,0.8378,0.3704,0.1095,0.7712
9,B · XGBoost / AdaBoost,11,smotencw,xgboost,0.35,0.7289,0.8358,0.3405,0.4838,0.8378,0.3704,0.1095,0.7712
10,A · KNN / RF,1,smote,randomforest,0.35,0.708,0.8795,0.3282,0.478,0.8347,0.4003,0.1356,0.7629
11,A · KNN / RF,2,smotenc,randomforest,0.35,0.708,0.8795,0.3282,0.478,0.8347,0.4003,0.1356,0.7629
12,A · KNN / RF,3,smotecw,randomforest,0.35,0.7066,0.8808,0.3272,0.4772,0.8346,0.4044,0.1386,0.7611000000000001
13,A · KNN / RF,4,smotencw,randomforest,0.35,0.7066,0.8808,0.3272,0.4772,0.8346,0.4044,0.1386,0.7611000000000001
14,B · XGBoost / AdaBoost,3,base,adaboost,0.35,0.7163,0.8671,0.3334,0.4816,0.8456,0.4062,0.1388,0.7596
15,C · LogReg / CatBoost,16,base,catboost,0.35,0.8134,0.5865,0.4189,0.4887,0.8483,0.3284,0.0391,0.7581
16,B · XGBoost / AdaBoost,1,cw,xgboost,0.35,0.7098,0.8788,0.3296,0.4794,0.8469,0.4118,0.1493,0.7568750000000001
17,A · KNN / RF,10,base,randomforest,0.35,0.8157,0.539,0.4178,0.4707,0.8435,0.3185,0.009,0.7567999999999999
18,C · LogReg / CatBoost,17,base,lightgbm,0.35,0.8276,0.5125,0.4423,0.4748,0.8521,0.3095,0.0041,0.7566250000000001
19,B · XGBoost / AdaBoost,12,base,xgboost,0.35,0.8262,0.5125,0.4388,0.4728,0.8519,0.3098,0.0027,0.75655
20,C · LogReg / CatBoost,12,smote,catboost,0.45,0.7291,0.8316,0.3401,0.4828,0.8375,0.4139,0.1577,0.747275
21,C · LogReg / CatBoost,13,smotenc,catboost,0.45,0.7291,0.8316,0.3401,0.4828,0.8375,0.4139,0.1577,0.747275
22,C · LogReg / CatBoost,14,smotecw,catboost,0.45,0.7291,0.8316,0.3401,0.4828,0.8375,0.4139,0.1577,0.747275
23,C · LogReg / CatBoost,15,smotencw,catboost,0.45,0.7291,0.8316,0.3401,0.4828,0.8375,0.4139,0.1577,0.747275
24,C · LogReg / CatBoost,18,base,logreg,0.35,0.8335,0.4449,0.4517,0.4483,0.8486,0.3168,0.0191,0.735625
