rank,sampling,model,calibration,accuracy,recall,precision,f1,auc,logloss,ece,combined
1,smote,knn,base,0.7283,0.866,0.5622,0.6818,0.8254,0.549,0.1163,0.79715
2,smotenc,knn,base,0.7283,0.866,0.5622,0.6818,0.8254,0.549,0.1163,0.79715
3,smotecw,knn,base,0.7283,0.866,0.5622,0.6818,0.8254,0.549,0.1163,0.79715
4,smotencw,knn,base,0.7283,0.866,0.5622,0.6818,0.8254,0.549,0.1163,0.79715
5,cw,randomforest,base,0.756,0.8268,0.5993,0.6949,0.8445,0.4752,0.0828,0.7914
6,smote,randomforest,base,0.7511,0.8276,0.593,0.6909,0.8428,0.477,0.082,0.78935
7,smotenc,randomforest,base,0.7511,0.8276,0.593,0.6909,0.8428,0.477,0.082,0.78935
8,smotecw,randomforest,base,0.7525,0.8228,0.5954,0.6909,0.8432,0.4739,0.0772,0.78765
9,smotencw,randomforest,base,0.7525,0.8228,0.5954,0.6909,0.8432,0.4739,0.0772,0.78765
10,base,knn,isotonic,0.7623,0.7077,0.6305,0.6669,0.8327,0.4671,0.0116,0.735
11,cw,knn,isotonic,0.7623,0.7077,0.6305,0.6669,0.8327,0.4671,0.0116,0.735
12,base,knn,venn_abers,0.7623,0.7077,0.6305,0.6669,0.8325,0.4675,0.0105,0.735
13,cw,knn,venn_abers,0.7623,0.7077,0.6305,0.6669,0.8325,0.4675,0.0105,0.735
14,smotecw,randomforest,venn_abers,0.771,0.6965,0.6483,0.6715,0.8428,0.4551,0.0102,0.73375
15,smotencw,randomforest,venn_abers,0.771,0.6965,0.6483,0.6715,0.8428,0.4551,0.0102,0.73375
16,smotecw,randomforest,isotonic,0.7709,0.6961,0.6483,0.6713,0.8427,0.4557,0.0108,0.7335
17,smotencw,randomforest,isotonic,0.7709,0.6961,0.6483,0.6713,0.8427,0.4557,0.0108,0.7335
18,smote,knn,isotonic,0.7544,0.7123,0.6166,0.661,0.8254,0.4727,0.0093,0.73335
19,smotenc,knn,isotonic,0.7544,0.7123,0.6166,0.661,0.8254,0.4727,0.0093,0.73335
20,smotecw,knn,isotonic,0.7544,0.7123,0.6166,0.661,0.8254,0.4727,0.0093,0.73335
21,smotencw,knn,isotonic,0.7544,0.7123,0.6166,0.661,0.8254,0.4727,0.0093,0.73335
22,smote,knn,venn_abers,0.7544,0.7123,0.6166,0.661,0.8252,0.4732,0.0076,0.73335
23,smotenc,knn,venn_abers,0.7544,0.7123,0.6166,0.661,0.8252,0.4732,0.0076,0.73335
24,smotecw,knn,venn_abers,0.7544,0.7123,0.6166,0.661,0.8252,0.4732,0.0076,0.73335
25,smotencw,knn,venn_abers,0.7544,0.7123,0.6166,0.661,0.8252,0.4732,0.0076,0.73335
26,smote,randomforest,venn_abers,0.77,0.693,0.6475,0.6695,0.8426,0.4551,0.0105,0.7315
27,smotenc,randomforest,venn_abers,0.77,0.693,0.6475,0.6695,0.8426,0.4551,0.0105,0.7315
28,smote,randomforest,isotonic,0.7699,0.692,0.6476,0.6691,0.8425,0.4556,0.0112,0.73095
29,smotenc,randomforest,isotonic,0.7699,0.692,0.6476,0.6691,0.8425,0.4556,0.0112,0.73095
30,smotecw,randomforest,platt,0.7712,0.6889,0.6509,0.6694,0.8432,0.4579,0.0169,0.73005
31,smotencw,randomforest,platt,0.7712,0.6889,0.6509,0.6694,0.8432,0.4579,0.0169,0.73005
32,smote,randomforest,platt,0.7701,0.688,0.6492,0.668,0.8428,0.4582,0.0168,0.72905
33,smotenc,randomforest,platt,0.7701,0.688,0.6492,0.668,0.8428,0.4582,0.0168,0.72905
34,base,randomforest,base,0.7698,0.6815,0.6505,0.6656,0.8449,0.4524,0.0117,0.72565
35,cw,randomforest,venn_abers,0.7716,0.6771,0.6551,0.666,0.8443,0.4552,0.0083,0.72435
36,cw,randomforest,platt,0.7715,0.6766,0.655,0.6657,0.8445,0.4561,0.0186,0.72405
37,cw,randomforest,isotonic,0.7715,0.6758,0.6553,0.6654,0.8443,0.4563,0.0088,0.7236499999999999
38,base,randomforest,venn_abers,0.7703,0.6611,0.6575,0.6593,0.8447,0.4527,0.0098,0.7157
39,base,randomforest,platt,0.7707,0.6569,0.6596,0.6582,0.8449,0.4576,0.027,0.7138
40,base,randomforest,isotonic,0.7708,0.6567,0.6598,0.6582,0.8446,0.4537,0.0101,0.71375
41,base,knn,base,0.7623,0.665,0.6411,0.6529,0.8328,0.5011,0.0104,0.71365
42,cw,knn,base,0.7623,0.665,0.6411,0.6529,0.8328,0.5011,0.0104,0.71365
43,smote,knn,platt,0.7554,0.6717,0.6272,0.6487,0.8254,0.4739,0.0134,0.7135499999999999
44,smotenc,knn,platt,0.7554,0.6717,0.6272,0.6487,0.8254,0.4739,0.0134,0.7135499999999999
45,smotecw,knn,platt,0.7554,0.6717,0.6272,0.6487,0.8254,0.4739,0.0134,0.7135499999999999
46,smotencw,knn,platt,0.7554,0.6717,0.6272,0.6487,0.8254,0.4739,0.0134,0.7135499999999999
47,base,knn,platt,0.7619,0.6209,0.6535,0.6368,0.8328,0.4715,0.032,0.6914
48,cw,knn,platt,0.7619,0.6209,0.6535,0.6368,0.8328,0.4715,0.032,0.6914
