rank,sampling,model,threshold,accuracy,recall,precision,f1,auc,logloss,ece,combined
1,smotecw,randomforest,0.35,0.7235,0.8987,0.5547,0.686,0.8432,0.4739,0.0772,0.8111
2,smotencw,randomforest,0.35,0.7235,0.8987,0.5547,0.686,0.8432,0.4739,0.0772,0.8111
3,cw,randomforest,0.35,0.7223,0.8981,0.5536,0.6849,0.8445,0.4752,0.0828,0.8102
4,smote,randomforest,0.35,0.7201,0.9,0.5512,0.6837,0.8428,0.477,0.082,0.8100499999999999
5,smotenc,randomforest,0.35,0.7201,0.9,0.5512,0.6837,0.8428,0.477,0.082,0.8100499999999999
6,smote,knn,0.4,0.7096,0.8999,0.5409,0.6757,0.8254,0.549,0.1163,0.8047500000000001
7,smotenc,knn,0.4,0.7096,0.8999,0.5409,0.6757,0.8254,0.549,0.1163,0.8047500000000001
8,smotecw,knn,0.4,0.7096,0.8999,0.5409,0.6757,0.8254,0.549,0.1163,0.8047500000000001
9,smotencw,knn,0.4,0.7096,0.8999,0.5409,0.6757,0.8254,0.549,0.1163,0.8047500000000001
10,base,randomforest,0.35,0.7456,0.8525,0.5832,0.6926,0.8449,0.4524,0.0117,0.79905
11,base,knn,0.35,0.746,0.8236,0.5872,0.6856,0.8328,0.5011,0.0104,0.7847999999999999
12,cw,knn,0.35,0.746,0.8236,0.5872,0.6856,0.8328,0.5011,0.0104,0.7847999999999999
