sampling,model,best_stage1_score,best_acc_cv,best_rec_cv
base,knn,0.7764756542423968,0.7503004074981838,0.8303601167125739
base,randomforest,0.7915819842014724,0.7532547748549844,0.8511838961219634
smote,knn,0.777256916721926,0.7203819445476648,0.8915849715429379
smote,randomforest,0.795565337541149,0.7324859532192027,0.8987015858432933
smotenc,knn,0.777256916721926,0.7203819445476648,0.8915849715429379
smotenc,randomforest,0.795565337541149,0.7324859532192027,0.8987015858432933
cw,knn,0.7764756542423968,0.7503004074981838,0.8303601167125739
cw,randomforest,0.7959761488279673,0.7387585298547426,0.8896175649339356
smotecw,knn,0.777256916721926,0.7203819445476648,0.8915849715429379
smotecw,randomforest,0.7957285341665291,0.727911117431968,0.9055224180788729
smotencw,knn,0.777256916721926,0.7203819445476648,0.8915849715429379
smotencw,randomforest,0.7957285341665291,0.727911117431968,0.9055224180788729
