sampling,model,best_stage2_score,best_acc_cv,best_rec_cv,best_thr_cv
base,knn,0.7795518856008514,0.7474232194394759,0.8419360361701533,0.35
base,randomforest,0.7931965406578393,0.753894197591939,0.8541679399437199,0.35
smote,knn,0.7813977067028407,0.71338175561195,0.9075886400423746,0.38749999999999996
smote,randomforest,0.7955577353139084,0.7304797391599965,0.9019148830808184,0.36250000000000004
smotenc,knn,0.7813977067028407,0.71338175561195,0.9075886400423746,0.38749999999999996
smotenc,randomforest,0.7955577353139084,0.7304797391599965,0.9019148830808184,0.36250000000000004
cw,knn,0.7795518856008514,0.7474232194394759,0.8419360361701533,0.35
cw,randomforest,0.7963403220473734,0.7368514458283784,0.8938480707237266,0.4
smotecw,knn,0.7813977067028407,0.71338175561195,0.9075886400423746,0.38749999999999996
smotecw,randomforest,0.7959785650688835,0.7337538281693949,0.8977503852867538,0.375
smotencw,knn,0.7813977067028407,0.71338175561195,0.9075886400423746,0.38749999999999996
smotencw,randomforest,0.7959785650688835,0.7337538281693949,0.8977503852867538,0.375
