rank,sampling,model,calibration,accuracy,recall,precision,f1,auc,logloss,ece,combined
1,cw,catboost,base,0.7519,0.8506,0.591,0.6974,0.8477,0.4834,0.102,0.80125
2,cw,lightgbm,base,0.7523,0.8479,0.5918,0.6971,0.8483,0.4821,0.1009,0.8001
3,cw,logreg,base,0.7533,0.8136,0.5978,0.6892,0.8406,0.4964,0.1057,0.78345
4,smote,logreg,base,0.7532,0.8097,0.5982,0.6881,0.8406,0.496,0.1038,0.78145
5,smotenc,logreg,base,0.7532,0.8097,0.5982,0.6881,0.8406,0.496,0.1038,0.78145
6,smotecw,logreg,base,0.7532,0.8097,0.5982,0.6881,0.8406,0.496,0.1038,0.78145
7,smotencw,logreg,base,0.7532,0.8097,0.5982,0.6881,0.8406,0.496,0.1038,0.78145
8,smote,catboost,base,0.771,0.7425,0.6366,0.6855,0.8463,0.4536,0.0312,0.75675
9,smote,lightgbm,base,0.77,0.7374,0.6362,0.6831,0.8464,0.4535,0.0335,0.7537
10,smotenc,lightgbm,base,0.77,0.7374,0.6362,0.6831,0.8464,0.4535,0.0335,0.7537
11,smotecw,lightgbm,base,0.77,0.7374,0.6362,0.6831,0.8464,0.4535,0.0335,0.7537
12,smotencw,lightgbm,base,0.77,0.7374,0.6362,0.6831,0.8464,0.4535,0.0335,0.7537
13,smotenc,catboost,base,0.7706,0.735,0.6377,0.6829,0.8467,0.4525,0.0287,0.7527999999999999
14,smotecw,catboost,base,0.7706,0.735,0.6377,0.6829,0.8467,0.4525,0.0287,0.7527999999999999
15,smotencw,catboost,base,0.7707,0.7325,0.6385,0.6823,0.8466,0.4524,0.0279,0.7516
16,smote,lightgbm,venn_abers,0.771,0.7243,0.641,0.6802,0.846,0.4504,0.0088,0.74765
17,smotenc,lightgbm,venn_abers,0.771,0.7243,0.641,0.6802,0.846,0.4504,0.0088,0.74765
18,smotecw,lightgbm,venn_abers,0.771,0.7243,0.641,0.6802,0.846,0.4504,0.0088,0.74765
19,smotencw,lightgbm,venn_abers,0.771,0.7243,0.641,0.6802,0.846,0.4504,0.0088,0.74765
20,smote,lightgbm,isotonic,0.7718,0.7172,0.6443,0.6788,0.846,0.4525,0.0094,0.7444999999999999
21,smotenc,lightgbm,isotonic,0.7718,0.7172,0.6443,0.6788,0.846,0.4525,0.0094,0.7444999999999999
22,smotecw,lightgbm,isotonic,0.7718,0.7172,0.6443,0.6788,0.846,0.4525,0.0094,0.7444999999999999
23,smotencw,lightgbm,isotonic,0.7718,0.7172,0.6443,0.6788,0.846,0.4525,0.0094,0.7444999999999999
24,base,lightgbm,venn_abers,0.7732,0.7014,0.651,0.6753,0.8469,0.45,0.0092,0.7373000000000001
25,base,lightgbm,isotonic,0.7731,0.701,0.651,0.6751,0.8469,0.4517,0.0103,0.73705
26,smote,logreg,venn_abers,0.7666,0.7045,0.6386,0.6699,0.8403,0.4578,0.0092,0.7355499999999999
27,smotenc,logreg,venn_abers,0.7666,0.7045,0.6386,0.6699,0.8403,0.4578,0.0092,0.7355499999999999
28,smotecw,logreg,venn_abers,0.7666,0.7045,0.6386,0.6699,0.8403,0.4578,0.0092,0.7355499999999999
29,smotencw,logreg,venn_abers,0.7666,0.7045,0.6386,0.6699,0.8403,0.4578,0.0092,0.7355499999999999
30,smote,logreg,isotonic,0.7666,0.7044,0.6385,0.6698,0.8403,0.4609,0.01,0.7355
31,smotenc,logreg,isotonic,0.7666,0.7044,0.6385,0.6698,0.8403,0.4609,0.01,0.7355
