rank,sampling,model,threshold,accuracy,recall,precision,f1,auc,logloss,ece,combined
1,cw,lightgbm,0.45,0.74,0.8759,0.5743,0.6938,0.848,0.483,0.1022,0.80795
2,cw,catboost,0.45,0.736,0.8778,0.5697,0.6909,0.8474,0.4849,0.1036,0.8069
3,smote,lightgbm,0.35,0.7426,0.8661,0.5783,0.6935,0.8467,0.4535,0.0341,0.80435
4,smotenc,lightgbm,0.35,0.7426,0.8661,0.5783,0.6935,0.8467,0.4535,0.0341,0.80435
5,smote,catboost,0.35,0.7414,0.867,0.5767,0.6927,0.8465,0.4531,0.0303,0.8042
6,smotenc,catboost,0.35,0.7414,0.867,0.5767,0.6927,0.8465,0.4531,0.0303,0.8042
7,smotencw,catboost,0.35,0.7414,0.867,0.5767,0.6927,0.8465,0.4531,0.0303,0.8042
8,cw,logreg,0.4,0.7283,0.8799,0.5611,0.6852,0.8406,0.4967,0.1064,0.8041
9,smotecw,catboost,0.35,0.7414,0.8666,0.5768,0.6926,0.8464,0.4532,0.0303,0.804
10,smote,logreg,0.4,0.7308,0.8772,0.564,0.6866,0.8406,0.4959,0.1038,0.804
11,smotenc,logreg,0.4,0.7308,0.8772,0.564,0.6866,0.8406,0.4959,0.1038,0.804
12,smotecw,logreg,0.4,0.7308,0.8772,0.564,0.6866,0.8406,0.4959,0.1038,0.804
13,smotencw,logreg,0.4,0.7308,0.8772,0.564,0.6866,0.8406,0.4959,0.1038,0.804
14,smotencw,lightgbm,0.35,0.7424,0.8654,0.5781,0.6932,0.8466,0.4535,0.034,0.8039
15,smotecw,lightgbm,0.35,0.7423,0.8641,0.5781,0.6927,0.8467,0.4534,0.034,0.8031999999999999
16,base,logreg,0.35,0.7319,0.8726,0.5656,0.6863,0.8388,0.4772,0.0539,0.80225
17,base,catboost,0.35,0.7499,0.8475,0.589,0.695,0.8464,0.451,0.0099,0.7987
18,base,lightgbm,0.35,0.7519,0.8426,0.592,0.6954,0.8476,0.4486,0.0049,0.79725
