sampling,model,best_stage1_score,best_acc_cv,best_rec_cv
base,logreg,0.7901468796047433,0.7353742039447433,0.8810913622351938
base,catboost,0.794540229088248,0.7331033114499115,0.8965042303403948
smote,logreg,0.7911855071895584,0.7230165391230843,0.9054568111759691
smote,catboost,0.7963740334935226,0.7417790386971923,0.8818456089722568
smotenc,logreg,0.7911855071895584,0.7230165391230843,0.9054568111759691
smotenc,catboost,0.7963740335509344,0.7417790386971923,0.8818456089722568
cw,logreg,0.7910355546861813,0.7203708352497862,0.9092936315340723
cw,catboost,0.796615664360672,0.7316702248899672,0.903226864301174
smotecw,logreg,0.7911855071895584,0.7230165391230843,0.9054568111759691
smotecw,catboost,0.7963740333471134,0.7417790386971923,0.8818456089722568
smotencw,logreg,0.7911855071895584,0.7230165391230843,0.9054568111759691
smotencw,catboost,0.7963740314815149,0.7417790386971923,0.8818456089722568
