sampling,model,best_stage2_score,best_acc_cv,best_rec_cv,best_thr_cv
base,logreg,0.7907560433285903,0.7415144484214992,0.8717452825957945,0.3499999999999999
base,catboost,0.7939535859502244,0.749352357339457,0.8644322728501953,0.3499999999999999
smote,logreg,0.791525308930392,0.7229834812437411,0.9060798961952653,0.3499999999999999
smote,catboost,0.7961291114097714,0.7414152500935957,0.8817799887066086,0.3499999999999999
smotenc,logreg,0.791525308930392,0.7229834812437411,0.9060798961952653,0.3499999999999999
smotenc,catboost,0.7962137320306275,0.747335016849191,0.8720403839082014,0.3499999999999999
cw,logreg,0.791398341580849,0.7212417143084817,0.908539409335367,0.3499999999999999
cw,catboost,0.7972153881717818,0.7323537090766776,0.9033908340016644,0.4000000000000001
smotecw,logreg,0.791525308930392,0.7229834812437411,0.9060798961952653,0.3499999999999999
smotecw,catboost,0.7960582840117202,0.7435759076007903,0.877811986390889,0.3499999999999999
smotencw,logreg,0.791525308930392,0.7229834812437411,0.9060798961952653,0.3499999999999999
smotencw,catboost,0.7962137341229285,0.747335016849191,0.8720403839082014,0.3499999999999999
