rank,sampling,model,calibration,accuracy,recall,precision,f1,auc,logloss,ece,combined
1,smote,naive_bayes,base,0.7309,0.8028,0.5709,0.6673,0.8101,1.5439,0.2313,0.76685
2,smotenc,naive_bayes,base,0.7309,0.8028,0.5709,0.6673,0.8101,1.5439,0.2313,0.76685
3,smotecw,naive_bayes,base,0.7309,0.8028,0.5709,0.6673,0.8101,1.5439,0.2313,0.76685
4,smotencw,naive_bayes,base,0.7309,0.8028,0.5709,0.6673,0.8101,1.5439,0.2313,0.76685
5,base,naive_bayes,base,0.7427,0.7761,0.5891,0.6698,0.8152,1.3487,0.2107,0.7594000000000001
6,cw,naive_bayes,base,0.7427,0.7761,0.5891,0.6698,0.8152,1.3487,0.2107,0.7594000000000001
7,smote,naive_bayes,platt,0.7441,0.7481,0.5949,0.6627,0.8101,0.5097,0.0329,0.7461
8,smotenc,naive_bayes,platt,0.7441,0.7481,0.5949,0.6627,0.8101,0.5097,0.0329,0.7461
9,smotecw,naive_bayes,platt,0.7441,0.7481,0.5949,0.6627,0.8101,0.5097,0.0329,0.7461
10,smotencw,naive_bayes,platt,0.7441,0.7481,0.5949,0.6627,0.8101,0.5097,0.0329,0.7461
11,base,naive_bayes,platt,0.7497,0.7166,0.6085,0.6581,0.8152,0.5071,0.0191,0.73315
12,cw,naive_bayes,platt,0.7497,0.7166,0.6085,0.6581,0.8152,0.5071,0.0191,0.73315
13,smote,naive_bayes,isotonic,0.7511,0.6815,0.6176,0.648,0.8102,0.4934,0.0123,0.7162999999999999
14,smote,naive_bayes,venn_abers,0.7511,0.6815,0.6176,0.648,0.8102,0.4934,0.012,0.7162999999999999
15,smotenc,naive_bayes,isotonic,0.7511,0.6815,0.6176,0.648,0.8102,0.4934,0.0123,0.7162999999999999
16,smotenc,naive_bayes,venn_abers,0.7511,0.6815,0.6176,0.648,0.8102,0.4934,0.012,0.7162999999999999
17,smotecw,naive_bayes,isotonic,0.7511,0.6815,0.6176,0.648,0.8102,0.4934,0.0123,0.7162999999999999
18,smotecw,naive_bayes,venn_abers,0.7511,0.6815,0.6176,0.648,0.8102,0.4934,0.012,0.7162999999999999
19,smotencw,naive_bayes,isotonic,0.7511,0.6815,0.6176,0.648,0.8102,0.4934,0.0123,0.7162999999999999
20,smotencw,naive_bayes,venn_abers,0.7511,0.6815,0.6176,0.648,0.8102,0.4934,0.012,0.7162999999999999
21,base,naive_bayes,venn_abers,0.7549,0.6514,0.6312,0.6411,0.8151,0.4877,0.0121,0.7031499999999999
22,cw,naive_bayes,venn_abers,0.7549,0.6514,0.6312,0.6411,0.8151,0.4877,0.0121,0.7031499999999999
23,base,naive_bayes,isotonic,0.7549,0.6511,0.6314,0.6411,0.8151,0.4878,0.0122,0.7030000000000001
24,cw,naive_bayes,isotonic,0.7549,0.6511,0.6314,0.6411,0.8151,0.4878,0.0122,0.7030000000000001
