rank,sampling,model,calibration,accuracy,recall,precision,f1,auc,logloss,ece,combined
1,cw,randomforest,base,0.7297,0.8758,0.563,0.6854,0.8367,0.5035,0.1131,0.8027500000000001
2,cw,catboost,base,0.7475,0.8561,0.585,0.695,0.8468,0.4863,0.1048,0.8018000000000001
3,cw,xgboost,base,0.7515,0.8498,0.5906,0.6969,0.8484,0.4821,0.1015,0.80065
4,cw,adaboost,base,0.6762,0.9232,0.5102,0.6572,0.7964,0.6935,0.2316,0.7997000000000001
5,smote,adaboost,base,0.6779,0.9202,0.5116,0.6576,0.7784,0.7154,0.2273,0.79905
6,smotenc,adaboost,base,0.6779,0.9202,0.5116,0.6576,0.7784,0.7154,0.2273,0.79905
7,smotecw,adaboost,base,0.6779,0.9202,0.5116,0.6576,0.7784,0.7154,0.2273,0.79905
8,smotencw,adaboost,base,0.6779,0.9202,0.5116,0.6576,0.7784,0.7154,0.2273,0.79905
9,smote,catboost,base,0.7541,0.8254,0.5972,0.693,0.843,0.4778,0.0806,0.78975
10,smotenc,catboost,base,0.7541,0.8254,0.5972,0.693,0.843,0.4778,0.0806,0.78975
11,smotecw,catboost,base,0.7541,0.8254,0.5972,0.693,0.843,0.4778,0.0806,0.78975
12,smotencw,catboost,base,0.7541,0.8254,0.5972,0.693,0.843,0.4778,0.0806,0.78975
13,cw,logreg,base,0.7521,0.8165,0.5958,0.6889,0.8403,0.4962,0.1066,0.7843
14,smotecw,randomforest,base,0.7545,0.8126,0.5995,0.69,0.8392,0.4766,0.0744,0.78355
15,smotencw,randomforest,base,0.7545,0.8126,0.5995,0.69,0.8392,0.4766,0.0744,0.78355
16,base,adaboost,base,0.7093,0.8578,0.5428,0.6649,0.7787,0.5233,0.074,0.78355
17,smote,randomforest,base,0.754,0.8118,0.5989,0.6893,0.8393,0.4766,0.0746,0.7828999999999999
18,smotenc,randomforest,base,0.754,0.8118,0.5989,0.6893,0.8393,0.4766,0.0746,0.7828999999999999
19,smote,logreg,base,0.7537,0.8116,0.5986,0.689,0.8406,0.4956,0.1034,0.7826500000000001
20,smotenc,logreg,base,0.7537,0.8116,0.5986,0.689,0.8406,0.4956,0.1034,0.7826500000000001
21,smotecw,logreg,base,0.7537,0.8116,0.5986,0.689,0.8406,0.4956,0.1034,0.7826500000000001
22,smotencw,logreg,base,0.7537,0.8116,0.5986,0.689,0.8406,0.4956,0.1034,0.7826500000000001
23,smote,adaboost,platt,0.7112,0.8539,0.5449,0.6653,0.7784,0.5073,0.0112,0.7825500000000001
24,smotenc,adaboost,platt,0.7112,0.8539,0.5449,0.6653,0.7784,0.5073,0.0112,0.7825500000000001
25,smotecw,adaboost,platt,0.7112,0.8539,0.5449,0.6653,0.7784,0.5073,0.0112,0.7825500000000001
26,smotencw,adaboost,platt,0.7112,0.8539,0.5449,0.6653,0.7784,0.5073,0.0112,0.7825500000000001
27,base,adaboost,platt,0.713,0.8498,0.5471,0.6656,0.7787,0.5094,0.0168,0.7814
28,smote,adaboost,isotonic,0.7273,0.8014,0.5668,0.6639,0.7783,0.499,0.0129,0.76435
29,smote,adaboost,venn_abers,0.7273,0.8014,0.5668,0.6639,0.7783,0.499,0.0128,0.76435
30,smotenc,adaboost,isotonic,0.7273,0.8014,0.5668,0.6639,0.7783,0.499,0.0129,0.76435
31,smotenc,adaboost,venn_abers,0.7273,0.8014,0.5668,0.6639,0.7783,0.499,0.0128,0.76435
32,smotecw,adaboost,isotonic,0.7273,0.8014,0.5668,0.6639,0.7783,0.499,0.0129,0.76435
33,smotecw,adaboost,venn_abers,0.7273,0.8014,0.5668,0.6639,0.7783,0.499,0.0128,0.76435
