rank,sampling,model,calibration,accuracy,recall,precision,f1,auc,logloss,ece,combined
1,cw,xgboost,base,0.7687,0.7651,0.3729,0.5014,0.8469,0.4118,0.1493,0.743175
2,smote,xgboost,base,0.7919,0.6356,0.3875,0.4815,0.8378,0.3704,0.1095,0.7369
3,smotenc,xgboost,base,0.7919,0.6356,0.3875,0.4815,0.8378,0.3704,0.1095,0.7369
4,smotecw,xgboost,base,0.7919,0.6356,0.3875,0.4815,0.8378,0.3704,0.1095,0.7369
5,smotencw,xgboost,base,0.7919,0.6356,0.3875,0.4815,0.8378,0.3704,0.1095,0.7369
6,smote,adaboost,base,0.7423,0.802,0.3489,0.4863,0.8306,0.4663,0.2067,0.717825
7,smotenc,adaboost,base,0.7423,0.802,0.3489,0.4863,0.8306,0.4663,0.2067,0.717825
8,smotecw,adaboost,base,0.7423,0.802,0.3489,0.4863,0.8306,0.4663,0.2067,0.717825
9,smotencw,adaboost,base,0.7423,0.802,0.3489,0.4863,0.8306,0.4663,0.2067,0.717825
10,cw,adaboost,base,0.7195,0.8645,0.3358,0.4837,0.8226,0.5745,0.234,0.693875
11,base,xgboost,platt,0.8493,0.2275,0.5097,0.3146,0.8519,0.3244,0.029,0.68085
12,cw,xgboost,platt,0.8466,0.1864,0.4883,0.2698,0.8469,0.3204,0.0129,0.674925
13,base,adaboost,platt,0.8486,0.1668,0.5063,0.251,0.8456,0.3177,0.02,0.669425
14,base,adaboost,venn_abers,0.849,0.1449,0.5119,0.2258,0.8454,0.3142,0.0044,0.668825
15,base,adaboost,isotonic,0.8489,0.1434,0.5112,0.2239,0.8454,0.3143,0.0042,0.66845
16,base,xgboost,venn_abers,0.8502,0.1344,0.5287,0.2144,0.8518,0.3103,0.0056,0.667175
17,base,xgboost,isotonic,0.85,0.1281,0.5278,0.2062,0.8518,0.3104,0.0051,0.66565
18,base,xgboost,base,0.8502,0.119,0.5321,0.1945,0.8519,0.3098,0.0027,0.664175
19,smote,xgboost,platt,0.8427,0.1627,0.4522,0.2393,0.8378,0.3284,0.0263,0.662675
20,smotenc,xgboost,platt,0.8427,0.1627,0.4522,0.2393,0.8378,0.3284,0.0263,0.662675
21,smotecw,xgboost,platt,0.8427,0.1627,0.4522,0.2393,0.8378,0.3284,0.0263,0.662675
22,smotencw,xgboost,platt,0.8427,0.1627,0.4522,0.2393,0.8378,0.3284,0.0263,0.662675
23,cw,xgboost,venn_abers,0.8484,0.0979,0.5073,0.1641,0.8469,0.314,0.0035,0.6572
24,cw,xgboost,isotonic,0.8483,0.0972,0.5057,0.1631,0.8469,0.3136,0.0039,0.657
25,smote,adaboost,platt,0.8449,0.0827,0.4455,0.1394,0.8306,0.329,0.0186,0.645
26,smotenc,adaboost,platt,0.8449,0.0827,0.4455,0.1394,0.8306,0.329,0.0186,0.645
27,smotecw,adaboost,platt,0.8449,0.0827,0.4455,0.1394,0.8306,0.329,0.0186,0.645
28,smotencw,adaboost,platt,0.8449,0.0827,0.4455,0.1394,0.8306,0.329,0.0186,0.645
29,smote,xgboost,venn_abers,0.8477,0.0176,0.4793,0.034,0.8374,0.3185,0.0036,0.6357999999999999
30,smotenc,xgboost,venn_abers,0.8477,0.0176,0.4793,0.034,0.8374,0.3185,0.0036,0.6357999999999999
31,smotecw,xgboost,venn_abers,0.8477,0.0176,0.4793,0.034,0.8374,0.3185,0.0036,0.6357999999999999
32,smotencw,xgboost,venn_abers,0.8477,0.0176,0.4793,0.034,0.8374,0.3185,0.0036,0.6357999999999999
33,smote,xgboost,isotonic,0.8476,0.017,0.4699,0.0328,0.8374,0.3198,0.0043,0.635125
34,smotenc,xgboost,isotonic,0.8476,0.017,0.4699,0.0328,0.8374,0.3198,0.0043,0.635125
35,smotecw,xgboost,isotonic,0.8476,0.017,0.4699,0.0328,0.8374,0.3198,0.0043,0.635125
36,smotencw,xgboost,isotonic,0.8476,0.017,0.4699,0.0328,0.8374,0.3198,0.0043,0.635125
37,smote,adaboost,venn_abers,0.8477,0.0017,0.3478,0.0035,0.8304,0.3217,0.0028,0.631225
38,smotenc,adaboost,venn_abers,0.8477,0.0017,0.3478,0.0035,0.8304,0.3217,0.0028,0.631225
39,smotecw,adaboost,venn_abers,0.8477,0.0017,0.3478,0.0035,0.8304,0.3217,0.0028,0.631225
40,smotencw,adaboost,venn_abers,0.8477,0.0017,0.3478,0.0035,0.8304,0.3217,0.0028,0.631225
41,smote,adaboost,isotonic,0.8477,0.0015,0.3182,0.003,0.8301,0.3216,0.0029,0.6311749999999999
42,smotenc,adaboost,isotonic,0.8477,0.0015,0.3182,0.003,0.8301,0.3216,0.0029,0.6311749999999999
43,smotecw,adaboost,isotonic,0.8477,0.0015,0.3182,0.003,0.8301,0.3216,0.0029,0.6311749999999999
44,smotencw,adaboost,isotonic,0.8477,0.0015,0.3182,0.003,0.8301,0.3216,0.0029,0.6311749999999999
45,cw,adaboost,venn_abers,0.848,0.0,0.0,0.0,0.8226,0.3236,0.0006,0.63095
46,cw,adaboost,isotonic,0.848,0.0,0.0,0.0,0.8226,0.3236,0.0007,0.630925
47,cw,adaboost,platt,0.848,0.0,0.0,0.0,0.8226,0.3346,0.0169,0.624125
48,base,adaboost,base,0.8489,0.184,0.5081,0.2702,0.8456,0.4062,0.1388,0.621975
