rank,sampling,model,threshold,accuracy,recall,precision,f1,auc,logloss,ece,combined
1,cw,xgboost,0.45,0.741,0.8748,0.5755,0.6943,0.8484,0.4817,0.1007,0.8079000000000001
2,base,adaboost,0.35,0.7292,0.8861,0.5617,0.6875,0.8409,0.4855,0.0704,0.80765
3,cw,adaboost,0.35,0.7229,0.8916,0.5547,0.6839,0.838,0.5227,0.1311,0.80725
4,smote,adaboost,0.4,0.7168,0.8972,0.5481,0.6805,0.8384,0.5007,0.1015,0.8069999999999999
5,smotenc,adaboost,0.4,0.7168,0.8972,0.5481,0.6805,0.8384,0.5007,0.1015,0.8069999999999999
6,smotecw,adaboost,0.4,0.7168,0.8972,0.5481,0.6805,0.8384,0.5007,0.1015,0.8069999999999999
7,smotencw,adaboost,0.4,0.7168,0.8972,0.5481,0.6805,0.8384,0.5007,0.1015,0.8069999999999999
8,smote,xgboost,0.35,0.7429,0.8651,0.5787,0.6935,0.846,0.4541,0.0339,0.804
9,smotenc,xgboost,0.35,0.7429,0.8651,0.5787,0.6935,0.846,0.4541,0.0339,0.804
10,smotecw,xgboost,0.35,0.7429,0.8651,0.5787,0.6935,0.846,0.4541,0.0339,0.804
11,smotencw,xgboost,0.35,0.7429,0.8651,0.5787,0.6935,0.846,0.4541,0.0339,0.804
12,base,xgboost,0.35,0.7544,0.8397,0.5955,0.6968,0.8481,0.4476,0.0044,0.79705
