sampling,model,best_stage1_score,best_acc_cv,best_rec_cv
base,xgboost,0.7926780559923041,0.7553051954299296,0.851938001978247
base,adaboost,0.7934262159121442,0.7366309411303997,0.8881746506014271
smote,xgboost,0.7964276869924259,0.7335442712990609,0.8966354701408138
smote,adaboost,0.7865441034144351,0.7153881288675997,0.9088345622688063
smotenc,xgboost,0.7964276869924259,0.7335442712990609,0.8966354701408138
smotenc,adaboost,0.7865441034144351,0.7153881288675997,0.9088345622688063
cw,xgboost,0.7974612493732508,0.7330921865304455,0.903522399882459
cw,adaboost,0.7893377125600376,0.7383286597396249,0.8802055568880235
smotecw,xgboost,0.7964276869924259,0.7335442712990609,0.8966354701408138
smotecw,adaboost,0.7865441034144351,0.7153881288675997,0.9088345622688063
smotencw,xgboost,0.7964276869924259,0.7335442712990609,0.8966354701408138
smotencw,adaboost,0.7865441034144351,0.7153881288675997,0.9088345622688063
