sampling,model,best_stage2_score,best_acc_cv,best_rec_cv,best_thr_cv
base,xgboost,0.7928077824015379,0.7576422792953234,0.8468551527939346,0.35
base,adaboost,0.7940142481030621,0.7353632125482041,0.8917493315983729,0.35
smote,xgboost,0.796930096813754,0.7449539169197846,0.8781072691868743,0.35
smote,adaboost,0.7899536990498994,0.7291017375867096,0.8956184893386792,0.4125
smotenc,xgboost,0.796930096813754,0.7449539169197846,0.8781072691868743,0.35
smotenc,adaboost,0.7899536990498994,0.7291017375867096,0.8956184893386792,0.4125
cw,xgboost,0.7977870667340818,0.7355066729596791,0.9007668904674772,0.4
cw,adaboost,0.7896634079791075,0.7354844428785365,0.8855186621808772,0.35
smotecw,xgboost,0.796930096813754,0.7449539169197846,0.8781072691868743,0.35
smotecw,adaboost,0.7899536990498994,0.7291017375867096,0.8956184893386792,0.4125
smotencw,xgboost,0.796930096813754,0.7449539169197846,0.8781072691868743,0.35
smotencw,adaboost,0.7899536990498994,0.7291017375867096,0.8956184893386792,0.4125
