feature,n_valid,spearman_corr_target,abs_spearman_corr_target,mean_target0,mean_target1
age,151189,0.520870847835898,0.520870847835898,23.319334946445476,45.730538491067215
agemos,151189,0.520870847835898,0.520870847835898,279.8320193591974,548.7664618931962
age_anthro,151189,0.520870847835898,0.520870847835898,23.319334946445476,45.730538491067215
bmi,150510,0.47143624070697343,0.47143624070697343,18.967989045875033,23.830239616995566
anthro_group,151189,0.43440567526968715,0.43440567526968715,3.2463807104070144,4.0160947583818665
whr,121984,0.324432999711641,0.324432999711641,0.8465280334568612,0.8922357738895526
fe_alcohol_level,30638,0.19514253643997345,0.19514253643997345,0.7408111888111888,1.171824806080075
fe_smoking_level,30740,0.1583737396796799,0.1583737396796799,0.46748897694926606,0.7703345550963113
cu,38013,-0.15818048691715522,0.15818048691715522,5.623756875917078,4.874508617336934
fg1,38013,-0.10332076437206336,0.10332076437206336,1869.971776799269,1670.4042238665766
Total_CHO,38013,-0.10027595399199841,0.10027595399199841,1663.0886058765386,1498.8115914490802
mos_preg,1493,0.08851132120659083,0.08851132120659083,5.67059748427673,6.135746606334842
fg2,38013,-0.08243531387003479,0.08243531387003479,1612.0707543311873,1448.9914601560256
Total_Energy,38013,-0.08217919471807358,0.08217919471807358,9286.244886673028,8588.335277979068
Total_FoodIntake,38013,-0.059474012701021546,0.059474012701021546,4086.327297708826,3869.4139528870287
Total_Iron,38013,-0.058912130896169236,0.058912130896169236,2007.302235438289,1886.632630599743
Total_Calcium,38013,-0.05636562010898644,0.05636562010898644,46.16695554588263,43.931156087321924
Total_Thiamin,38013,-0.05590524413753757,0.05590524413753757,4.0607871846195955,3.8475398839379533
sex_anthro,151189,-0.05579008133086429,0.05579008133086429,1.5374881681861206,1.478474736345034
sex,151189,-0.05579008133086429,0.05579008133086429,1.5374881681861206,1.478474736345034
psc_anthro,151189,0.05033193093198311,0.05033193093198311,45.85795845165147,51.68107586966787
Total_Riboflavin,38013,-0.04709797036987573,0.04709797036987573,3.369843504280719,3.2560249401545307
Total_Protein,38013,-0.04666533696953535,0.04666533696953535,271.7564223393284,261.0047218740192
Total_Niacin,38013,-0.0403905488054294,0.0403905488054294,90.33149400209366,87.17018300597111
fg27,38013,0.037383655861797205,0.037383655861797205,5.756954979196016,7.317645898629327
fg16,38013,0.035772701394410404,0.035772701394410404,233.1659144306858,260.3602180382711
fg3,38013,-0.030398646259705196,0.030398646259705196,146.09720800660938,114.13775149154486
fg9,38013,-0.02760578681374567,0.02760578681374567,222.29544744768904,198.29796999075145
fg8,38013,-0.027166728519592592,0.027166728519592592,634.8358864291597,590.8429229913409
fg14,38013,0.02658092486970056,0.02658092486970056,793.856757977935,833.5366161233225
fg17,38013,0.024291483616594407,0.024291483616594407,109.6095787680148,122.73582495248682
Total_VitaminA,38013,-0.023846663028128257,0.023846663028128257,2044.757067110531,2146.9235479793265
psurec_anthro,151189,0.022450895724271697,0.022450895724271697,4.306242215911921,4.7706792066740125
fg23,38013,-0.01850837709926772,0.01850837709926772,68.80733180761524,66.15058387882083
fg26,38013,-0.01603969059214512,0.01603969059214512,44.529692602802704,44.735849102900765
fg13,38013,0.015977341207044797,0.015977341207044797,139.752134329948,143.93215891914718
fg5,38013,0.015227670379569588,0.015227670379569588,71.88118227027324,66.7098723222806
mos_lactation,4003,-0.014855421846919688,0.014855421846919688,11.13621964097149,11.105851979345955
fg4,38013,-0.014551940963923395,0.014551940963923395,111.80381388127677,107.2750112726807
ethnicity,151189,-0.014297429825245372,0.014297429825245372,0.06519204902107309,0.057827010861010546
fg11,38013,0.013774603372042206,0.013774603372042206,166.8536944416419,170.9397976850272
fg7,38013,-0.013602839340494666,0.013602839340494666,40.23798475859325,38.30732660475451
Total_VitaminC,38013,-0.013446120032349823,0.013446120032349823,218.72187415420106,210.9739260233539
Total_Fat,38013,-0.01283805439473473,0.01283805439473473,170.70696887398145,170.69091294032003
fg18,38013,-0.008824557175302259,0.008824557175302259,79.05979001396766,75.30052888171218
fg10,38013,-0.008367484529996593,0.008367484529996593,412.5404396198757,392.5449525671513
fg21,38013,0.006655610201325337,0.006655610201325337,33.30022454431074,34.062506999316376
provcode_anthro,151189,0.006340914335361206,0.006340914335361206,40.78136800677527,41.13509365654022
strrec_anthro,151189,-0.005982195723895416,0.005982195723895416,308.16879390225677,305.9625767354006
fg6,38013,-0.005753324273002709,0.005753324273002709,59.687066288477354,55.977248465650945
fg12,38013,0.005368244258918031,0.005368244258918031,27.101560043365552,27.007638697368126
regcode_anthro,151189,-0.005195604965424368,0.005195604965424368,12.549036018532357,12.720368329922872
fg25,38013,0.004638620273558598,0.004638620273558598,70.84568708664835,72.07730195500963
fg15,38013,0.004501085624028032,0.004501085624028032,451.0812647654287,450.44057322513544
fg20,38013,-0.0025329053868149935,0.0025329053868149935,146.70326635267395,143.0515264992287
fg24,38013,-0.001420366446313098,0.001420366446313098,121.13233476495958,124.13079704550898
fg19,38013,0.0001206090889942563,0.0001206090889942563,180.00349085148721,177.1140334547707
