feature_1,feature_2,corr,abs_corr
num__age,num__age_anthro,1.0,1.0
num__sex,num__sex_anthro,1.0,1.0
num__age_anthro,num__agemos,0.9999999999999937,0.9999999999999937
num__age,num__agemos,0.9999999999999937,0.9999999999999937
num__sex_anthro,num__psc_anthro,-0.9999780792024283,0.9999780792024283
num__sex,num__psc_anthro,-0.9999780792024283,0.9999780792024283
num__fg11,num__fg13,0.9765299202643528,0.9765299202643528
num__Total_CHO,num__fg1,0.9585389811842105,0.9585389811842105
num__Total_Energy,num__Total_CHO,0.931548689465936,0.931548689465936
num__fg24,num__fg25,0.9139048573880317,0.9139048573880317
num__fg8,num__fg10,0.8896305234667148,0.8896305234667148
num__Total_Niacin,num__Total_Protein,0.8878568702121348,0.8878568702121348
num__Total_Energy,num__fg1,0.8731203092905275,0.8731203092905275
num__Total_Energy,num__Total_Protein,0.8726863024060771,0.8726863024060771
num__fg1,num__fg2,0.848582285800843,0.848582285800843
num__Total_CHO,num__fg2,0.841128362981284,0.841128362981284
num__strrec_anthro,num__regcode_anthro,0.8344863821424651,0.8344863821424651
num__Total_Energy,num__Total_FoodIntake,0.8319478491652003,0.8319478491652003
num__Total_Energy,num__Total_Niacin,0.8214332754191767,0.8214332754191767
num__Total_FoodIntake,num__Total_Protein,0.8104274383930837,0.8104274383930837
num__Total_Calcium,num__Total_Protein,0.8062959198970233,0.8062959198970233
num__fg19,num__fg20,0.8019100972906376,0.8019100972906376
num__Total_Energy,num__Total_Calcium,0.7893391113734578,0.7893391113734578
num__Total_Calcium,num__Total_FoodIntake,0.7822162278741096,0.7822162278741096
num__age,num__mos_lactation,0.7774849253011409,0.7774849253011409
num__mos_lactation,num__age_anthro,0.7774849253011409,0.7774849253011409
num__mos_lactation,num__agemos,0.7774849252580635,0.7774849252580635
num__Total_Energy,num__fg2,0.7654342857045071,0.7654342857045071
num__Total_CHO,num__Total_FoodIntake,0.7618490853237769,0.7618490853237769
num__Total_Protein,num__fg14,0.757640353364251,0.757640353364251
num__Total_Calcium,num__Total_Thiamin,0.7437271321021256,0.7437271321021256
num__Total_FoodIntake,num__Total_Niacin,0.7417313156066335,0.7417313156066335
num__Total_Calcium,num__Total_Niacin,0.7401647991380093,0.7401647991380093
num__Total_Riboflavin,num__Total_VitaminA,0.7393327037209343,0.7393327037209343
num__Total_Energy,num__Total_Thiamin,0.7356822562400019,0.7356822562400019
num__Total_CHO,num__Total_Niacin,0.7302799120149157,0.7302799120149157
num__Total_CHO,num__Total_Protein,0.7259292843379552,0.7259292843379552
num__Total_Niacin,num__Total_Thiamin,0.7155152836187797,0.7155152836187797
num__Total_Protein,num__Total_Thiamin,0.7072620152750566,0.7072620152750566
