feature,mean_abs_shap
num__age,1.1307503
num__bmi,0.41013622
num__sex,0.2124545
num__whr,0.112188615
num__strrec_anthro,0.09688564
num__anthro_group,0.062392894
num__cu,0.02412458
num__provcode_anthro,0.018322023
num__fg9,0.016571706
num__fg16,0.01639958
num__fg6,0.013723641
num__fe_alcohol_level,0.012240139
num__fg3,0.012169049
num__fg4,0.008860272
num__fg19,0.008483347
num__fg26,0.00837248
num__fg24,0.0080026435
num__fg8,0.007700552
num__fg7,0.007356987
num__Total_VitaminC,0.006810584
num__fg17,0.006644032
num__fg23,0.005015337
num__psurec_anthro,0.004489578
num__fe_smoking_level,0.0043108487
num__mos_preg,0.0041278284
num__fg15,0.0038249856
num__Total_Fat,0.0038184056
num__fg18,0.0037748632
num__fg27,0.0036740967
num__fg12,0.0034239572
num__Total_Riboflavin,0.0029846013
num__Total_Iron,0.0029300172
num__fg11,0.0022196495
num__fg5,0.0020247113
num__Total_Energy,0.0019810963
num__ethnicity,0.0017526782
num__fg21,0.0013289131
