model,method,selected_threshold,cal_accuracy,cal_recall,cal_f1,cal_auc,cal_logloss,cal_ece,rank_acc,rank_recall,rank_logloss,rank_ece,rank_mean,calibration_status,model_key,model_family,compute_type,balancing_method
xgboost,base,0.35,0.7623247199929447,0.8556809236420887,0.7076055115547358,0.8565384586427065,0.435989374843404,0.011694265624625,14.0,6.0,1.0,6.0,6.75,ok,xgboost,xgboost,gpu_or_gpu_first,none
xgboost,venn_abers,0.35,0.7661169415292354,0.8436106008921543,0.7079938339572781,0.8560933958162944,0.4385296543475519,0.0097969342838753,9.0,13.0,3.0,3.0,7.0,ok,xgboost,xgboost,gpu_or_gpu_first,none
catboost,isotonic,0.35,0.763294823176647,0.853319338756232,0.7078798432738355,0.8552717802457285,0.4386184499217541,0.0115436340538307,12.0,9.0,4.0,5.0,7.5,ok,catboost,catboost,gpu_or_gpu_first,none
xgboost,isotonic,0.35,0.7661169415292354,0.842823405930202,0.7078007933010136,0.8560037628086493,0.440936299178954,0.0108077486957104,9.0,14.0,7.0,4.0,8.5,ok,xgboost,xgboost,gpu_or_gpu_first,none
catboost,venn_abers,0.35,0.7632066319781285,0.8535817370768827,0.7078663910347078,0.8552704208495403,0.4387634753103794,0.0129163527996274,13.0,8.0,5.0,9.0,8.75,ok,catboost,catboost,gpu_or_gpu_first,none
catboost,base,0.35,0.7615309992062792,0.8546313303594857,0.7066608808852246,0.8558722150851986,0.4366733387191942,0.0137961512270206,15.0,7.0,2.0,11.0,8.75,ok,catboost,catboost,gpu_or_gpu_first,none
random_forest,venn_abers,0.4,0.7696445894699709,0.8228811335607452,0.7059882935614588,0.8539742191558581,0.4392914025660347,0.0174331528838361,8.0,17.0,6.0,13.0,11.0,ok,random_forest,random_forest,gpu_or_gpu_first,class_weight=balanced_subsample
cpu_adaboost,venn_abers,0.4,0.7747596789840374,0.7777486224088166,0.6988917708087715,0.8517555974358024,0.4426527949242627,0.0126862778594042,1.0,25.0,11.0,8.0,11.25,ok,cpu_adaboost,adaboost,cpu,none
cpu_adaboost,isotonic,0.4,0.7747596789840374,0.7777486224088166,0.6988917708087715,0.8516485362718972,0.4441830682049441,0.0122377716694643,1.0,25.0,14.0,7.0,11.75,ok,cpu_adaboost,adaboost,cpu,none
random_forest,isotonic,0.4,0.7697327806684893,0.8228811335607452,0.7060677698975572,0.8539086718601643,0.4411889915961055,0.018352535769762,7.0,17.0,8.0,15.0,11.75,ok,random_forest,random_forest,gpu_or_gpu_first,class_weight=balanced_subsample
cpu_logistic_regression,venn_abers,0.35,0.7536819825381427,0.8611912883757544,0.7015068932350113,0.8489102417884802,0.4458745602952811,0.0138977888469287,16.0,4.0,15.0,12.0,11.75,ok,cpu_logistic_regression,logistic_regression,cpu,class_weight=balanced
cpu_logistic_regression,isotonic,0.35,0.7535937913396243,0.8609288900551036,0.7013681060282172,0.8488312399561536,0.4461478758573428,0.0135857702797524,17.0,5.0,16.0,10.0,12.0,ok,cpu_logistic_regression,logistic_regression,cpu,class_weight=balanced
cpu_knn,isotonic,0.35,0.7395713907752006,0.8454473891367095,0.6857507715228265,0.8278350869776537,0.4719980083835974,0.0070923998043821,22.0,10.0,19.0,1.0,13.0,ok,cpu_knn,knn,cpu,none
cpu_adaboost,platt,0.4,0.774671487785519,0.7717134610338494,0.6971672395401209,0.8526281380789598,0.4417857565391613,0.0176168560067527,3.0,27.0,10.0,14.0,13.5,ok,cpu_adaboost,adaboost,cpu,none
cpu_knn,venn_abers,0.35,0.7395713907752006,0.8454473891367095,0.6857507715228265,0.8278350869776537,0.4720024407036458,0.0072532853874964,22.0,10.0,20.0,2.0,13.5,ok,cpu_knn,knn,cpu,none
random_forest,platt,0.4,0.7733486198077432,0.7958541065337181,0.7024085224641038,0.8543363762429412,0.4416910829579624,0.0226942148348986,5.0,23.0,9.0,19.0,14.0,ok,random_forest,random_forest,gpu_or_gpu_first,class_weight=balanced_subsample
catboost,platt,0.35,0.7743187229914454,0.8050380477564943,0.7056929269695227,0.8558722150851986,0.4436617600815807,0.0344733618829818,4.0,20.0,13.0,23.0,15.0,ok,catboost,catboost,gpu_or_gpu_first,none
xgboost,platt,0.35,0.7732604286092248,0.8005772763054316,0.7035627810446212,0.8565384586427065,0.4428806412880849,0.0338692179712352,6.0,22.0,12.0,22.0,15.5,ok,xgboost,xgboost,gpu_or_gpu_first,none
