model,method,selected_threshold,cal_accuracy,cal_recall,cal_f1,cal_auc,cal_logloss,cal_ece,rank_acc,rank_recall,rank_logloss,rank_ece,rank_mean
xgboost,venn_abers,0.35,0.757826968868507,0.8669640514300708,0.7064357494120163,0.8567614344738969,0.4359937177479765,0.010373914185289334,16.0,4.0,2.0,4.0,6.5
catboost,base,0.35,0.7646176911544228,0.8530569404355812,0.7089739395921928,0.8557829829251473,0.43674855105501953,0.007918013975413316,12.0,10.0,3.0,2.0,6.75
catboost,isotonic,0.35,0.7593262192433196,0.8653896615061664,0.7073458445040215,0.8554398051002311,0.4408909480114378,0.007258176849026191,14.0,7.0,9.0,1.0,7.75
xgboost,isotonic,0.35,0.7699973542640445,0.8268171083705065,0.7072951739618406,0.8565830050101068,0.4380603330392249,0.009851675741134658,9.0,17.0,4.0,3.0,8.25
xgboost,base,0.35,0.764441308757386,0.853319338756232,0.708882833787466,0.8573720822129354,0.43479436716720665,0.01200398563975978,13.0,9.0,1.0,10.0,8.25
catboost,venn_abers,0.35,0.7590616456477643,0.8653896615061664,0.7071183533447685,0.8554093929675577,0.44074070129087645,0.01046422333280759,15.0,7.0,8.0,5.0,8.75
random_forest,venn_abers,0.4,0.7718493694329306,0.8207819469955392,0.7074522220965735,0.8552497684843721,0.43883342856696606,0.013158818741294437,5.0,20.0,5.0,12.0,10.5
random_forest,isotonic,0.4,0.7716729870358938,0.8197323537129363,0.7070272716985402,0.85521757867976,0.4401086105776381,0.013119911391646144,6.0,21.0,7.0,11.0,11.25
cpu_logistic_regression,isotonic,0.35,0.7530646441485139,0.8656520598268171,0.7020642689934029,0.8488888922970619,0.4457782910970214,0.011030324225777946,18.0,5.0,16.0,8.0,11.75
cpu_logistic_regression,venn_abers,0.35,0.7529764529499956,0.8656520598268171,0.7019895733588679,0.8490407786788677,0.4456453276683719,0.011483002066554972,19.0,5.0,15.0,9.0,12.0
cpu_adaboost,venn_abers,0.4,0.7706146926536732,0.82104434531619,0.706400270910938,0.8519859802334034,0.441349710463325,0.01582799393040849,7.0,18.0,10.0,14.0,12.25
random_forest,platt,0.4,0.7724667078225593,0.8042508527945421,0.703788748564868,0.8558625947429431,0.43929362693664625,0.019707549022442813,4.0,23.0,6.0,18.0,12.75
cpu_adaboost,isotonic,0.4,0.7706146926536732,0.82104434531619,0.706400270910938,0.8519138102383307,0.442489187715183,0.015624425898687495,7.0,18.0,13.0,13.0,12.75
cpu_knn,venn_abers,0.35,0.7528000705529588,0.8478089740225663,0.6974635725849972,0.8444200690378068,0.4519645315751487,0.010702292088444783,20.0,11.0,18.0,6.0,13.75
cpu_knn,isotonic,0.35,0.7528000705529588,0.8478089740225663,0.6974635725849972,0.8440964281760583,0.45196724395648263,0.010782601647785692,20.0,11.0,19.0,7.0,14.25
cpu_adaboost,platt,0.4,0.7759943557632948,0.7811598005772763,0.7009653873322346,0.8524974269070098,0.44198066530299757,0.02025483766151096,2.0,26.0,11.0,19.0,14.5
xgboost,platt,0.35,0.7777581797336626,0.8013644712673839,0.7079276773296245,0.8573720822129354,0.44212193769270036,0.0362604935079286,1.0,24.0,12.0,24.0,15.25
catboost,platt,0.35,0.7744951053884822,0.8011020729467332,0.7048366616645504,0.8557829829251473,0.44399284172985515,0.03608625953507755,3.0,25.0,14.0,23.0,16.25
cpu_logistic_regression,platt,0.35,0.7656759855366434,0.8081868276043034,0.6986503345809232,0.8493425123481974,0.4492495687234976,0.02701848948876416,10.0,22.0,17.0,20.0,17.25
cpu_knn,base,0.35,0.7528000705529588,0.8478089740225663,0.6974635725849972,0.8445193572440202,0.48488222947773096,0.015944794073551448,20.0,11.0,24.0,15.0,17.5
random_forest,base,0.4,0.7374548020107593,0.908422986092889,0.6993233006766993,0.8558625947429431,0.4688714109149385,0.09804684146959208,27.0,2.0,21.0,25.0,18.75
cpu_naive_bayes,isotonic,0.35,0.7441573330981568,0.8310154815009184,0.6858689767190038,0.8244826068394778,0.47943624986366973,0.01750071777993938,25.0,14.0,23.0,16.0,19.5
cpu_naive_bayes,venn_abers,0.35,0.74398095070112,0.8310154815009184,0.6857204720147234,0.8245130015439953,0.47516799247148844,0.019471297197899286,26.0,14.0,22.0,17.0,19.75
cpu_knn,platt,0.35,0.7654996031396066,0.7704014694305956,0.6883132106435353,0.8445193572440202,0.45810833351881325,0.031415269840408364,11.0,28.0,20.0,21.0,20.0
cpu_adaboost,base,0.4,0.7490960402151865,0.8879559170821306,0.7040466035576823,0.8524974269070098,0.49988824409650545,0.11663919627989193,23.0,3.0,27.0,27.0,20.0
cpu_logistic_regression,base,0.35,0.7229032542552253,0.9191813172395696,0.6903823413480489,0.8493425123481974,0.4858277635741723,0.10722364378338094,28.0,1.0,25.0,26.0,20.0
cpu_naive_bayes,platt,0.35,0.7576505864714701,0.7795854106533718,0.6837744533947065,0.8236549436986897,0.48639248458177686,0.035256916312981015,17.0,27.0,26.0,22.0,23.0
cpu_naive_bayes,base,0.35,0.7442455242966752,0.8291786932563632,0.6854663774403471,0.8236549436986897,0.8209806810861481,0.1610776636250264,24.0,16.0,28.0,28.0,24.0
