feature,weight
num__age <= -0.92,-0.2706589466281092
num__bmi <= -0.94,-0.13856882491197606
-1.03 < num__sex <= 0.97,-0.06942001893246658
num__strrec_anthro > 0.76,0.03635858560316171
num__anthro_group <= -0.42,-0.0361964330133572
num__ethnicity <= -0.26,-0.014612693844391261
num__fe_alcohol_level <= -0.90,-0.013270782201182914
num__psurec_anthro <= -0.29,-0.003735369556034761
num__fe_smoking_level <= -0.64,-0.0033053506177424
num__cu > 0.51,0.0029847407201168976
0.13 < num__mos_preg <= 0.70,0.0029712886897125413
-0.17 < num__provcode_anthro <= 0.69,0.0029006546141788817
