model,method,cal_logloss,cal_ece,cal_auc,cal_f1,logloss_rank,ece_rank,avg_rank
catboost,base,0.4363967027845032,0.01122920400244415,0.856095574335827,0.680582399175364,2.0,7.0,4.5
catboost,venn_abers,0.43963044504905285,0.009928561520152392,0.8550542245711349,0.6756932691055852,8.0,3.0,5.5
catboost,isotonic,0.44009240158049007,0.009109343474728122,0.855003491208262,0.6754397394136807,9.0,2.0,5.5
lightgbm,venn_abers,0.43749472567483244,0.01167029923083667,0.85633815684281,0.6743823146944083,3.0,9.0,6.0
random_forest,base,0.4381427795442392,0.0116609184160114,0.854976808701028,0.6822742474916388,5.0,8.0,6.5
lightgbm,isotonic,0.4393400998199033,0.010769471449213027,0.8562748752074301,0.6744700221095071,7.0,6.0,6.5
lightgbm,base,0.43553506034811496,0.012960811356898128,0.856818006269117,0.6805662805662805,1.0,14.0,7.5
xgboost,base,0.43784300059026643,0.011874171294057084,0.8545582192439749,0.6721905748316934,4.0,11.0,7.5
adaboost,isotonic,0.44528675270343976,0.00901486599178728,0.8500584261510461,0.6528891910265125,18.0,1.0,9.5
adaboost,venn_abers,0.4443902231508363,0.010325157119671064,0.850153130752163,0.6708414872798435,16.0,4.0,10.0
random_forest,isotonic,0.4404993288017292,0.01282482558162001,0.854226840280847,0.657247656568401,10.0,13.0,11.5
random_forest,venn_abers,0.4391242805787759,0.014180206060881355,0.8542607729010854,0.6576123862556024,6.0,18.0,12.0
xgboost,venn_abers,0.4434162994812585,0.013398389128331679,0.8540301983937655,0.6781901372648703,13.0,15.0,14.0
xgboost,isotonic,0.4448456866769118,0.012695270992860837,0.8540280547305453,0.6781901372648703,17.0,12.0,14.5
adaboost,platt,0.44382702869710944,0.013801097593007943,0.8506411191274433,0.6704990854455187,14.0,16.0,15.0
naive_bayes,isotonic,0.48625381783761373,0.010743765790214856,0.814930373818615,0.6521903800025249,29.0,5.0,17.0
log_reg,isotonic,0.44621595441700374,0.013894590101168804,0.848825645517994,0.6591700133868809,20.0,17.0,18.5
log_reg,venn_abers,0.44618002072263946,0.015023979820734083,0.8488298979881216,0.659708283152683,19.0,19.0,19.0
naive_bayes,venn_abers,0.48623697533209503,0.011682265693405003,0.8153446933773842,0.6525359576078729,28.0,10.0,19.0
lightgbm,platt,0.4429459530481474,0.03591341579692386,0.856818006269117,0.6701003697834126,11.0,28.0,19.5
catboost,platt,0.4433806106240394,0.034168063470477184,0.856095574335827,0.6709677419354839,12.0,27.0,19.5
random_forest,platt,0.44405707338551514,0.03127052106589907,0.854976808701028,0.6746229508196722,15.0,25.0,20.0
knn,venn_abers,0.44992118386431934,0.015934714559672162,0.8455158469344989,0.6568899458316818,23.0,21.0,22.0
knn,isotonic,0.4506562977130699,0.015602402780723798,0.8454242619733526,0.6561714512501654,24.0,20.0,22.0
log_reg,base,0.44851389237101064,0.02541964594536445,0.8492037493680551,0.6605210420841683,22.0,23.0,22.5
knn,base,0.4508055679105481,0.016843903186017868,0.845938061448054,0.6523892383884353,25.0,22.0,23.5
xgboost,platt,0.44644077683464894,0.03605643095619835,0.8545582192439749,0.6640116819328289,21.0,29.0,25.0
knn,platt,0.4550404024205435,0.03132489806192433,0.845938061448054,0.6533885844138484,26.0,26.0,26.0
naive_bayes,platt,0.49970855403551356,0.027727347053309065,0.8152608290894612,0.6588665447897624,30.0,24.0,27.0
log_reg,platt,0.4580624781829693,0.04923432902694317,0.8492037493680551,0.652511229073091,27.0,30.0,28.5
adaboost,base,0.514890178083958,0.12836026174320464,0.8506411191274433,0.6708349615735313,31.0,31.0,31.0
naive_bayes,base,1.1127140778800362,0.19541560270511532,0.8152608290894612,0.6756080927483519,32.0,32.0,32.0
