variable,identifier_like_name,dropped_bp_guard,dropped_dict_rule,dropped_manual_rule,dropped_behavior_purge,dropped_height_weight_rule,dropped_fallback_id_rule,kept_after_base_filters
ever_smk,False,False,False,False,True,False,False,False
strrec,False,False,False,True,False,False,False,False
smoke_status,False,False,False,False,True,False,False,False
sex,False,False,False,False,False,False,False,True
regcode,False,False,False,True,False,False,False,False
psurec,False,False,False,True,False,False,False,False
psc,False,False,False,True,False,False,False,False
provcode,False,False,False,True,False,False,False,False
member_code,True,False,True,False,False,False,False,False
hhnum,True,False,True,False,False,False,False,False
finalwgt4,False,False,False,True,False,False,False,False
finalwgt1,False,False,False,True,False,False,False,False
age,False,False,False,False,False,False,False,True
drnk_30d_num,False,False,False,False,True,False,False,False
drnk_30days,False,False,False,False,True,False,False,False
current_smoking,False,False,False,False,True,False,False,False
csc,False,False,False,True,False,False,False,False
con_alcohol,False,False,False,False,True,False,False,False
binge_drinking,False,False,False,False,True,False,False,False
Ave_SBP,False,True,False,False,False,False,False,False
Ave_DBP,False,True,False,False,False,False,False,False
alcohol_status,False,False,False,False,True,False,False,False
alcohol,False,False,False,False,True,False,False,False
Total_Energy,False,False,False,False,False,False,False,True
fg6,False,False,False,False,False,False,False,True
fg7,False,False,False,False,False,False,False,True
fg8,False,False,False,False,False,False,False,True
fg9,False,False,False,False,False,False,False,True
Total_Calcium,False,False,False,False,False,False,False,True
Total_CHO,False,False,False,False,False,False,False,True
fg5,False,False,False,False,False,False,False,True
Total_Fat,False,False,False,False,False,False,False,True
Total_FoodIntake,False,False,False,False,False,False,False,True
Total_Iron,False,False,False,False,False,False,False,True
Total_Niacin,False,False,False,False,False,False,False,True
Total_Protein,False,False,False,False,False,False,False,True
Total_Riboflavin,False,False,False,False,False,False,False,True
Total_Thiamin,False,False,False,False,False,False,False,True
Total_VitaminA,False,False,False,False,False,False,False,True
Total_VitaminC,False,False,False,False,False,False,False,True
wgts,False,False,False,True,False,False,False,False
fg19,False,False,False,False,False,False,False,True
fg1,False,False,False,False,False,False,False,True
fg10,False,False,False,False,False,False,False,True
fg11,False,False,False,False,False,False,False,True
fg12,False,False,False,False,False,False,False,True
fg13,False,False,False,False,False,False,False,True
fg14,False,False,False,False,False,False,False,True
fg15,False,False,False,False,False,False,False,True
fg16,False,False,False,False,False,False,False,True
fg17,False,False,False,False,False,False,False,True
fg18,False,False,False,False,False,False,False,True
cu,False,False,False,False,False,False,False,True
fg2,False,False,False,False,False,False,False,True
fg20,False,False,False,False,False,False,False,True
fg21,False,False,False,False,False,False,False,True
fg23,False,False,False,False,False,False,False,True
fg24,False,False,False,False,False,False,False,True
fg25,False,False,False,False,False,False,False,True
fg26,False,False,False,False,False,False,False,True
fg27,False,False,False,False,False,False,False,True
fg3,False,False,False,False,False,False,False,True
fg4,False,False,False,False,False,False,False,True
mos_lactation,False,False,False,False,False,False,False,True
weight,False,False,False,False,False,True,False,False
waist,False,False,False,False,False,True,False,False
strrec_anthro,False,False,False,False,False,False,False,True
sex_anthro,False,False,False,False,False,False,False,True
regcode_anthro,False,False,False,False,False,False,False,True
psurec_anthro,False,False,False,False,False,False,False,True
psc_anthro,False,False,False,False,False,False,False,True
provcode_anthro,False,False,False,False,False,False,False,True
mos_preg,False,False,False,False,False,False,False,True
age_anthro,False,False,False,False,False,False,False,True
hip,False,False,False,False,False,True,False,False
height,False,False,False,False,False,True,False,False
fwgt,False,False,False,True,False,False,False,False
ethnicity,False,False,False,False,False,False,False,True
anthro_group,False,False,False,False,False,False,False,True
agemos,False,False,False,False,False,False,False,True
