stage,variable,identifier_like,bp_like,train_nunique_ratio,dropped_bp_guard,dropped_dict_rule,dropped_id_rule,kept_after_base_filters
engineered,fe_age_x_bmi,False,False,,False,False,False,True
engineered,fe_fat_density,False,False,,False,False,False,True
final_model,num__Total_CHO,False,False,,False,False,False,True
final_model,num__Total_Calcium,False,False,,False,False,False,True
final_model,num__Total_Fat,False,False,,False,False,False,True
final_model,num__Total_Iron,False,False,,False,False,False,True
final_model,num__Total_Riboflavin,False,False,,False,False,False,True
final_model,num__Total_VitaminC,False,False,,False,False,False,True
final_model,num__age,False,False,,False,False,False,True
final_model,num__anthro_group,False,False,,False,False,False,True
final_model,num__bmi,False,False,,False,False,False,True
final_model,num__cu,False,False,,False,False,False,True
final_model,num__ethnicity,False,False,,False,False,False,True
final_model,num__fe_alcohol_level,False,False,,False,False,False,True
final_model,num__fe_smoking_level,False,False,,False,False,False,True
final_model,num__fg10,False,False,,False,False,False,True
final_model,num__fg11,False,False,,False,False,False,True
final_model,num__fg12,False,False,,False,False,False,True
final_model,num__fg15,False,False,,False,False,False,True
final_model,num__fg16,False,False,,False,False,False,True
final_model,num__fg17,False,False,,False,False,False,True
final_model,num__fg18,False,False,,False,False,False,True
final_model,num__fg19,False,False,,False,False,False,True
final_model,num__fg21,False,False,,False,False,False,True
final_model,num__fg23,False,False,,False,False,False,True
final_model,num__fg24,False,False,,False,False,False,True
final_model,num__fg26,False,False,,False,False,False,True
final_model,num__fg27,False,False,,False,False,False,True
final_model,num__fg3,False,False,,False,False,False,True
final_model,num__fg4,False,False,,False,False,False,True
final_model,num__fg5,False,False,,False,False,False,True
final_model,num__fg6,False,False,,False,False,False,True
final_model,num__fg7,False,False,,False,False,False,True
final_model,num__fg9,False,False,,False,False,False,True
final_model,num__mos_lactation,False,False,,False,False,False,True
final_model,num__mos_preg,False,False,,False,False,False,True
final_model,num__provcode_anthro,False,False,,False,False,False,True
final_model,num__psc_anthro,False,False,,False,False,False,True
final_model,num__psurec_anthro,False,False,,False,False,False,True
final_model,num__regcode_anthro,False,False,,False,False,False,True
final_model,num__whr,False,False,,False,False,False,True
raw_base,Ave_DBP,False,True,,True,False,False,False
raw_base,Ave_SBP,False,True,,True,False,False,False
raw_base,Total_CHO,False,False,0.08737432912540631,False,False,False,True
raw_base,Total_Calcium,False,False,0.06404490135308791,False,False,False,True
raw_base,Total_Energy,False,False,0.08830032504346512,False,False,False,True
raw_base,Total_Fat,False,False,0.08530501171668305,False,False,False,True
raw_base,Total_FoodIntake,False,False,0.0879601632776476,False,False,False,True
