model,method,cal_logloss,cal_ece,cal_auc,cal_f1,logloss_rank,ece_rank,avg_rank
lightgbm,base,0.46362791246947105,0.011309675054077779,0.8280205225602604,0.6661780872114328,1.0,9.0,5.0
random_forest,base,0.4639239641941254,0.012761042262218464,0.8275912670715762,0.6690725369902563,2.0,11.0,6.5
xgboost,isotonic,0.46524767364181807,0.01097012091592639,0.8270205646666858,0.670686120824792,7.0,8.0,7.5
xgboost,venn_abers,0.4653468598007713,0.010744953501604575,0.827016085630527,0.670686120824792,8.0,7.0,7.5
lightgbm,isotonic,0.46503568464977846,0.013498924017088727,0.8273160764842307,0.6715884734460585,5.0,13.0,9.0
catboost,base,0.4640740836414342,0.015471875327172592,0.827372874845482,0.6609209554296971,3.0,17.0,10.0
log_reg,venn_abers,0.4738404008171766,0.007498255672000256,0.8220205486327821,0.6626125030406227,18.0,3.0,10.5
xgboost,base,0.4645404687029756,0.015701336525784707,0.8272684279050158,0.6697269871949746,4.0,18.0,11.0
random_forest,venn_abers,0.46524729619715616,0.014489158721125758,0.8279728739810454,0.6712213831954932,6.0,16.0,11.0
lightgbm,venn_abers,0.4660515678361249,0.013598978160408875,0.8274508484165893,0.6722808682244099,9.0,14.0,11.5
random_forest,isotonic,0.46625781466730876,0.013731509363053609,0.8278368646495924,0.6707463402927766,10.0,15.0,12.5
log_reg,isotonic,0.4808768930169135,0.0081778386319848,0.8217409835782152,0.6626125030406227,22.0,4.0,13.0
knn,venn_abers,0.48044088076208313,0.00939963000088339,0.8149738047840149,0.6576119050431085,21.0,6.0,13.5
knn,isotonic,0.48268870491402077,0.008455843092710842,0.8149836342641457,0.6576119050431085,24.0,5.0,14.5
adaboost,isotonic,0.47785694849820054,0.012517576560463874,0.8252372808618488,0.652452025586354,20.0,10.0,15.0
naive_bayes,isotonic,0.5141986724397102,0.004310263105842522,0.7799714268863748,0.6224953902888752,28.0,2.0,15.0
naive_bayes,venn_abers,0.5142487218694997,0.0040866968793892835,0.7801305459530288,0.6227456753772543,29.0,1.0,15.0
catboost,isotonic,0.46872896759638805,0.016984141316261397,0.8266127980946704,0.669547473292522,12.0,19.0,15.5
adaboost,venn_abers,0.4772188528383448,0.012799727955382192,0.8253216505663036,0.652994873077404,19.0,12.0,15.5
adaboost,platt,0.46828808050220294,0.01895359111851714,0.8255830380538912,0.6537982565379825,11.0,21.0,16.0
catboost,venn_abers,0.4690178447439559,0.017707526985624143,0.8266338164511198,0.6695433297375045,13.0,20.0,16.5
random_forest,platt,0.4696863029861049,0.0293899647101711,0.8275912670715762,0.657271139935146,14.0,23.0,18.5
lightgbm,platt,0.469843077602255,0.032592237631190915,0.8280205225602604,0.6554537467051588,15.0,25.0,20.0
catboost,platt,0.470568206304871,0.030724895098507513,0.827372874845482,0.6528810994830412,16.0,24.0,20.0
xgboost,platt,0.4714421647026608,0.032649705523926396,0.8272684279050158,0.6552926525529266,17.0,26.0,21.5
knn,base,0.48255236393111006,0.02260244188200018,0.8151555455974945,0.620249800690938,23.0,22.0,22.5
knn,platt,0.48763051821640097,0.03946150644189396,0.8151555455974945,0.6272251308900524,25.0,27.0,26.0
log_reg,base,0.4878767463498586,0.05946027678896618,0.8236555362560025,0.6037052514277754,26.0,29.0,27.5
log_reg,platt,0.496911777221328,0.07609404279270351,0.8236555362560025,0.5895066116877578,27.0,30.0,28.5
naive_bayes,platt,0.530710509456211,0.05727983503717118,0.7789463898759422,0.5662316023326853,31.0,28.0,29.5
adaboost,base,0.5187415802830868,0.10832005400377272,0.8255830380538912,0.654988197291589,30.0,31.0,30.5
naive_bayes,base,0.7440028952454887,0.13775654723873862,0.7789463898759422,0.6219542210189515,32.0,32.0,32.0
