feature_rule,mean_abs_weight
num__age <= -0.88,0.3955483522936523
-0.23 < num__age <= 0.79,0.1937852560860746
-0.88 < num__age <= -0.23,0.18965768409654968
num__sex <= -1.03,0.0738243793146147
-1.03 < num__sex <= 0.97,0.07271266382301063
num__Total_VitaminC <= -0.56,0.0147306677281969
num__cu <= -0.63,0.01452694239512329
-0.88 < num__smoke_alcohol_risk <= -0.47,0.014078642051903826
-0.23 < num__fg9 <= 0.28,0.013850351114473405
-0.46 < num__Total_Iron <= -0.15,0.013254908494247547
num__fg17 <= -0.58,0.01281359721158837
num__fg16 > 0.34,0.011916968586003369
num__fg26 <= -0.57,0.01177869536241886
-0.37 < num__fg17 <= 0.25,0.011220669609220975
num__Total_Fat > 0.39,0.011161683479846248
num__fg5 > -0.06,0.010921573767451218
num__fg17 > 0.25,0.01081447499259245
num__fg7 <= -0.59,0.010717561600538786
-0.19 < num__Total_VitaminC <= 0.31,0.01071610285240699
num__fg10 <= -0.51,0.01052063451198208
num__Total_CHO > 0.47,0.010055979585533455
num__Total_Fat <= -0.61,0.009962590216829544
-0.57 < num__fg9 <= -0.23,0.009922362983109844
-0.24 < num__fg24 <= 0.17,0.009634629687256643
num__fg23 > 0.15,0.009600352124470113
num__fg21 <= -0.16,0.008980009710507969
-0.49 < num__fg24 <= -0.24,0.00871100777036846
num__fg27 > -0.05,0.008692822361069205
num__fg19 <= -0.52,0.008614378051559696
-0.15 < num__Total_Iron <= 0.24,0.008515067551027915
-0.32 < num__fg5 <= -0.06,0.008097574423455713
-0.67 < num__fg16 <= -0.23,0.007877584515404039
num__csc <= -0.70,0.007649509137488854
num__fg18 <= -0.72,0.007538750867448802
num__Total_Riboflavin <= -0.51,0.007386835474963628
-0.59 < num__fg15 <= -0.15,0.007385211070684152
num__fg16 <= -0.67,0.0068951133358032685
num__fg5 <= -0.32,0.006460393630382951
num__fg23 <= -0.44,0.006411831313439123
num__fg6 > 0.27,0.006189072481055907
-0.56 < num__Total_VitaminC <= -0.19,0.005960516126908881
-0.15 < num__Total_Riboflavin <= 0.30,0.005944454728583251
num__fg12 <= -0.27,0.005803690907770057
num__fg27 <= -0.17,0.0056085816131809865
num__fg11 <= -0.35,0.0054844163706523645
num__smoke_alcohol_risk <= -0.88,0.00537452552503635
-0.20 < num__fg23 <= 0.15,0.005363554874131608
-0.63 < num__cu <= -0.05,0.0053561605521792125
-0.21 < num__fg4 <= 0.32,0.0053544171741578645
num__Total_Iron > 0.24,0.004553012593444646
num__Total_CHO <= -0.61,0.004534544653613028
num__fg4 > 0.32,0.004519838061729508
-0.57 < num__fg26 <= -0.20,0.004323662951117443
-0.61 < num__Total_Fat <= -0.15,0.004147791146782569
-0.51 < num__fg10 <= -0.16,0.0037534932706966254
num__fg3 <= -0.41,0.003672805100138654
-0.70 < num__csc <= 0.25,0.003563437663636084
num__fg19 > 0.16,0.0032895237507991493
-0.09 < num__Total_CHO <= 0.47,0.002733203748956399
-0.51 < num__Total_Riboflavin <= -0.15,0.0024073505924322156
-0.26 < num__fg19 <= 0.16,0.0016973714526919848
num__fg24 <= -0.49,0.0015510647686217763
