feature,mean_abs_shap
num__age,1.451257176283847
num__sex,0.15510149696217387
num__smoke_alcohol_risk,0.06483253732091467
num__cu,0.044930306417239815
num__fg3,0.022811097837782075
num__fg9,0.02100690141688677
num__csc,0.020789024416102968
num__fg24,0.019233495987256738
num__fg15,0.015441920797222865
num__fg16,0.012907718624932934
num__Total_Riboflavin,0.011535014941048227
num__Total_Fat,0.011422148219026214
num__fg6,0.011220864175933288
num__fg26,0.01109658382508756
num__fg7,0.009378263741727861
num__fg5,0.009161227346022744
num__fg17,0.008879635665794762
num__Total_Iron,0.0073137760004467305
num__Total_CHO,0.007099864688780539
num__fg19,0.0070470513415767195
num__fg10,0.0060980357728515
num__Total_VitaminC,0.005798995695819855
num__fg18,0.005594884903376109
num__fg27,0.005492987930414411
num__fg23,0.005185132763421305
num__fg4,0.003749473644539226
num__fg21,0.003567927079783836
num__fg11,0.003041331033199995
num__fg12,0.0017723374198184197
