model,candidate_rank,params,valid_auc,valid_logloss,valid_f1,valid_stage_score
adaboost,2,{'learning_rate': 0.2784808069643497},0.8251275516817016,0.518775229423811,0.6578060651441408,0.560655800856655
adaboost,3,{'learning_rate': 0.28069710175773693},0.8251826210885418,0.5188428893007656,0.6576745347820657,0.5606437787953158
adaboost,1,{'learning_rate': 0.2915326698352959},0.8249548149853093,0.5187983969644316,0.6517081827977436,0.5595521645298687
catboost,3,"{'depth': 6, 'l2_leaf_reg': 8.226513158087139, 'learning_rate': 0.14315037187548077, 'random_strength': 0.06973282906850563}",0.8292272991074356,0.4627683764752894,0.6644452671849932,0.6049562256524821
catboost,1,"{'depth': 6, 'l2_leaf_reg': 1.9029159695644393, 'learning_rate': 0.10079383606136103, 'random_strength': 0.09274409444053892}",0.8291676202518267,0.46316519938419876,0.6647273627529863,0.6046610850958354
catboost,2,"{'depth': 5, 'l2_leaf_reg': 1.7382161978385833, 'learning_rate': 0.1294916282019219, 'random_strength': 0.08693166460120834}",0.8289252277265924,0.4631069275987096,0.6658423493044823,0.6046267308031681
knn,3,"{'n_neighbors': 128, 'p': 1, 'weights': 'uniform'}",0.815682695305895,0.48159632624105525,0.6198402130492676,0.5715412988945465
knn,2,"{'n_neighbors': 132, 'p': 1, 'weights': 'uniform'}",0.8156245413151907,0.48162559516100467,0.6194383296644653,0.5714023741521572
knn,1,"{'n_neighbors': 134, 'p': 1, 'weights': 'uniform'}",0.815477544338388,0.4817191422119882,0.6190317640007991,0.5711289093901162
lightgbm,1,"{'bagging_fraction': 0.5478435426378806, 'feature_fraction': 0.7224341953661177, 'learning_rate': 0.15691373194687436, 'min_child_samples': 57, 'min_split_gain': 0.22978479996833417, 'num_leaves': 17, 'reg_lambda': 0.0010091208397039907}",0.829643473950711,0.4626993667072095,0.668952847519902,0.6060968443836497
lightgbm,3,"{'bagging_fraction': 0.5408994142264762, 'feature_fraction': 0.8585050081710917, 'learning_rate': 0.19941532084927882, 'min_child_samples': 43, 'min_split_gain': 0.5216125504541953, 'num_leaves': 16, 'reg_lambda': 0.002217305530498063}",0.8295665597649233,0.462574513305686,0.6675259313815749,0.6058932901581794
lightgbm,2,"{'bagging_fraction': 0.4998106166494431, 'feature_fraction': 0.6941953459604622, 'learning_rate': 0.11160623387301576, 'min_child_samples': 8, 'min_split_gain': 1.5016197871564807, 'num_leaves': 25, 'reg_lambda': 0.38464268670039564}",0.8291686397329343,0.4628637802971819,0.667236328125,0.605249442743657
log_reg,1,"{'C': 0.008698702256204161, 'class_weight': None, 'penalty': 'l1', 'solver': 'liblinear'}",0.823742455894263,0.48711766960055053,0.6007141356857802,0.5728672075267447
log_reg,2,"{'C': 0.008535204213345212, 'class_weight': None, 'penalty': 'l1', 'solver': 'liblinear'}",0.8237448085429728,0.48712129422212086,0.6007141356857802,0.5728670229403553
log_reg,3,"{'C': 0.009201474143845331, 'class_weight': None, 'penalty': 'l1', 'solver': 'liblinear'}",0.8237399725428469,0.4871079305525996,0.6003641966661998,0.5728190506559572
naive_bayes,1,{'var_smoothing': 1.1185007732124157e-06},0.7780004995457427,0.7413426268705483,0.6230655858511422,0.35252049861403023
naive_bayes,2,{'var_smoothing': 1.1181278747909082e-06},0.7780004995457427,0.7413426270809196,0.6230655858511422,0.35252049846677036
naive_bayes,3,{'var_smoothing': 1.0954960677023563e-06},0.7780004951889858,0.7413426398562993,0.6230655858511422,0.35252048516724765
random_forest,2,"{'class_weight': None, 'max_depth': 6, 'max_features': 0.7, 'min_samples_leaf': 3, 'min_samples_split': 8}",0.829093559741789,0.4627612675183121,0.6752636336245857,0.6064502175226584
random_forest,3,"{'class_weight': None, 'max_depth': 6, 'max_features': 0.7157356077800047, 'min_samples_leaf': 2, 'min_samples_split': 8}",0.8290855128118495,0.46278606995246946,0.6752651880424301,0.6064250420514855
random_forest,1,"{'class_weight': None, 'max_depth': 6, 'max_features': 0.6357676833891884, 'min_samples_leaf': 3, 'min_samples_split': 9}",0.8291179793640467,0.46293694039174954,0.6746408607321032,0.6062582501996375
xgboost,3,"{'colsample_bytree': 0.9418100178668833, 'gamma': 1.9260858347338428, 'learning_rate': 0.21787519077230988, 'max_depth': 3, 'min_child_weight': 9, 'reg_lambda': 0.022827710613058133, 'subsample': 0.9843109529665051}",0.8287477857327801,0.46308561007354637,0.6733680513503694,0.605593066383853
xgboost,2,"{'colsample_bytree': 0.8329317487990812, 'gamma': 0.04700294597430731, 'learning_rate': 0.1735692994445192, 'max_depth': 3, 'min_child_weight': 5, 'reg_lambda': 0.003540792592464675, 'subsample': 0.9780580324744542}",0.8285611422684579,0.46390264960592714,0.6676434676434676,0.603975807690829
xgboost,1,"{'colsample_bytree': 0.7248361326900113, 'gamma': 0.8055810997346127, 'learning_rate': 0.13773837217527413, 'max_depth': 3, 'min_child_weight': 4, 'reg_lambda': 0.010178681097479379, 'subsample': 0.7505130223463287}",0.8279499110633437,0.4639799599983974,0.6691913022233081,0.6035426343979617
