model_name,method,cal_logloss,cal_ece,cal_auc,cal_f1,model_path,logloss_rank,ece_rank,avg_rank
CatBoost,none,0.5053926716400619,0.10494802998419758,0.8216585658272616,0.6838297872340425,c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts\models\CatBoost.joblib,13.0,19.0,16.0
CatBoost,sigmoid,0.47306781854520524,0.021178761926252187,0.8216585658272616,0.6558105107327905,c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts\models\CatBoost.joblib,3.0,11.0,7.0
CatBoost,isotonic,0.4706609332246116,0.009007383150896123,0.8214592748604284,0.6423655365791486,c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts\models\CatBoost.joblib,1.0,2.0,1.5
CatBoost,venn_abers,0.47070177148741377,0.00899559175652031,0.821391217910233,0.6426479949077021,c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts\models\CatBoost.joblib,2.0,1.0,1.5
XGBoost,none,0.507456099383675,0.09700434230710213,0.8177206042076867,0.6836340206185567,c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts\models\XGBoost.joblib,14.0,18.0,16.0
XGBoost,sigmoid,0.47863506171674114,0.028714576944625248,0.8177206042076867,0.6365482233502539,c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts\models\XGBoost.joblib,10.0,13.0,11.5
XGBoost,isotonic,0.4749608789066961,0.010458781912466856,0.8176029292966192,0.6451612903225806,c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts\models\XGBoost.joblib,4.0,3.0,3.5
XGBoost,venn_abers,0.4750774087169931,0.011552506694626508,0.8177722961191538,0.6451612903225806,c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts\models\XGBoost.joblib,5.0,7.0,6.0
LightGBM,none,0.509347949811222,0.09443634260506172,0.8161686094645764,0.679909316636079,c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts\models\LightGBM.joblib,17.0,17.0,17.0
LightGBM,sigmoid,0.48078804532241176,0.02583776045155555,0.8161686094645764,0.6331135902636917,c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts\models\LightGBM.joblib,11.0,12.0,11.5
LightGBM,isotonic,0.47713592917719244,0.01312215609021434,0.8158305206612884,0.6418003232624643,c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts\models\LightGBM.joblib,9.0,9.0,9.0
LightGBM,venn_abers,0.4770676439404675,0.015131638961362598,0.8159137575355863,0.6418893722809198,c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts\models\LightGBM.joblib,8.0,10.0,9.0
LogReg,none,0.5300199619541396,0.11167504211425691,0.8183349641440085,0.675442578302315,c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts\models\LogReg.joblib,19.0,20.0,19.5
LogReg,sigmoid,0.48905360625942634,0.052454733429289996,0.8183349641440085,0.6064656936297913,c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts\models\LogReg.joblib,12.0,14.0,13.0
LogReg,isotonic,0.4752908435522909,0.011549412721270547,0.8183117498398701,0.6509726180151159,c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts\models\LogReg.joblib,6.0,6.0,6.0
LogReg,venn_abers,0.47557681309526245,0.012989635765945475,0.8183047611492098,0.6509726180151159,c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts\models\LogReg.joblib,7.0,8.0,7.5
RandomForest,none,0.6194850759006314,0.07960266623316355,0.7859025073121573,0.6277685163134079,c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts\models\RandomForest.joblib,20.0,16.0,18.0
RandomForest,sigmoid,0.5220639178396704,0.0595237553783373,0.7859025770247823,0.5307443365695793,c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts\models\RandomForest.joblib,18.0,15.0,16.5
RandomForest,isotonic,0.5082901906594071,0.011061037261042012,0.7861418481820761,0.6001281229980782,c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts\models\RandomForest.joblib,15.0,4.0,9.5
RandomForest,venn_abers,0.5083277947562996,0.011450736855884082,0.7861857148513824,0.6000512426338713,c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts\models\RandomForest.joblib,16.0,5.0,10.5
