feature_rule,mean_abs_weight,mean_weight,n_hits
age <= -0.89,0.14955222577866015,-0.14955222577866015,1
smoking_level <= -0.22,0.12651847777138317,0.12651847777138317,1
-1.04 < sex <= 0.96,0.12529929577094462,-0.12529929577094462,2
sex <= -1.04,0.12484108437314649,0.12484108437314649,3
smoking_level > 1.38,0.11767456808868702,-0.11767456808868702,3
age > 0.76,0.08512892448678205,0.08512892448678205,2
-0.20 < age <= 0.76,0.06947219361049707,0.06947219361049707,2
-0.22 < smoking_level <= 1.38,0.054881000697887844,-0.054881000697887844,1
alcohol_level > 1.80,0.04343481450184223,-0.04343481450184223,3
alcohol_level <= -0.30,0.0427908377550816,0.0427908377550816,1
Total_VitaminA > 0.26,0.013625271532057956,-0.013625271532057956,1
0.12 < Total_Niacin <= 0.83,0.01362248745640219,-0.01362248745640219,1
-0.30 < alcohol_level <= 0.40,0.012925203115205135,0.012925203115205135,1
fg19 > 0.58,0.012384130847623449,-0.012384130847623449,1
Total_CHO > 0.73,0.012129222274891785,-0.012129222274891785,1
0.24 < Total_VitaminC <= 0.68,0.012024732059988809,-0.012024732059988809,1
0.14 < Total_Iron <= 0.60,0.011603269622343855,-0.011603269622343855,1
fg5 <= -0.10,0.011465399434810942,0.011465399434810942,1
fg8 > 0.74,0.011222330050380962,0.011222330050380962,1
fg3 > 0.51,0.010395395321257914,-0.010395395321257914,1
fg12 > 0.19,0.010311495324546616,0.010311495324546616,1
-0.18 < fg6 <= 0.23,0.009855490134234179,0.009855490134234179,1
-0.41 < Total_Thiamin <= 0.23,0.009825534370396809,-0.009825534370396809,1
Total_Niacin > 0.83,0.00903227671753679,-0.00903227671753679,1
-0.40 < Total_Protein <= 0.10,0.008938627947872696,-0.008938627947872696,1
0.23 < Total_Thiamin <= 0.82,0.008848801423572587,0.008848801423572587,1
-0.08 < fg12 <= 0.19,0.00879355902653346,0.00879355902653346,1
fg18 <= 0.10,0.007830071382261154,0.007830071382261154,1
fg12 <= -0.08,0.007791454259067138,-0.003912273961275847,3
fg2 > 0.75,0.007496118160433031,-0.007496118160433031,1
fg4 > 0.68,0.007434441679466914,-0.007434441679466914,1
fg26 <= -0.24,0.007426482852731388,0.007426482852731388,1
0.20 < fg8 <= 0.74,0.0073052699378152435,-0.0073052699378152435,1
fg26 > 0.80,0.007118669479975633,0.0007197277318159788,2
-0.30 < Total_Riboflavin <= 0.13,0.007042426514922007,0.007042426514922007,1
0.17 < Total_Calcium <= 0.76,0.007030061208204228,-0.007030061208204228,1
0.02 < fg2 <= 0.75,0.006981685200141307,-0.006981685200141307,2
0.08 < Total_FoodIntake <= 0.66,0.006956922210574103,-0.006956922210574103,1
fg17 <= -0.18,0.006927265507271654,-0.006927265507271654,1
fg20 > 0.68,0.006898092160408475,0.006898092160408475,1
Total_Fat > 0.71,0.006832923743046099,-0.006832923743046099,1
0.11 < Total_CHO <= 0.73,0.0067880010481671275,-0.0067880010481671275,1
fg27 <= -0.05,0.006590507841974476,0.006590507841974476,1
-0.39 < Total_Fat <= 0.18,0.006132258613872977,-0.006132258613872977,1
-0.17 < fg20 <= 0.13,0.005931901542992075,0.005931901542992075,1
-0.24 < fg26 <= 0.30,0.005896442760960912,-0.005896442760960912,1
0.12 < fg24 <= 0.57,0.0058630046923909464,0.0058630046923909464,1
